INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING
MapId	Layer	Event	MonsterMid	Des	LayerName	EventName	PersonDesc	BtnDesc
51000	0	0	0	#00afec|幸与不幸，有时候得看脸|n使用回城卷轴可以直接回城	轮回塔0层	无	你我有缘，可以在我这里召唤出1只怪物。轮回塔越往上走，会遇到更强的BOSS，也会获得更好的奖励。听说最后一层有一个神秘BOSS，携带着大量奇珍异宝。	怪物召唤
51001	1	1	36001	#00afec|可以通过轮回守护者召唤怪物|n使用回城卷轴可以直接回城	轮回塔1层	召唤怪物（{}/1）	你我有缘，可以在我这里召唤出1只怪物。轮回塔越往上走，会遇到更强的BOSS，也会获得更好的奖励。听说最后一层有一个神秘BOSS，携带着大量奇珍异宝。	怪物召唤
51002	2	1	36001	#00afec|可以通过轮回守护者召唤怪物|n使用回城卷轴可以直接回城	轮回塔2层	召唤怪物（{}/1）	你我有缘，可以在我这里召唤出1只怪物。轮回塔越往上走，会遇到更强的BOSS，也会获得更好的奖励。听说最后一层有一个神秘BOSS，携带着大量奇珍异宝。	怪物召唤
51003	3	1	36001	#00afec|可以通过轮回守护者召唤怪物|n使用回城卷轴可以直接回城	轮回塔3层	召唤怪物（{}/1）	你我有缘，可以在我这里召唤出1只怪物。轮回塔越往上走，会遇到更强的BOSS，也会获得更好的奖励。听说最后一层有一个神秘BOSS，携带着大量奇珍异宝。	怪物召唤
51004	4	1	36001	#00afec|可以通过轮回守护者召唤怪物|n使用回城卷轴可以直接回城	轮回塔4层	召唤怪物（{}/1）	你我有缘，可以在我这里召唤出1只怪物。轮回塔越往上走，会遇到更强的BOSS，也会获得更好的奖励。听说最后一层有一个神秘BOSS，携带着大量奇珍异宝。	怪物召唤
51005	5	3	0	#00afec|使用回城卷轴可以直接回城	轮回塔5层	击杀BOSS	你我有缘，可以在我这里召唤出1只怪物。轮回塔越往上走，会遇到更强的BOSS，也会获得更好的奖励。听说最后一层有一个神秘BOSS，携带着大量奇珍异宝。	怪物召唤
51006	6	1	36001	#00afec|可以通过轮回守护者召唤怪物|n使用回城卷轴可以直接回城	轮回塔6层	召唤怪物（{}/1）	你我有缘，可以在我这里召唤出1只怪物。轮回塔越往上走，会遇到更强的BOSS，也会获得更好的奖励。听说最后一层有一个神秘BOSS，携带着大量奇珍异宝。	怪物召唤
51007	7	2	0	#00afec|每个人都有1次机会开启宝箱|n使用回城卷轴可以直接回城	轮回塔7层	开宝箱（{}/1）	你我有缘，可以在我这里召唤出1只怪物。轮回塔越往上走，会遇到更强的BOSS，也会获得更好的奖励。听说最后一层有一个神秘BOSS，携带着大量奇珍异宝。	怪物召唤
51008	8	1	36001	#00afec|可以通过轮回守护者召唤怪物|n使用回城卷轴可以直接回城	轮回塔8层	召唤怪物（{}/1）	你我有缘，可以在我这里召唤出1只怪物。轮回塔越往上走，会遇到更强的BOSS，也会获得更好的奖励。听说最后一层有一个神秘BOSS，携带着大量奇珍异宝。	怪物召唤
51009	9	1	36001	#00afec|可以通过轮回守护者召唤怪物|n使用回城卷轴可以直接回城	轮回塔9层	召唤怪物（{}/1）	你我有缘，可以在我这里召唤出1只怪物。轮回塔越往上走，会遇到更强的BOSS，也会获得更好的奖励。听说最后一层有一个神秘BOSS，携带着大量奇珍异宝。	怪物召唤
51010	10	3	0	#00afec|使用回城卷轴可以直接回城	轮回塔10层	击杀BOSS	你我有缘，可以在我这里召唤出1只怪物。轮回塔越往上走，会遇到更强的BOSS，也会获得更好的奖励。听说最后一层有一个神秘BOSS，携带着大量奇珍异宝。	怪物召唤
51011	11	1	36002	#00afec|可以通过轮回守护者召唤怪物|n使用回城卷轴可以直接回城	轮回塔11层	召唤怪物（{}/1）	你我有缘，可以在我这里召唤出1只怪物。轮回塔越往上走，会遇到更强的BOSS，也会获得更好的奖励。听说最后一层有一个神秘BOSS，携带着大量奇珍异宝。	怪物召唤
51012	12	1	36002	#00afec|可以通过轮回守护者召唤怪物|n使用回城卷轴可以直接回城	轮回塔12层	召唤怪物（{}/1）	你我有缘，可以在我这里召唤出1只怪物。轮回塔越往上走，会遇到更强的BOSS，也会获得更好的奖励。听说最后一层有一个神秘BOSS，携带着大量奇珍异宝。	怪物召唤
51013	13	1	36002	#00afec|可以通过轮回守护者召唤怪物|n使用回城卷轴可以直接回城	轮回塔13层	召唤怪物（{}/1）	你我有缘，可以在我这里召唤出1只怪物。轮回塔越往上走，会遇到更强的BOSS，也会获得更好的奖励。听说最后一层有一个神秘BOSS，携带着大量奇珍异宝。	怪物召唤
51014	14	1	36002	#00afec|可以通过轮回守护者召唤怪物|n使用回城卷轴可以直接回城	轮回塔14层	召唤怪物（{}/1）	你我有缘，可以在我这里召唤出1只怪物。轮回塔越往上走，会遇到更强的BOSS，也会获得更好的奖励。听说最后一层有一个神秘BOSS，携带着大量奇珍异宝。	怪物召唤
51015	15	3	0	#00afec|使用回城卷轴可以直接回城	轮回塔15层	击杀BOSS	你我有缘，可以在我这里召唤出1只怪物。轮回塔越往上走，会遇到更强的BOSS，也会获得更好的奖励。听说最后一层有一个神秘BOSS，携带着大量奇珍异宝。	怪物召唤
51016	16	1	36002	#00afec|可以通过轮回守护者召唤怪物|n使用回城卷轴可以直接回城	轮回塔16层	召唤怪物（{}/1）	你我有缘，可以在我这里召唤出1只怪物。轮回塔越往上走，会遇到更强的BOSS，也会获得更好的奖励。听说最后一层有一个神秘BOSS，携带着大量奇珍异宝。	怪物召唤
51017	17	2	0	#00afec|每个人都有1次机会开启宝箱|n使用回城卷轴可以直接回城	轮回塔17层	开宝箱（{}/1）	你我有缘，可以在我这里召唤出1只怪物。轮回塔越往上走，会遇到更强的BOSS，也会获得更好的奖励。听说最后一层有一个神秘BOSS，携带着大量奇珍异宝。	怪物召唤
51018	18	1	36002	#00afec|可以通过轮回守护者召唤怪物|n使用回城卷轴可以直接回城	轮回塔18层	召唤怪物（{}/1）	你我有缘，可以在我这里召唤出1只怪物。轮回塔越往上走，会遇到更强的BOSS，也会获得更好的奖励。听说最后一层有一个神秘BOSS，携带着大量奇珍异宝。	怪物召唤
51019	19	1	36002	#00afec|可以通过轮回守护者召唤怪物|n使用回城卷轴可以直接回城	轮回塔19层	召唤怪物（{}/1）	你我有缘，可以在我这里召唤出1只怪物。轮回塔越往上走，会遇到更强的BOSS，也会获得更好的奖励。听说最后一层有一个神秘BOSS，携带着大量奇珍异宝。	怪物召唤
51020	20	3	0	#00afec|使用回城卷轴可以直接回城	轮回塔20层	击杀BOSS	你我有缘，可以在我这里召唤出1只怪物。轮回塔越往上走，会遇到更强的BOSS，也会获得更好的奖励。听说最后一层有一个神秘BOSS，携带着大量奇珍异宝。	怪物召唤
51021	21	1	36003	#00afec|可以通过轮回守护者召唤怪物|n使用回城卷轴可以直接回城	轮回塔21层	召唤怪物（{}/1）	你我有缘，可以在我这里召唤出1只怪物。轮回塔越往上走，会遇到更强的BOSS，也会获得更好的奖励。听说最后一层有一个神秘BOSS，携带着大量奇珍异宝。	怪物召唤
51022	22	1	36003	#00afec|可以通过轮回守护者召唤怪物|n使用回城卷轴可以直接回城	轮回塔22层	召唤怪物（{}/1）	你我有缘，可以在我这里召唤出1只怪物。轮回塔越往上走，会遇到更强的BOSS，也会获得更好的奖励。听说最后一层有一个神秘BOSS，携带着大量奇珍异宝。	怪物召唤
51023	23	1	36003	#00afec|可以通过轮回守护者召唤怪物|n使用回城卷轴可以直接回城	轮回塔23层	召唤怪物（{}/1）	你我有缘，可以在我这里召唤出1只怪物。轮回塔越往上走，会遇到更强的BOSS，也会获得更好的奖励。听说最后一层有一个神秘BOSS，携带着大量奇珍异宝。	怪物召唤
51024	24	1	36003	#00afec|可以通过轮回守护者召唤怪物|n使用回城卷轴可以直接回城	轮回塔24层	召唤怪物（{}/1）	你我有缘，可以在我这里召唤出1只怪物。轮回塔越往上走，会遇到更强的BOSS，也会获得更好的奖励。听说最后一层有一个神秘BOSS，携带着大量奇珍异宝。	怪物召唤
51025	25	3	0	#00afec|使用回城卷轴可以直接回城	轮回塔25层	击杀BOSS	你我有缘，可以在我这里召唤出1只怪物。轮回塔越往上走，会遇到更强的BOSS，也会获得更好的奖励。听说最后一层有一个神秘BOSS，携带着大量奇珍异宝。	怪物召唤
51026	26	1	36003	#00afec|可以通过轮回守护者召唤怪物|n使用回城卷轴可以直接回城	轮回塔26层	召唤怪物（{}/1）	你我有缘，可以在我这里召唤出1只怪物。轮回塔越往上走，会遇到更强的BOSS，也会获得更好的奖励。听说最后一层有一个神秘BOSS，携带着大量奇珍异宝。	怪物召唤
51027	27	2	0	#00afec|每个人都有1次机会开启宝箱|n使用回城卷轴可以直接回城	轮回塔27层	开宝箱（{}/1）	你我有缘，可以在我这里召唤出1只怪物。轮回塔越往上走，会遇到更强的BOSS，也会获得更好的奖励。听说最后一层有一个神秘BOSS，携带着大量奇珍异宝。	怪物召唤
51028	28	1	36003	#00afec|可以通过轮回守护者召唤怪物|n使用回城卷轴可以直接回城	轮回塔28层	召唤怪物（{}/1）	你我有缘，可以在我这里召唤出1只怪物。轮回塔越往上走，会遇到更强的BOSS，也会获得更好的奖励。听说最后一层有一个神秘BOSS，携带着大量奇珍异宝。	怪物召唤
51029	29	1	36003	#00afec|可以通过轮回守护者召唤怪物|n使用回城卷轴可以直接回城	轮回塔29层	召唤怪物（{}/1）	你我有缘，可以在我这里召唤出1只怪物。轮回塔越往上走，会遇到更强的BOSS，也会获得更好的奖励。听说最后一层有一个神秘BOSS，携带着大量奇珍异宝。	怪物召唤
51030	30	3	0	#00afec|使用回城卷轴可以直接回城	轮回塔30层	击杀BOSS	你我有缘，可以在我这里召唤出1只怪物。轮回塔越往上走，会遇到更强的BOSS，也会获得更好的奖励。听说最后一层有一个神秘BOSS，携带着大量奇珍异宝。	怪物召唤
51031	31	1	36004	#00afec|可以通过轮回守护者召唤怪物|n使用回城卷轴可以直接回城	轮回塔31层	召唤怪物（{}/1）	你我有缘，可以在我这里召唤出1只怪物。轮回塔越往上走，会遇到更强的BOSS，也会获得更好的奖励。听说最后一层有一个神秘BOSS，携带着大量奇珍异宝。	怪物召唤
51032	32	1	36004	#00afec|可以通过轮回守护者召唤怪物|n使用回城卷轴可以直接回城	轮回塔32层	召唤怪物（{}/1）	你我有缘，可以在我这里召唤出1只怪物。轮回塔越往上走，会遇到更强的BOSS，也会获得更好的奖励。听说最后一层有一个神秘BOSS，携带着大量奇珍异宝。	怪物召唤
