INT	STRING	STRING	STRING
Index	Time	Items	Desc
1	2015-12-23 05:00:00	7007:1:2:1|7114:1:4:1|7041:1:1:1|7239:1:1:1	2015年12月23日例行维护补偿：
2	2015-12-30 08:00:00	7007:1:2:1|7114:1:4:1|7041:1:1:1|7239:1:1:1	2015年12月30日例行维护补偿：
3	2016-01-06 08:00:00	7007:1:2:1|7114:1:4:1|7041:1:1:1|7239:1:1:1	2016年1月6日例行维护补偿：
4	2016-01-13 08:00:00	7007:1:2:1|7114:1:4:1|7041:1:1:1|7239:1:1:1	2016年1月13日例行维护补偿：
5	2016-01-20 08:00:00	7007:1:2:1|7114:1:4:1|7041:1:1:1|7239:1:1:1	2016年1月20日例行维护补偿：
6	2016-01-27 08:00:00	7007:1:2:1|7114:1:4:1|7041:1:1:1|7239:1:1:1	2016年1月27日例行维护补偿：
7	2016-02-03 08:00:00	7007:1:2:1|7114:1:4:1|7041:1:1:1|7239:1:1:1	2016年2月3日例行维护补偿：
8	2016-02-13 08:00:00	7007:1:2:1|7114:1:4:1|7041:1:1:1|7239:1:1:1	2016年2月13日例行维护补偿：
9	2016-02-21 08:00:00	7007:1:2:1|7114:1:4:1|7041:1:1:1|7239:1:1:1	2016年2月21日例行维护补偿：
10	2016-02-25 08:00:00	7007:1:2:1|7114:1:4:1|7041:1:1:1|7239:1:1:1	2016年2月25日例行维护补偿：
11	2016-02-29 15:30:00	7239:1:1:1|7114:1:5:1|203:1:1:1	2016年2月29日临时维护补偿：
12	2016-03-03 08:00:00	7007:1:2:1|7114:1:4:1|7041:1:1:1|7239:1:1:1	2016年3月3日例行维护补偿：
13	2016-03-09 08:00:00	7007:1:2:1|7114:1:4:1|7041:1:1:1|7239:1:1:1	2016年3月9日例行维护补偿：
14	2016-03-18 08:00:00	7007:1:2:1|7114:1:4:1|7041:1:1:1|7239:1:1:1	2016年3月18日例行维护补偿：
15	2016-03-24 08:00:00	7007:1:2:1|7114:1:4:1|7041:1:1:1|7239:1:1:1	2016年3月24日例行维护补偿：
16	2016-03-30 08:00:00	7007:1:2:1|7114:1:4:1|7041:1:1:1|7239:1:1:1	2016年3月30日例行维护补偿：
17	2016-04-06 08:00:00	7007:1:2:1|7114:1:4:1|7041:1:1:1|7239:1:1:1	2016年4月6日例行维护补偿：
18	2016-04-19 08:00:00	7007:1:2:1|7114:1:4:1|7041:1:1:1|7239:1:1:1	2016年4月19日例行维护补偿：
19	2016-04-25 08:00:00	7007:1:2:1|7114:1:4:1|7041:1:1:1|7239:1:1:1	2016年4月25日例行维护补偿：
20	2016-05-04 08:00:00	7007:1:2:1|7114:1:4:1|7041:1:1:1|7239:1:1:1	2016年5月4日例行维护补偿：
21	2016-05-11 08:00:00	7007:1:2:1|7114:1:4:1|7041:1:1:1|7239:1:1:1	2016年5月11日例行维护补偿：
22	2016-05-18 08:00:00	7007:1:2:1|7114:1:4:1|7041:1:1:1|7239:1:1:1	2016年5月18日例行维护补偿：
23	2016-05-20 05:00:00	7007:1:2:1|7114:1:4:1|7041:1:1:1|7239:1:1:1	2016年5月20日例行维护补偿：
24	2016-05-24 21:00:00	7007:1:2:1|7114:1:4:1|7041:1:1:1|7239:1:1:1	2016年5月24日例行维护补偿：
