INT	INT	INT	STRING	STRING
Index	Type	ChongZhi	Items	GongGao
1	1	1000	566:1:1:1:0:0:0:7|968:1:1:1:0:0:0:6|564:1:6:1:0:0:0:6|597:1:5:1:0:0:0:6|567:1:1:1:0:0:0:6	0:469
2	1	5000	968:1:2:1:0:0:0:6|508:1:1:1:0:0:0:6|598:1:5:1:0:0:0:6|647:1:55:1:0:0:0:7|567:1:1:1:0:0:0:6	0:469
3	1	10000	158:1:10:1:0:0:0:6|508:1:1:1:0:0:0:6|511:1:1:1:0:0:0:6|647:1:120:1:0:0:0:7|568:1:1:1:0:0:0:6	0:469
4	1	50000	564:1:200:1:0:0:0:6|508:1:2:1:0:0:0:6|511:1:1:1:0:0:0:6|647:1:168:1:0:0:0:7|568:1:1:1:0:0:0:6	0:469
5	1	100000	512:1:1:1:0:0:0:6|508:1:2:1:0:0:0:6|564:1:80:1:0:0:0:6|647:1:168:1:0:0:0:7|568:1:1:1:0:0:0:6	0:469
6	1	200000	8006:3:1:1:0:0:0:7|8106:3:1:1:0:0:0:7|8206:3:1:1:0:0:0:7|8306:3:1:1:0:0:0:7|7056:1:5:1:0:0:0:6	0:469
1	2	1000	7265:1:2:1:0:0:0	0:469
2	2	5000	7265:1:5:1:0:0:0	0:469
3	2	10000	7265:1:10:1:0:0:0	0:469
4	2	20000	7265:1:15:1:0:0:0	0:469
5	2	50000	7265:1:20:1:0:0:0	0:469
6	2	100000	7265:1:30:1:0:0:0	0:469
1	3	1000	566:1:1:1:0:0:0:7|968:1:1:1:0:0:0:6|564:1:6:1:0:0:0:6|597:1:5:1:0:0:0:6|7040:1:1:1:0:0:0:7	0:469
2	3	5000	968:1:2:1:0:0:0:6|508:1:1:1:0:0:0:6|598:1:5:1:0:0:0:6|647:1:55:1:0:0:0:7|567:1:1:1:0:0:0:6	0:469
3	3	10000	158:1:10:1:0:0:0:6|508:1:1:1:0:0:0:6|511:1:1:1:0:0:0:6|647:1:120:1:0:0:0:7|568:1:1:1:0:0:0:6	0:469
4	3	50000	564:1:200:1:0:0:0:6|508:1:2:1:0:0:0:6|511:1:1:1:0:0:0:6|647:1:168:1:0:0:0:7|568:1:1:1:0:0:0:6	0:469
5	3	100000	512:1:1:1:0:0:0:6|508:1:2:1:0:0:0:6|564:1:80:1:0:0:0:6|647:1:168:1:0:0:0:7|568:1:1:1:0:0:0:6	0:469
6	3	200000	8006:3:1:1:0:0:0:7|8106:3:1:1:0:0:0:7|8206:3:1:1:0:0:0:7|8306:3:1:1:0:0:0:7|7056:1:5:1:0:0:0:6	0:469
1	4	1000	566:1:1:1:0:0:0:7|968:1:1:1:0:0:0:6|564:1:6:1:0:0:0:6|597:1:5:1:0:0:0:6|7040:1:1:1:0:0:0:7	0:469
2	4	5000	968:1:2:1:0:0:0:6|508:1:1:1:0:0:0:6|598:1:5:1:0:0:0:6|647:1:55:1:0:0:0:7|567:1:1:1:0:0:0:6	0:469
3	4	10000	158:1:10:1:0:0:0:6|508:1:1:1:0:0:0:6|511:1:1:1:0:0:0:6|647:1:120:1:0:0:0:7|568:1:1:1:0:0:0:6	0:469
4	4	50000	564:1:200:1:0:0:0:6|508:1:2:1:0:0:0:6|511:1:1:1:0:0:0:6|647:1:168:1:0:0:0:7|568:1:1:1:0:0:0:6	0:469
5	4	100000	512:1:1:1:0:0:0:6|508:1:2:1:0:0:0:6|564:1:80:1:0:0:0:6|647:1:168:1:0:0:0:7|568:1:1:1:0:0:0:6	0:469
6	4	200000	8006:3:1:1:0:0:0:7|8106:3:1:1:0:0:0:7|8206:3:1:1:0:0:0:7|8306:3:1:1:0:0:0:7|7056:1:5:1:0:0:0:6	0:469
