INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING
Id	Attr	Type	Extract	Level	Quality	Exp	Money	UpExp	NextId	CostChip	Name	Url	Desc	Usemethod
1	-1	1	1	0	2	0	16000	0	0	0	米兔的残品	laji_1	只能用来分解成元宝的残次品~	猎命时总是会出现一些意外的残次品。
2	-1	1	1	0	3	0	32000	0	0	0	雪狐小弟的残品	laji_1	只能用来分解成元宝的残次品~	猎命时总是会出现一些意外的残次品。
3	-1	1	1	0	4	0	48000	0	0	0	熊长老的残品	laji_1	只能用来分解成元宝的残次品~	猎命时总是会出现一些意外的残次品。
4	-1	1	1	0	5	0	80000	0	0	0	猎鹰的残品	laji_1	只能用来分解成元宝的残次品~	猎命时总是会出现一些意外的残次品。
5	-1	1	1	0	7	0	160000	0	0	0	神龙的残品	laji_1	只能用来分解成元宝的残次品~	猎命时总是会出现一些意外的残次品。
101	-1	2	1	0	2	20	0	0	0	0	Exp(小)	exp_1	只能用来分解成命格经验的残次品。	猎命时总是会出现一些意外的残次品。
102	-1	2	1	0	3	60	0	0	0	0	Exp(中)	exp_2	只能用来分解成命格经验的残次品。	猎命时总是会出现一些意外的残次品。
103	-1	2	1	0	4	500	0	0	0	0	Exp(大)	exp_3	只能用来分解成命格经验的残次品。	猎命时总是会出现一些意外的残次品。
10001	4:31|5:100	3	0	1	2	10	0	20	10002	0	锋锐	fengrui_lv	#f7ab00|命格属性|n攻击: 31-100	绿色命格，可提取到命格背包内镶嵌。
10002	4:53|5:170	3	0	2	2	30	0	40	10003	0	锋锐	fengrui_lv	#f7ab00|命格属性|n攻击: 53-170	绿色命格，可提取到命格背包内镶嵌。
10003	4:88|5:282	3	0	3	2	70	0	80	10004	0	锋锐	fengrui_lv	#f7ab00|命格属性|n攻击: 88-282	绿色命格，可提取到命格背包内镶嵌。
10004	4:144|5:461	3	0	4	2	150	0	160	10005	0	锋锐	fengrui_lv	#f7ab00|命格属性|n攻击: 144-461	绿色命格，可提取到命格背包内镶嵌。
10005	4:234|5:748	3	0	5	2	310	0	315	10006	0	锋锐	fengrui_lv	#f7ab00|命格属性|n攻击: 234-748	绿色命格，可提取到命格背包内镶嵌。
10006	4:377|5:1207	3	0	6	2	625	0	615	10007	0	锋锐	fengrui_lv	#f7ab00|命格属性|n攻击: 377-1207	绿色命格，可提取到命格背包内镶嵌。
10007	4:606|5:1941	3	0	7	2	1240	0	1195	10008	0	锋锐	fengrui_lv	#f7ab00|命格属性|n攻击: 606-1941	绿色命格，可提取到命格背包内镶嵌。
10008	4:973|5:3115	3	0	8	2	2435	0	2295	10009	0	锋锐	fengrui_lv	#f7ab00|命格属性|n攻击: 973-3115	绿色命格，可提取到命格背包内镶嵌。
10009	4:1560|5:4994	3	0	9	2	4730	0	4360	10010	0	锋锐	fengrui_lv	#f7ab00|命格属性|n攻击: 1560-4994	绿色命格，可提取到命格背包内镶嵌。
10010	4:2499|5:8000	3	0	10	2	9090	0	-1	-1	0	锋锐	fengrui_lv	#f7ab00|命格属性|n攻击: 2499-8000	绿色命格，可提取到命格背包内镶嵌。
10011	1:2248	4	0	1	2	10	0	20	10012	0	血滴	xuechi_lv	#f7ab00|命格属性|n生命: 2248	绿色命格，可提取到命格背包内镶嵌。
10012	1:3823	4	0	2	2	30	0	40	10013	0	血滴	xuechi_lv	#f7ab00|命格属性|n生命: 3823	绿色命格，可提取到命格背包内镶嵌。
10013	1:6343	4	0	3	2	70	0	80	10014	0	血滴	xuechi_lv	#f7ab00|命格属性|n生命: 6343	绿色命格，可提取到命格背包内镶嵌。
10014	1:10375	4	0	4	2	150	0	160	10015	0	血滴	xuechi_lv	#f7ab00|命格属性|n生命: 10375	绿色命格，可提取到命格背包内镶嵌。
10015	1:16826	4	0	5	2	310	0	315	10016	0	血滴	xuechi_lv	#f7ab00|命格属性|n生命: 16826	绿色命格，可提取到命格背包内镶嵌。
10016	1:27147	4	0	6	2	625	0	615	10017	0	血滴	xuechi_lv	#f7ab00|命格属性|n生命: 27147	绿色命格，可提取到命格背包内镶嵌。
10017	1:43661	4	0	7	2	1240	0	1195	10018	0	血滴	xuechi_lv	#f7ab00|命格属性|n生命: 43661	绿色命格，可提取到命格背包内镶嵌。
10018	1:70083	4	0	8	2	2435	0	2295	10019	0	血滴	xuechi_lv	#f7ab00|命格属性|n生命: 70083	绿色命格，可提取到命格背包内镶嵌。
10019	1:112359	4	0	9	2	4730	0	4360	10020	0	血滴	xuechi_lv	#f7ab00|命格属性|n生命: 112359	绿色命格，可提取到命格背包内镶嵌。
10020	1:180000	4	0	10	2	9090	0	-1	-1	0	血滴	xuechi_lv	#f7ab00|命格属性|n生命: 180000	绿色命格，可提取到命格背包内镶嵌。
10021	6:31|7:100	5	0	1	2	10	0	20	10022	0	坚甲	jianjia_lv	#f7ab00|命格属性|n防御: 31-100	绿色命格，可提取到命格背包内镶嵌。
10022	6:53|7:170	5	0	2	2	30	0	40	10023	0	坚甲	jianjia_lv	#f7ab00|命格属性|n防御: 53-170	绿色命格，可提取到命格背包内镶嵌。
10023	6:88|7:282	5	0	3	2	70	0	80	10024	0	坚甲	jianjia_lv	#f7ab00|命格属性|n防御: 88-282	绿色命格，可提取到命格背包内镶嵌。
10024	6:144|7:461	5	0	4	2	150	0	160	10025	0	坚甲	jianjia_lv	#f7ab00|命格属性|n防御: 144-461	绿色命格，可提取到命格背包内镶嵌。
10025	6:234|7:748	5	0	5	2	310	0	315	10026	0	坚甲	jianjia_lv	#f7ab00|命格属性|n防御: 234-748	绿色命格，可提取到命格背包内镶嵌。
10026	6:377|7:1207	5	0	6	2	625	0	615	10027	0	坚甲	jianjia_lv	#f7ab00|命格属性|n防御: 377-1207	绿色命格，可提取到命格背包内镶嵌。
