INT	INT	INT
DrawClass	MingGeId	probability
1	1	4000
1	101	900
1	102	100
1	10001	833
1	20001	128
1	10011	833
1	20011	128
1	10021	833
1	20021	128
2	2	3500
2	3	2000
2	101	800
2	102	200
2	10001	533
2	20001	410
2	30001	67
2	10011	533
2	20011	410
2	30011	67
2	10021	533
2	20021	410
2	30021	67
2	20031	246
2	30031	40
2	20041	123
2	30041	20
3	3	2300
3	4	2000
3	102	700
3	103	300
3	10001	467
3	20001	564
3	30001	222
3	40001	24
3	10011	467
3	20011	564
3	30011	222
3	40011	24
3	10021	467
3	20021	564
3	30021	222
3	40021	24
3	20031	338
3	30031	133
3	40031	7
3	20041	169
3	30041	67
3	40041	5
3	30051	33
3	40051	4
3	30061	33
3	40061	4
3	30071	67
3	40071	9
4	4	1500
4	5	1000
4	102	600
4	103	400
4	20001	727
4	30001	649
4	40001	142
4	20011	727
4	30011	649
4	40011	142
4	20021	727
4	30021	649
4	40021	142
4	20031	145
4	30031	195
4	40031	42
4	20041	73
4	30041	97
4	40041	28
4	30051	32
4	40051	21
4	30061	32
4	40061	21
4	30071	195
4	40071	57
4	40081	3
4	40091	3
5	5	3000
5	102	500
5	103	500
5	30001	909
5	40001	472
5	50001	112
5	30011	909
5	40011	472
5	50011	112
5	30021	909
5	40021	472
5	50021	112
5	30031	273
5	40031	142
5	50031	34
5	30041	136
5	40041	94
5	50041	22
5	30051	45
5	40051	71
5	50051	17
5	30061	45
5	40061	71
5	50061	17
5	30071	273
5	40071	189
5	50071	45
5	40081	9
5	50081	6
5	40091	9
5	50091	6
5	50101	6
5	50111	6
5	50121	6
