INT	STRING	STRING	INT	INT	STRING
Index	Name	EquipType	MinJie	MaxJie	PriceDesc
1	#00afec|¡¾1½×¡¿|#f5e8bf|Ä§·û	46|47|48|49|50|51|52|53|54	1	1	#debc6a|Ä§·û»ØÊÕ¼Û¸ñ£º|n|#00afec|1½×£º10
2	#00afec|¡¾2½×¡¿|#f5e8bf|Ä§·û	46|47|48|49|50|51|52|53|54	2	2	#debc6a|Ä§·û»ØÊÕ¼Û¸ñ£º|n|#00afec|2½×£º50
3	#a54bfa|¡¾3½×¡¿|#f5e8bf|Ä§·û	46|47|48|49|50|51|52|53|54	3	3	#debc6a|Ä§·û»ØÊÕ¼Û¸ñ£º|n|#a54bfa|3½×£º150
4	#a54bfa|¡¾4½×¡¿|#f5e8bf|Ä§·û	46|47|48|49|50|51|52|53|54	4	4	#debc6a|Ä§·û»ØÊÕ¼Û¸ñ£º|n|#a54bfa|4½×£º250
5	#f7ab00|¡¾5½×¡¿|#f5e8bf|Ä§·û	46|47|48|49|50|51|52|53|54	5	5	#debc6a|Ä§·û»ØÊÕ¼Û¸ñ£º|n|#f7ab00|5½×£º400
6	#f7ab00|¡¾6½×¡¿|#f5e8bf|Ä§·û	46|47|48|49|50|51|52|53|54	6	6	#debc6a|Ä§·û»ØÊÕ¼Û¸ñ£º|n|#f7ab00|6½×£º600
7	#ff3399|¡¾7½×¡¿|#f5e8bf|Ä§·û	46|47|48|49|50|51|52|53|54	7	7	#debc6a|Ä§·û»ØÊÕ¼Û¸ñ£º|n|#ff3399|7½×£º2500
8	#ff3399|¡¾8½×¡¿|#f5e8bf|Ä§·û	46|47|48|49|50|51|52|53|54	8	8	#debc6a|Ä§·û»ØÊÕ¼Û¸ñ£º|n|#ff3399|8½×£º4000
9	#e60012|¡¾9½×¡¿|#f5e8bf|Ä§·û	46|47|48|49|50|51|52|53|54	9	9	#debc6a|Ä§·û»ØÊÕ¼Û¸ñ£º|n|#e60012|9½×£º9000
