INT	INT	STRING
Level	Gold	CostItem
1	-1	926:1:2
2	-1	926:1:2
3	-1	926:1:3
4	-1	926:1:3
5	-1	926:1:4
6	-1	926:1:4
7	-1	926:1:5
8	-1	926:1:5
9	-1	926:1:7
10	-1	926:1:7
11	4500	-1
12	5000	-1
13	6000	-1
14	6500	-1
15	7500	-1
16	8500	-1
17	9000	-1
18	10000	-1
19	11000	-1
20	12500	-1
21	13500	-1
22	14500	-1
23	16000	-1
24	17500	-1
25	18500	-1
26	20500	-1
27	22000	-1
28	24000	-1
29	25500	-1
30	27500	-1
31	29500	-1
32	31500	-1
33	34000	-1
34	36500	-1
35	39000	-1
36	41500	-1
37	44500	-1
38	48000	-1
39	50500	-1
40	54000	-1
