INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
dungeon	id	class	count	bind	weight	show	groupid	min	max	GongGao	ZhiDing
1200	232	1	1	1	0	2	0	-1	-1	-1	-1
1200	233	1	1	1	500	2	0	-1	-1	-1	-1
1200	234	1	1	1	500	2	0	-1	-1	-1	-1
1200	7493	1	1	1	9000	2	0	-1	-1	-1	-1
1201	233	1	1	1	500	2	0	-1	-1	-1	-1
1201	234	1	1	1	500	2	0	-1	-1	-1	-1
1201	235	1	1	1	3000	2	0	-1	-1	-1	-1
1201	7494	1	1	1	6000	2	0	-1	-1	-1	-1
1202	234	1	1	1	1000	2	0	-1	-1	-1	-1
1202	235	1	1	1	2000	2	0	-1	-1	-1	-1
1202	236	1	1	1	3000	2	0	-1	-1	-1	-1
1202	7495	1	1	1	4000	2	0	-1	-1	-1	-1
1203	235	1	1	1	1000	2	0	-1	-1	-1	-1
1203	236	1	1	1	3000	2	0	-1	-1	-1	-1
1203	237	1	1	1	3000	2	0	-1	-1	-1	-1
1203	7496	1	1	1	3000	2	0	-1	-1	-1	-1
1204	236	1	1	1	1000	2	0	-1	-1	-1	-1
1204	237	1	1	1	3000	2	0	-1	-1	-1	-1
1204	238	1	1	1	3000	2	0	-1	-1	-1	-1
1204	7497	1	1	1	3000	2	0	-1	-1	-1	-1
1205	237	1	1	1	3000	2	0	-1	-1	-1	-1
1205	238	1	1	1	4000	2	0	-1	-1	-1	-1
1205	239	1	1	1	3000	2	0	-1	-1	-1	-1
1206	237	1	1	1	3000	2	0	-1	-1	-1	-1
1206	238	1	1	1	4000	2	0	-1	-1	-1	-1
1206	239	1	1	1	3000	2	0	-1	-1	-1	-1
1207	237	1	1	1	3000	2	0	-1	-1	-1	-1
1207	238	1	1	1	4000	2	0	-1	-1	-1	-1
1207	239	1	1	1	3000	2	0	-1	-1	-1	-1
1208	237	1	1	1	3000	2	0	-1	-1	-1	-1
1208	238	1	1	1	4000	2	0	-1	-1	-1	-1
1208	239	1	1	1	3000	2	0	-1	-1	-1	-1
1209	237	1	1	1	3000	2	0	-1	-1	-1	-1
1209	238	1	1	1	4000	2	0	-1	-1	-1	-1
1209	239	1	1	1	3000	2	0	-1	-1	-1	-1
1210	108	1	1	0	4130	1	1	-1	-1	-1	-1
1210	70	1	1	0	1200	2	1	-1	-1	-1	-1
1210	71	1	1	0	900	2	1	-1	-1	-1	-1
1210	72	1	1	0	2842	2	1	-1	-1	239	-1
1210	84	1	1	0	25	2	1	1	99	239	-1
1210	92	1	1	0	3	2	1	3	97	239	0
1210	7123	1	1	0	900	2	1	-1	-1	-1	-1
1211	109	1	1	0	4130	1	2	-1	-1	-1	-1
1211	71	1	1	0	1200	2	2	-1	-1	-1	-1
1211	72	1	1	0	900	2	2	-1	-1	-1	-1
1211	73	1	1	0	2842	2	2	-1	-1	239	-1
1211	85	1	1	0	25	2	2	1	99	239	-1
1211	93	1	1	0	3	2	2	3	97	239	0
1211	7124	1	1	0	900	2	2	-1	-1	-1	-1
1212	70	1	1	0	4130	1	3	-1	-1	-1	-1
1212	74	1	1	0	1200	2	3	-1	-1	-1	-1
1212	75	1	1	0	900	2	3	-1	-1	-1	-1
1212	76	1	1	0	2842	2	3	-1	-1	239	-1
1212	86	1	1	0	25	2	3	1	99	239	0
1212	94	1	1	0	3	2	3	3	97	239	1
1212	7125	1	1	0	900	2	3	-1	-1	-1	-1
1213	71	1	1	0	4130	1	4	-1	-1	-1	-1
1213	75	1	1	0	1200	2	4	-1	-1	-1	-1
1213	76	1	1	0	900	2	4	-1	-1	-1	-1
1213	77	1	1	0	2842	2	4	-1	-1	239	-1
1213	87	1	1	0	25	2	4	1	99	239	0
1213	95	1	1	0	3	2	4	3	97	239	1
1213	7502	1	1	0	900	2	4	-1	-1	-1	-1
1214	72	1	1	0	4130	1	5	-1	-1	-1	-1
1214	76	1	1	0	1200	2	5	-1	-1	-1	-1
1214	77	1	1	0	900	2	5	-1	-1	-1	-1
1214	78	1	1	0	2842	2	5	-1	-1	239	-1
1214	88	1	1	0	25	2	5	1	99	239	0
1214	96	1	1	0	3	2	5	3	97	239	1
1214	7503	1	1	0	900	2	5	-1	-1	-1	-1
1215	75	1	1	0	4130	1	6	-1	-1	-1	-1
1215	79	1	1	0	1200	2	6	-1	-1	-1	-1
1215	80	1	1	0	900	2	6	-1	-1	-1	-1
1215	81	1	1	0	2842	2	6	-1	-1	239	0
1215	89	1	1	0	25	2	6	1	99	239	1
1215	97	1	1	0	3	2	6	3	97	239	1
1215	7504	1	1	0	900	2	6	-1	-1	-1	-1
1216	76	1	1	0	4130	1	7	-1	-1	-1	-1
1216	80	1	1	0	1200	2	7	-1	-1	-1	-1
1216	81	1	1	0	900	2	7	-1	-1	-1	-1
1216	82	1	1	0	2842	2	7	-1	-1	239	0
1216	90	1	1	0	25	2	7	1	99	239	1
1216	98	1	1	0	3	2	7	3	97	239	1
1216	7505	1	1	0	900	2	7	-1	-1	-1	-1
1217	77	1	1	0	4130	1	8	-1	-1	-1	-1
1217	81	1	1	0	1200	2	8	-1	-1	-1	-1
1217	82	1	1	0	1800	2	8	-1	-1	-1	-1
1217	83	1	1	0	2842	2	8	-1	-1	239	0
1217	91	1	1	0	25	2	8	1	99	239	1
1217	99	1	1	0	3	2	8	3	97	239	1
