INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	STRING	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT
mid	name	groupid	level	quality	ATTR_HP	ATTR_MP	ATTR_HP_REF	ATTR_ATK_MIN	ATTR_ATK_MAX	ATTR_DEF_MIN	ATTR_DEF_MIN	ATTR_EXA	ATTR_AGI	ATTR_CRI_VAL	ATTR_ATTACK_RATE 	ATTR_MOV_SPD	ATTR_CRI_RAT	ATTR_CRI_RDC	ATTR_DMG_ADD_PER	ATTR_DMG_RDC_PER	ATTR_DOD_DEF	ATTR_HP_ADD	ATTR_MP_ADD	ATTR_ATK_ADD	ATTR_DEF_ADD	ATTR_PARALYZE	ATTR_FROZEN	ATTR_DEF_PARALYZE	ATTR_DEF_FROZEN	ATTR_LL	ATTR_DMG_ADD	ATTR_LUCKY	Characteristic	CharacteristicPond	exp	type	revive_time	skill_id	unique_skill	random_skill	hpPercent	ai	hurt	vice_general_id	head	body	mini_body	ring	head_ring	bubble_dialog	show_mini	broadcast	drop_free	alpha	without_kickout	boss_identify	Fly	BloodNum	x	y	tips	Integral	TaskShare	PlayerId	HeadBloodNum	FaceNum	PersonalBoss	Race	Show	Direction	NuQi	DeadBody	Color	ActivitiesMonster	Portal	CopyID	PortalTime	EscapeOdds	HoradrimPrestige	HoradrimExp	Carrier_Add	PureDamage	NameColor	IfCurse	hitTestRect	Score	IsFree	titleIcon	titleHeight	QinFenType	QinFenZhi	ATTR_HP_NEW	IsTunShi	MidGroupid	FamilyValue	NuQiType	ATTR_ATK_XM	ATTR_DEF_XM	ATTR_ATK_ADD_XM	ATTR_DEF_ADD_XM	type2	IsQieGe	ATTR_DEF_DIZZY	EnergyCost	absorb_item	Is_SunMoon
1	小鸡	1	1	1	50	60000	0	1	1	2	2	100000	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	500	2501	0	0	0	1	0	0	gw147	2072	fj019	0	0	-1	0	0	0	100	0	0	0	1	96	331	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0x00ff00	1	1:1	0	1	-1	-1	1	0	100	0	1	0	0	0	0	0	0	0	1		0	952:1:1:1	1
2	小鹿	2	5	1	150	80000	0	1	1	7	7	100000	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	500	2501	0	0	0	1	0	0	gw147	2073	fj020	0	0	14	0	0	0	100	0	0	0	1	20	170	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0x00ff00	1	1:1	0	1	-1	-1	1	0	200	0	2	0	0	0	0	0	0	0	1		0	952:1:1:1	1
3	魔眼蛇	3	10	1	200	100000	0	1	1	15	15	100000	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	500	2501	0	0	0	1	0	0	gw147	2036	fj021	0	0	14	0	0	0	100	0	0	0	1	7	43	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0x00ff00	1	1:1	0	1	-1	-1	1	0	400	0	3	0	0	0	0	0	0	0	1		0	952:1:1:1	1
4	豹麟兽	4	13	1	230	120000	0	1	1	19	19	100000	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	500	2501	0	0	0	1	0	0	gw147	2003	fj021	0	0	14	0	0	0	100	0	0	0	1	7	43	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0x00ff00	1	1:1	0	1	-1	-1	1	0	500	0	4	0	0	0	0	0	0	0	1		0	952:1:1:1	1
5	妖冠蛇	5	15	1	260	140000	0	1	1	28	28	100000	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	500	2501	0	0	0	1	0	0	gw147	2057	fj022	0	0	14	0	0	0	100	0	0	0	1	63	188	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0x00ff00	1	1:1	0	1	-1	-1	1	0	600	0	5	0	0	0	0	0	0	0	1		0	952:1:1:1	1
6	魔血巨狼	6	20	1	360	160000	0	1	1	28	28	100000	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	500	2501	0	0	0	1	0	0	gw147	2063	fj022	0	0	14	0	0	0	100	0	0	0	1	63	188	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0x00ff00	1	1:1	0	1	-1	-1	1	0	800	0	6	0	0	0	0	0	0	0	1		0	952:1:1:1	1
7	骷髅	7	16	1	1619	0	0	1	1	33	33	100000	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	500	2501	0	0	0	2	0	0	gw147	201	fj022	0	0	-1	0	0	0	100	0	0	0	1	63	188	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0x00ff00	1	1:1	0	1	-1	-1	1	0	2428	0	7	0	0	0	0	0	0	0	1		0	952:1:1:1	1
8	僵尸	8	47	1	2259	0	0	1	1	82	82	100000	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	500	2501	0	0	0	2	0	0	gw147	206	fj021	0	0	-1	0	0	0	100	0	0	0	1	7	43	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0x00ff00	1	1:1	0	1	-1	-1	1	0	3388	0	8	0	0	0	0	0	0	0	1		0	952:1:1:1	1
9	骷髅战士	9	50	1	2899	0	0	1	1	82	82	100000	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	500	2501	0	0	0	2	0	0	gw147	212	fj021	0	0	-1	0	0	0	100	0	0	0	1	7	43	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0x00ff00	1	1:1	0	1	-1	-1	1	0	4348	0	9	0	0	0	0	0	0	0	1		0	952:1:1:1	1
10	魔化僵尸	10	100	1	3539	0	0	1	1	85	85	100000	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	500	2501	0	0	0	2	0	0	gw147	104	fj023	0	0	-1	0	0	0	100	0	0	0	1	53	261	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0x00ff00	1	1:1	0	1	-1	-1	1	0	5308	0	10	0	0	0	0	0	0	0	1		0	952:1:1:1	1
11	腐烂者	11	50	1	4179	0	0	1	1	85	85	100000	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	500	2501	0	0	0	2	0	0	gw147	205	fj024	0	0	-1	0	0	0	100	0	0	0	1	15	316	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0x00ff00	1	1:1	0	1	-1	-1	1	0	6268	0	11	0	0	0	0	0	0	0	1		0	952:1:1:1	1
12	幻魔巫师	12	55	1	4819	0	0	1	1	90	90	100000	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	500	2501	0	0	0	2	0	0	gw147	3	fj025	0	0	-1	0	0	0	100	0	0	0	1	103	352	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0x00ff00	1	1:1	0	1	-1	-1	1	0	7228	0	12	0	0	0	0	0	0	0	1		0	952:1:1:1	1
13	魅影尸魔	13	199	1	600000	0	0	500	500	90	90	100000	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	500	2403	0	0	0	2	0	0	gw147	2055	fj024	0	0	22	0	0	0	100	0	1	0	1	15	316	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0x00ff00	1	100:100	0	1	-1	-1	1	0	800000	0	13	0	0	0	0	0	0	0	1		0	952:1:1:1	1
14	猩红蝮蛇	14	65	1	6500	0	0	1	1	93	93	100000	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	500	2501	0	0	0	2	0	0	gw147	210	fj024	0	0	-1	0	0	0	100	0	0	0	1	15	316	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0x00ff00	1	1:1	0	1	-1	-1	1	0	9750	0	14	0	0	0	0	0	0	0	1		0	952:1:1:1	1
15	猩红枪卫	15	70	1	7000	0	0	1	1	93	93	100000	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	500	2501	0	0	0	2	0	0	gw147	209	fj025	0	0	-1	0	0	0	100	0	0	0	1	103	352	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0x00ff00	1	1:1	0	1	-1	-1	1	0	10500	0	15	0	0	0	0	0	0	0	1		0	952:1:1:1	1
16	放逐法师	16	65	1	7500	0	0	1	1	93	93	100000	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	500	2501	0	0	0	2	0	0	gw147	202	fj024	0	0	-1	0	0	0	100	0	0	0	1	15	316	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0x00ff00	1	1:1	0	1	-1	-1	1	0	11250	0	16	0	0	0	0	0	0	0	1		0	952:1:1:1	1
17	猩红血鹰	17	70	1	8000	0	0	1	1	93	93	100000	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	500	2501	0	0	0	2	0	0	gw147	215	fj025	0	0	-1	0	0	0	100	0	0	0	1	103	352	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0x00ff00	1	1:1	0	1	-1	-1	1	0	12000	0	17	0	0	0	0	0	0	0	1		0	952:1:1:1	1
18	猩红刀卫	18	65	1	8500	0	0	1	1	93	93	100000	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	500	2501	0	0	0	2	0	0	gw147	207	fj024	0	0	-1	0	0	0	100	0	0	0	1	15	316	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0x00ff00	1	1:1	0	1	-1	-1	1	0	12750	0	18	0	0	0	0	0	0	0	1		0	952:1:1:1	1
19	猩红斧卫	19	70	1	9000	0	0	1	1	93	93	100000	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	500	2501	0	0	0	2	0	0	gw147	213	fj025	0	0	-1	0	0	0	100	0	0	0	1	103	352	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0x00ff00	1	1:1	0	1	-1	-1	1	0	13500	0	19	0	0	0	0	0	0	0	1		0	952:1:1:1	1
