INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
ai	ai_style	ai_target	has_kingdom	view_range	move_range	randommove_range	randommove_mintime	randommove_maxtime	randommove_probability	run_range	hit_range	run_cd	PursuitRange
1	1	18	0	0	12	5	20000	30000	20	0	0	-1	18
2	1	18	0	6	12	5	20000	30000	10	0	0	-1	18
3	1	18	0	5	12	5	20000	30000	30	0	0	-1	18
4	1	18	0	5	12	5	5000	10000	60	0	0	-1	18
5	0	0	0	0	12	5	5000	10000	60	0	0	-1	18
6	1	18	0	0	12	0	0	0	0	0	0	-1	18
7	0	0	0	0	12	0	20000	30000	0	0	0	-1	18
8	0	18	0	0	12	5	5000	10000	60	0	0	-1	18
9	1	18	0	5	12	5	20000	30000	30	0	0	-1	18
10	1	18	0	5	12	0	0	0	0	0	0	-1	18
11	1	18	0	5	12	0	5000	10000	60	4	6	5000	18
12	1	18	0	5	12	0	0	0	0	0	0	-1	18
13	1	18	0	0	12	5	5000	10000	30	0	0	-1	18
201	1	18	0	6	20	0	0	0	0	0	0	-1	18
202	1	18	0	5	12	0	0	0	0	4	6	5000	18
203	1	0	0	0	0	0	0	0	0	0	0	-1	0
204	1	18	0	10	20	0	0	0	0	0	0	-1	20
205	1	511	0	25	25	0	0	0	0	0	0	-1	25
206	1	4	0	25	25	0	0	0	0	0	0	-1	25
207	1	18	0	6	20	0	0	0	0	0	0	-1	18
208	1	18	0	2	0	0	0	0	0	0	0	-1	0
209	1	18	0	3	20	0	0	0	0	0	0	-1	18
