INT	STRING	INT	STRING
groupid	name	targetMapId	TargetXY
1	小鸡	50034	37:112
2	小鹿	50034	68:96
3	魔眼蛇	50034	76:44
4	豹麟兽	50034	113:34
5	妖冠蛇	50034	116:67
6	魔血巨狼	50034	142:87
9008	魅影蜘蛛	50039	71:124
9009	白毛僵尸	50039	110:111
9010	孤魂野鬼	50039	95:89
9011	鬼猿	50039	89:34
9012	青煞僵尸	50039	61:60
9013	守护兽	50039	25:77
9014	银毛妖鼠	50040	26:95
9015	亡灵拳师	50040	17:62
9016	亡灵术士	50040	30:28
9017	血手斗士	50040	94:95
9018	灰爪	50040	104:71
9019	亡魂剑客	50040	91:22
9031	皇城霸主	50151	35:35
9036	试炼妖魔	50152	22:41
1001	亡魂法师	50095	73:67
1002	地下骷髅	50095	106:34
1003	变异蛇人	50095	66:15
1004	地下盗贼	50095	19:14
1005	地下剑客	50095	16:64
1006	宫殿斧兵	50095	21:120
1007	宫殿战士	50095	67:121
1008	亡魂法师	50017	73:67
1009	地下骷髅	50017	106:34
1010	变异蛇人	50017	66:15
1011	地下盗贼	50017	19:14
1012	地下剑客	50017	16:64
1013	宫殿斧兵	50017	21:120
1014	宫殿战士	50017	67:121
1015	亡魂法师	50018	73:67
1016	地下骷髅	50018	106:34
1017	变异蛇人	50018	66:15
1018	地下盗贼	50018	19:14
1019	地下剑客	50018	16:64
1020	宫殿斧兵	50018	21:120
1021	宫殿战士	50018	67:121
1022	亡魂法师	50019	73:67
1023	地下骷髅	50019	106:34
1024	变异蛇人	50019	66:15
1025	地下盗贼	50019	19:14
1026	地下剑客	50019	16:64
1027	宫殿斧兵	50019	21:120
1028	宫殿战士	50019	67:121
1029	亡魂法师	50020	73:67
1030	地下骷髅	50020	106:34
1031	变异蛇人	50020	66:15
1032	地下盗贼	50020	19:14
1033	地下剑客	50020	16:64
1034	宫殿斧兵	50020	21:120
1035	宫殿战士	50020	67:121
1036	亡魂法师	50021	73:67
1037	地下骷髅	50021	106:34
1038	变异蛇人	50021	66:15
1039	地下盗贼	50021	19:14
1040	地下剑客	50021	16:64
1041	宫殿斧兵	50021	21:120
1042	宫殿战士	50021	67:121
10001	魔殿妖尸[精英]	50042	71:80|86:104|123:79|119:45|91:27|57:24|20:54|39:103
10002	红魔卫士[领主]	50113	71:80|86:104|123:79|119:45|91:27|57:24|20:54|39:103
10003	魔风巨兽[霸主]	50114	71:80|86:104|123:79|119:45|91:27|57:24|20:54|39:103
9996	地狱咆哮[界主]	50115	71:80|86:104|123:79|119:45|91:27|57:24|20:54|39:103
10004	[妖级BOSS]	50107	30:200|85:200|80:150|35:80|100:100|130:150|100:50|161:54
10005	[魔级BOSS]	50116	30:200|85:200|80:150|35:80|100:100|130:150|100:50|161:54
10006	[王级BOSS]	50111	57:46
10007	[帝级BOSS]	50120	57:46
10008	[仙级BOSS]	50101	82:95
10009	[神级BOSS]	50123	82:95
10010	[鸿蒙BOSS]	50102	96:92
10011	[盘古BOSS]	50103	13:99
10012	[上古BOSS]	50092	57:62
10013	[远古BOSS]	50094	40:97
10014	[太古BOSS]	50131	51:82
10015	[创世BOSS]	50132	62:56
9997	[灭世BOSS]	50052	78:68
14009	虚·神级BOSS	50169	50:50
14010	虚·鸿蒙BOSS	50169	50:50
14011	虚·盘古BOSS	50169	50:50
14012	虚·上古BOSS	50169	50:50
14013	虚·远古BOSS	50170	50:50
14014	虚·太古BOSS	50170	50:50
14015	虚·创世BOSS	50171	50:50
14016	虚·灭世BOSS	50171	50:50
15001	心魔怪物	50182	30:116
