STRING	INT	INT
mid	Height	DeadHeight
1	75	60
2	100	65
3	80	80
4	95	95
5	85	85
6	90	90
13	220	220
20	250	250
21	260	260
22	280	280
23	260	260
24	270	270
25	280	280
26	150	150
27	150	150
28	150	150
29	150	150
1001	95	95
1002	95	95
1003	70	70
1004	110	110
1005	100	100
1006	105	105
1007	95	95
1008	95	95
1009	95	95
1010	70	70
1011	110	110
1012	100	100
1013	105	105
1014	95	95
1015	95	95
1016	95	95
1017	70	70
1018	110	110
1019	100	100
1020	105	105
1021	95	95
1022	95	95
1023	95	95
1024	70	70
1025	110	110
1026	100	100
1027	105	105
1028	95	95
1029	95	95
1030	95	95
1031	70	70
1032	110	110
1033	100	100
1034	105	105
1035	95	95
1036	95	95
1037	95	95
1038	70	70
1039	110	110
1040	100	100
1041	105	105
1042	95	95
2001	120	120
2002	120	120
2013	120	120
2014	120	260
2015	120	130
2016	120	260
2017	120	260
2018	120	260
2019	120	260
2020	120	260
2021	120	130
2022	120	260
2023	120	130
2024	120	260
2025	120	130
2026	120	320
2027	120	120
2028	350	350
2029	260	260
2030	260	260
2031	130	130
2032	260	260
2101	135	135
2102	135	135
2103	135	135
2104	135	135
2105	135	135
2106	135	135
2107	135	135
2108	135	135
2109	135	135
2110	135	135
2111	135	135
2112	135	135
2113	135	135
2114	150	150
2115	180	180
2116	180	180
2117	180	180
2118	210	210
2119	220	220
2120	220	220
2121	220	220
2122	220	220
2123	220	220
2124	220	220
2125	220	220
2126	260	260
9001	130	130
9002	120	120
9003	120	120
9004	120	120
9008	70	70
9009	140	140
9010	140	140
9011	140	140
9012	140	140
9013	100	100
9014	140	140
9015	130	130
9016	140	140
9017	130	130
9018	130	130
9019	170	170
9020	130	130
9021	130	130
9022	130	130
9023	130	130
9024	130	130
9025	130	130
9026	130	130
9027	130	130
9031	130	130
9032	130	130
9033	130	130
9034	130	130
9035	130	130
9036	130	130
9037	150	150
9039	260	260
9996	180	180
9997	220	220
9998	120	120
9999	120	120
10001	150	150
10002	150	150
10003	150	150
10004	180	180
10005	180	180
10006	220	220
10007	210	210
10008	220	220
10009	220	220
10010	220	220
10011	220	220
10012	220	220
10013	260	260
10014	220	220
10015	220	220
10016	260	260
10017	260	260
10018	260	260
10019	260	260
10020	280	320
10021	280	320
10022	280	320
10023	280	320
10024	280	320
10025	280	320
10026	280	320
10027	280	320
11004	200	200
11005	220	220
11006	180	180
11007	190	190
11008	200	200
11009	240	240
11010	220	220
11011	260	260
11012	260	260
11013	260	260
11014	260	260
11015	260	260
11016	260	260
13009	220	220
13010	220	220
13011	220	220
13012	220	220
13013	260	260
13014	220	220
13015	220	220
13016	220	220
14009	220	220
14010	220	220
14011	220	220
14012	220	220
14013	260	260
14014	220	220
14015	220	220
14016	220	220
14017	260	260
14018	260	260
14019	260	260
14020	260	260
14021	280	320
14022	280	320
14023	280	320
14024	280	320
14025	280	320
14026	280	320
14027	280	320
14028	280	320
14029	300	300
14030	300	300
14031	300	300
20001	150	150
20002	150	150
20003	150	150
20004	150	150
20005	180	180
20006	180	180
20007	220	220
20008	210	210
20009	220	220
20010	220	220
20011	220	220
20012	220	220
20013	220	220
20014	220	220
20015	220	220
20016	220	220
20017	220	220
20018	260	260
20019	260	260
20020	260	260
20021	260	260
20022	120	120
20023	120	120
30001	280	150
30002	280	150
30003	280	150
30004	280	150
30005	280	150
31000	300	150
31001	310	150
