INT	STRING	STRING	INT
Level	Maps	M_Name	Sort
300	50106|50140|50107|50117|50118|50111|50119|50120|50121|50024|50074	妖级BOSS	1
400	50106|50140|50116|50117|50118|50111|50119|50120|50121|50101|50122|50123|50124|50024|50025|50026|50102|50074|50075	魔级BOSS	2
500	50106|50140|50117|50118|50111|50119|50120|50121|50101|50122|50123|50124|50102|50103|50024|50025|50026|50074|50075|50076	王级BOSS	3
600	50106|50140|50111|50119|50120|50121|50101|50122|50123|50124|50102|50103|50092|50024|50025|50026|50027|50074|50075|50076|50077	帝级BOSS	4
700	50106|50140|50101|50122|50123|50124|50102|50103|50092|50094|50025|50026|50027|50074|50075|50076|50077|50078	仙级BOSS	5
800	50106|50140|50101|50122|50123|50124|50102|50103|50092|50094|50131|50025|50026|50027|50028|50035|50074|50075|50076|50077|50078|50079|50080|50081|50082|	神级BOSS	6
1000	50106|50140|50102|50103|50092|50094|50131|50132|50026|50027|50028|50035|50036|50074|50075|50076|50077|50078|50079|50080|50081|50082|50083|50084|50134	鸿蒙BOSS	7
1100	50106|50140|50103|50092|50094|50131|50132|50052|50093|50139|50027|50028|50029|50035|50036|50075|50076|50077|50078|50079|50080|50081|50082|50083|50084|50085|50086|50134|	盘古BOSS	8
1200	50106|50140|50092|50094|50131|50132|50052|50093|50139|50155|50159|50027|50028|50029|50035|50036|50037|50076|50077|50078|50079|50080|50081|50082|50083|50084|50085|50086|50087|50088|50134|	上古BOSS	9
1300	50106|50140|50094|50131|50132|50052|50093|50139|50155|50159|50160|50028|50029|50035|50036|50037|50038|50077|50078|50079|50080|50081|50082|50083|50084|50085|50086|50087|50088|50089|50090|50125|50134|50070	远古BOSS	10
1500	50106|50140|50131|50132|50052|50093|50139|50155|50159|50160|50028|50029|50035|50036|50037|50038|50112|50078|50079|50080|50081|50082|50083|50084|50085|50086|50087|50088|50089|50090|50091|50125|50126|50134|50070|50071|50072	太古BOSS	11
1700	50106|50140|50132|50052|50093|50139|50155|50159|50160|50029|50036|50037|50038|50112|50079|50080|50081|50082|50083|50084|50085|50086|50087|50088|50089|50090|50091|50125|50126|50134|50070|50071|50072|50073	创世BOSS	12
1900	50052|50093|50139|50155|50159|50160|50029|50036|50037|50038|50112|50080|50081|50082|50083|50084|50085|50086|50087|50088|50089|50090|50091|50125|50126|50134|50070|50071|50072|50073	灭世BOSS	13
2000	50106|50140|50131|50132|50052|50093|50139|50155|50159|50160|50028|50029|50035|50036|50037|50038|50112|50081|50082|50083|50084|50085|50086|50087|50088|50089|50090|50091|50125|50126|50127|50134|50070|50071|50072|50073	星级BOSS	14
