INT	INT	STRING	INT	INT	INT	INT
ID	Type	Item	Rate	ShowCost	Cost	CutPic
1	1121	602:1:20:1	1355	2000	2000	0
2	1121	603:1:20:1	1336	2000	2000	0
3	1121	604:1:20:1	1336	2000	2000	0
4	1121	647:1:3:1	159	900	900	0
5	1121	13:1:2:1	213	2000	2000	0
6	1121	502:1:10:1	266	1000	1000	0
7	1121	505:1:1:1	266	1000	1000	0
8	1121	507:1:1:1	159	1000	1000	0
9	1121	510:1:1:1	159	1000	1000	0
10	1121	158:1:1:1	106	4000	4000	0
11	1121	602:1:20:1	666	2000	1600	3
12	1121	603:1:20:1	666	2000	1600	3
13	1121	604:1:20:1	666	2000	1600	3
14	1121	647:1:3:1	80	900	720	3
15	1121	13:1:2:1	106	2000	1600	3
16	1121	502:1:10:1	133	1000	800	3
17	1121	505:1:1:1	133	1000	800	3
18	1121	507:1:1:1	80	1000	800	3
19	1121	510:1:1:1	80	1000	800	3
20	1121	158:1:1:1	52	4000	3200	3
23	1121	602:1:20:1	333	2000	1000	2
24	1121	603:1:20:1	333	2000	1000	2
25	1121	604:1:20:1	333	2000	1000	2
26	1121	647:1:3:1	39	900	450	2
27	1121	13:1:2:1	52	2000	1000	2
28	1121	502:1:10:1	67	1000	500	2
29	1121	505:1:1:1	67	1000	500	2
30	1121	507:1:1:1	39	1000	500	2
31	1121	510:1:1:1	39	1000	500	2
32	1121	158:1:1:1	26	4000	2000	2
35	1121	602:1:20:1	165	2000	600	1
36	1121	603:1:20:1	165	2000	600	1
37	1121	604:1:20:1	165	2000	600	1
38	1121	647:1:3:1	19	900	270	1
39	1121	13:1:2:1	26	2000	600	1
40	1121	502:1:10:1	32	1000	300	1
41	1121	505:1:1:1	32	1000	300	1
42	1121	507:1:1:1	19	1000	300	1
43	1121	510:1:1:1	19	1000	300	1
44	1121	158:1:1:1	13	4000	1200	1
47	1122	602:1:25:1	697	2500	2500	0
48	1122	603:1:25:1	668	2500	2500	0
49	1122	604:1:25:1	667	2500	2500	0
50	1122	605:1:25:1	667	2500	2500	0
51	1122	606:1:25:1	667	2500	2500	0
52	1122	607:1:25:1	667	2500	2500	0
53	1122	647:1:3:1	159	900	900	0
54	1122	13:1:2:1	213	2000	2000	0
55	1122	502:1:10:1	266	1000	1000	0
56	1122	505:1:1:1	266	1000	1000	0
57	1122	507:1:1:1	159	1000	1000	0
58	1122	510:1:1:1	159	1000	1000	0
59	1122	158:1:1:1	106	4000	4000	0
60	1122	602:1:25:1	333	2500	2000	3
61	1122	603:1:25:1	333	2500	2000	3
62	1122	604:1:25:1	333	2500	2000	3
63	1122	605:1:25:1	333	2500	2000	3
64	1122	606:1:25:1	333	2500	2000	3
65	1122	607:1:25:1	333	2500	2000	3
66	1122	647:1:3:1	80	900	720	3
67	1122	13:1:2:1	106	2000	1600	3
68	1122	502:1:10:1	133	1000	800	3
69	1122	505:1:1:1	133	1000	800	3
70	1122	507:1:1:1	80	1000	800	3
71	1122	510:1:1:1	80	1000	800	3
72	1122	158:1:1:1	52	4000	3200	3
75	1122	602:1:25:1	165	2500	1250	2
76	1122	603:1:25:1	165	2500	1250	2
77	1122	604:1:25:1	165	2500	1250	2
78	1122	605:1:25:1	165	2500	1250	2
79	1122	606:1:25:1	165	2500	1250	2
80	1122	607:1:25:1	165	2500	1250	2
81	1122	647:1:3:1	39	900	450	2
82	1122	13:1:2:1	52	2000	1000	2
83	1122	502:1:10:1	67	1000	500	2
84	1122	505:1:1:1	67	1000	500	2
85	1122	507:1:1:1	39	1000	500	2
86	1122	510:1:1:1	39	1000	500	2
87	1122	158:1:1:1	26	4000	2000	2
90	1122	602:1:25:1	83	2500	750	1
91	1122	603:1:25:1	83	2500	750	1
92	1122	604:1:25:1	83	2500	750	1
93	1122	605:1:25:1	83	2500	750	1
94	1122	606:1:25:1	83	2500	750	1
95	1122	607:1:25:1	83	2500	750	1
96	1122	647:1:3:1	19	900	270	1
