INT	INT	STRING	INT	INT	STRING	INT	INT	INT	INT	STRING
Index	ActivityType	Items	Type	Price	currentPrice	Rate	MinLevel	MaxLevel	GongGao	BuyCurrency
1	1	507:1:10:1	1	900	1000	4817	1	9999	-1	-1
2	1	510:1:10:1	1	900	1000	4817	1	9999	-1	-1
3	1	568:1:10:1	1	2700	3000	2409	1	9999	-1	-1
4	1	570:1:10:1	1	9000	10000	2409	1	9999	-1	-1
5	1	508:1:10:1	1	9000	10000	2409	1	9999	-1	-1
6	1	511:1:10:1	1	9000	10000	2409	1	9999	-1	-1
7	1	638:1:50:1	1	9000	10000	2409	1	9999	-1	-1
8	1	619:1:2:1	1	396	440	3854	1	9999	-1	-1
9	1	620:1:2:1	1	396	440	3854	1	9999	-1	-1
10	1	621:1:2:1	1	396	440	3854	1	9999	-1	-1
11	1	601:1:30:1	1	540	600	4817	1	9999	-1	-1
12	1	564:1:40:1	1	1800	2000	4336	1	9999	-1	-1
13	1	18:1:20:1	1	1800	2000	4817	1	9999	-1	-1
14	1	566:1:20:1	1	3600	4000	2890	1	9999	-1	-1
15	1	158:1:20:1	1	7200	8000	4817	1	9999	-1	-1
16	1	575:1:20:1	1	360	400	4817	1	9999	-1	-1
17	1	647:1:15:1	1	405	450	4817	1	9999	-1	-1
18	1	623:1:2:1	1	540	600	1445	1	9999	-1	-1
19	1	624:1:2:1	1	540	600	1445	1	9999	-1	-1
20	1	625:1:2:1	1	540	600	1445	1	9999	-1	-1
21	1	565:1:10:1	1	1800	2000	963	1	9999	-1	-1
22	1	410:1:2:1	1	1800	2000	963	1	9999	-1	-1
23	1	599:1:3:1	1	2700	3000	963	1	9999	-1	-1
24	1	25:8:1:1	1	10260	11400	241	1	9999	295	-1
25	1	30:8:1:1	1	10260	11400	241	1	9999	295	-1
26	1	35:8:1:1	1	10260	11400	241	1	9999	295	-1
27	1	45:8:1:1	1	20430	22700	48	1	9999	295	-1
28	1	50:8:1:1	1	20430	22700	48	1	9999	295	-1
29	1	55:8:1:1	1	20430	22700	48	1	9999	295	-1
30	1	704:1:50:1	1	1800	2000	482	1	9999	295	-1
