INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING
Index	Type	Level	Start	End	Effect	Items	BUFF	Notice	Surplus	effect	TabIndex	TabStart	TabEnd	Image	ClickEffect	Effect1	Items1
1	1	1	1	9999	888	10152:2:1|10153:2:1|10154:2:1|10155:2:1|10157:2:1|10158:2:1|10159:2:1|10160:2:1	-1	432	-1	-1	1	1	9999	0	-1	0	-1
2	1	1	1	9999	2888	13:1:30:1|508:1:1:1|575:1:2:1|567:1:2:1|151:1:10:1	-1	433	-1	-1	1	1	9999	0	-1	0	-1
3	1	1	1	9999	6888	564:1:138:1|508:1:2:1|575:1:5:1|568:1:2:1|151:1:20:1	-1	434	-1	-1	1	1	9999	0	-1	0	-1
4	1	1	1	9999	16888	10201:2:1:1|512:1:1:1|511:1:5:1|570:1:2:1|151:1:50:1	-1	435	-1	-1	1	1	9999	0	-1	0	-1
5	2	1	1	7	888	-1	100	436	-1	1	2	9999	99999	0	-1	0	-1
6	2	1	1	7	8888	-1	300	436	-1	2	2	9999	99999	0	-1	0	-1
7	2	1	1	7	18888	-1	500	436	-1	3	2	9999	99999	0	-1	0	-1
8	4	1	1	7	100	13:1:1:1|502:1:15:1|151:1:1:1	-1	438	1500	-1	4	1	7	7	-1	0	-1
9	4	1	1	7	200	10210:2:1:1|505:1:2:1|151:1:2:1	-1	438	500	-1	4	1	7	7	-1	0	-1
10	4	1	1	7	300	10255:2:1:1|502:1:20:1|151:1:5:1	-1	438	150	-1	4	1	7	7	-1	0	-1
11	4	1	1	7	350	10196:2:1:1|505:1:3:1|151:1:10:1	-1	438	50	-1	4	1	7	7	-1	0	-1
12	4	1	1	7	400	10206:2:1:1|502:1:30:1|151:1:20:1	-1	438	12	-1	4	1	7	7	-1	0	-1
13	4	1	1	7	450	584:1:1:0|505:1:4:1|151:1:50:1	-1	438	3	-1	4	1	7	7	-1	0	-1
14	5	1	4	7	2	564:1:12:1	-1	439	500	-1	4	1	7	1	-1	0	-1
15	5	1	4	7	4	564:1:50:1	-1	439	150	-1	4	1	7	2	-1	0	-1
16	5	1	4	7	6	564:1:188:1	-1	439	50	-1	4	1	7	3	-1	0	-1
17	5	1	4	7	8	564:1:388:1	-1	439	15	-1	4	1	7	4	-1	0	-1
18	5	1	4	7	10	564:1:1288:1	-1	439	3	-1	4	1	7	5	-1	0	-1
19	5	1	4	7	12	564:1:1888:1	-1	439	1	-1	4	1	7	6	-1	0	-1
20	17	1	1	7	1	-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|774:1:1|774:1:1	-1	-1	-1	1	12	1	7	0	-1	2	3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|4|4
21	6	1	1	7	-1	-1	-1	440	-1	-1	5	1	7	0	-1	0	-1
22	7	1	1	3	-1	-1	-1	441	-1	-1	6	1	3	0	-1	0	-1
23	8	1	1	7	-1	-1	-1	443	-1	-1	7	1	7	0	-1	0	-1
24	9	1	1	7	-1	20081:2:1|583:1:1|583:1:1|583:1:1|583:1:1	-1	442	-1	-1	8	1	7	0	-1	0	-1
25	10	1	2	7	1	6001:1:1:1	-1	465	1500	-1	4	1	7	8	-1	0	-1
26	10	1	2	7	11	13:1:10:1	-1	465	500	-1	4	1	7	9	-1	0	-1
27	10	1	2	7	21	13:1:20:1	-1	465	150	-1	4	1	7	10	-1	0	-1
28	10	1	2	7	31	13:1:30:1	-1	465	50	-1	4	1	7	11	-1	0	-1
29	10	1	2	7	45	13:1:45:1	-1	465	12	-1	4	1	7	12	-1	0	-1
30	10	1	2	7	61	13:1:60:1	-1	465	3	-1	4	1	7	15	-1	0	-1
31	11	1	3	7	3	578:1:25:1	-1	466	500	-1	4	1	7	16	-1	0	-1
32	11	1	3	7	5	578:1:50:1	-1	466	150	-1	4	1	7	16	-1	0	-1
33	11	1	3	7	7	578:1:80:1	-1	466	50	-1	4	1	7	16	-1	0	-1
34	11	1	3	7	9	578:1:115:1	-1	466	15	-1	4	1	7	16	-1	0	-1
35	11	1	3	7	11	578:1:390:1	-1	466	3	-1	4	1	7	16	-1	0	-1
