INT	INT	STRING	INT	INT
Index	NpcId	Desc	Level	OpenServerDay
1	3010	#00ff00|尊·剑甲合成	300	4
2	3010	#00ff00|尊·首饰合成	300	4
3	3010	#00ff00|佛·剑甲合成	300	7
4	3010	#00ff00|佛·首饰合成	300	7
5	3011	#00ff00|尊·剑甲合成	400	4
6	3011	#00ff00|尊·首饰合成	400	4
7	3011	#00ff00|佛·剑甲合成	400	7
8	3011	#00ff00|佛·首饰合成	400	7
9	3012	#00ff00|尊·剑甲合成	500	4
10	3012	#00ff00|尊·首饰合成	500	4
11	3012	#00ff00|佛·剑甲合成	500	7
12	3012	#00ff00|佛·首饰合成	500	7
13	3013	#00ff00|尊·剑甲合成	600	4
14	3013	#00ff00|尊·首饰合成	600	4
15	3013	#00ff00|佛·剑甲合成	600	7
16	3013	#00ff00|佛·首饰合成	600	7
