INT	INT	STRING	INT	INT	INT
Index	NpcId	Desc	BigIndex	Level	OpenServerDay
1	3010	#00ff00|[29阶]尊·剑甲合成	1	300	4
2	3010	#00ff00|[30阶]尊·剑甲合成	1	300	4
3	3010	#00ff00|[33阶]尊·首饰合成	2	300	4
4	3010	#00ff00|[34阶]尊·首饰合成	2	300	4
5	3010	#00ff00|[29阶]佛·剑甲合成	3	300	7
6	3010	#00ff00|[30阶]佛·剑甲合成	3	300	7
7	3010	#00ff00|[33阶]佛·首饰合成	4	300	7
8	3010	#00ff00|[34阶]佛·首饰合成	4	300	7
9	3011	#00ff00|[31阶]尊·剑甲合成	5	400	4
10	3011	#00ff00|[32阶]尊·剑甲合成	5	400	4
11	3011	#00ff00|[33阶]尊·剑甲合成	5	400	4
12	3011	#00ff00|[35阶]尊·首饰合成	6	400	4
13	3011	#00ff00|[36阶]尊·首饰合成	6	400	4
14	3011	#00ff00|[31阶]佛·剑甲合成	7	400	7
15	3011	#00ff00|[32阶]佛·剑甲合成	7	400	7
16	3011	#00ff00|[33阶]佛·剑甲合成	7	400	7
17	3011	#00ff00|[35阶]佛·首饰合成	8	400	7
18	3011	#00ff00|[36阶]佛·首饰合成	8	400	7
19	3012	#00ff00|[34阶]尊·剑甲合成	9	500	4
20	3012	#00ff00|[35阶]尊·剑甲合成	9	500	4
21	3012	#00ff00|[36阶]尊·剑甲合成	9	500	4
22	3012	#00ff00|[37阶]尊·首饰合成	10	500	4
23	3012	#00ff00|[38阶]尊·首饰合成	10	500	4
24	3012	#00ff00|[34阶]佛·剑甲合成	11	500	7
25	3012	#00ff00|[35阶]佛·剑甲合成	11	500	7
26	3012	#00ff00|[36阶]佛·剑甲合成	11	500	7
27	3012	#00ff00|[37阶]佛·首饰合成	12	500	7
28	3012	#00ff00|[38阶]佛·首饰合成	12	500	7
29	3012	#00ff00|[37阶]尊·剑甲合成	9	500	4
30	3012	#00ff00|[38阶]尊·剑甲合成	9	500	4
31	3013	#00ff00|[39阶]尊·剑甲合成	13	600	4
32	3013	#00ff00|[40阶]尊·剑甲合成	13	600	4
33	3012	#00ff00|[39阶]尊·首饰合成	10	500	4
34	3012	#00ff00|[40阶]尊·首饰合成	10	500	4
35	3012	#00ff00|[37阶]佛·剑甲合成	11	500	7
36	3012	#00ff00|[38阶]佛·剑甲合成	11	500	7
37	3013	#00ff00|[39阶]佛·剑甲合成	15	600	7
38	3013	#00ff00|[40阶]佛·剑甲合成	15	600	7
39	3012	#00ff00|[39阶]佛·首饰合成	12	500	7
40	3012	#00ff00|[40阶]佛·首饰合成	12	500	7
41	3013	#00ff00|[41阶]尊·首饰合成	14	600	4
42	3013	#00ff00|[41阶]佛·首饰合成	16	600	7
