INT	INT	INT	INT	INT	INT	INT	INT	INT
Index	NpcId	FromEquipId	FromEquipCount	ToEquipId	BigIndex	Level	OpenServerDay	ItemCombineId
1	3010	10231	2	11231	1	300	4	5001
2	3010	10236	2	11236	1	300	4	5002
3	3010	10241	2	11241	2	300	4	5003
4	3010	10246	2	11246	2	300	4	5004
5	3010	10322	2	11322	3	300	4	5005
6	3010	10323	2	11323	3	300	4	5006
7	3010	10324	2	11324	3	300	4	5007
8	3010	10325	2	11325	3	300	4	5008
9	3010	10327	2	11327	3	300	4	5009
10	3010	10328	2	11328	3	300	4	5010
11	3010	10329	2	11329	3	300	4	5011
12	3010	10330	2	11330	3	300	4	5012
13	3010	10332	2	11332	4	300	4	5013
14	3010	10333	2	11333	4	300	4	5014
15	3010	10334	2	11334	4	300	4	5015
16	3010	10335	2	11335	4	300	4	5016
17	3010	10337	2	11337	4	300	4	5017
18	3010	10338	2	11338	4	300	4	5018
19	3010	10339	2	11339	4	300	4	5019
20	3010	10340	2	11340	4	300	4	5020
21	3010	11231	2	12231	5	300	7	5021
22	3010	11236	2	12236	5	300	7	5022
23	3010	11241	2	12241	6	300	7	5023
24	3010	11246	2	12246	6	300	7	5024
25	3010	11322	2	12322	7	300	7	5025
26	3010	11323	2	12323	7	300	7	5026
27	3010	11324	2	12324	7	300	7	5027
28	3010	11325	2	12325	7	300	7	5028
29	3010	11327	2	12327	7	300	7	5029
30	3010	11328	2	12328	7	300	7	5030
31	3010	11329	2	12329	7	300	7	5031
32	3010	11330	2	12330	7	300	7	5032
33	3010	11332	2	12332	8	300	7	5033
34	3010	11333	2	12333	8	300	7	5034
35	3010	11334	2	12334	8	300	7	5035
36	3010	11335	2	12335	8	300	7	5036
37	3010	11337	2	12337	8	300	7	5037
38	3010	11338	2	12338	8	300	7	5038
39	3010	11339	2	12339	8	300	7	5039
40	3010	11340	2	12340	8	300	7	5040
41	3011	10251	2	11251	9	400	4	5041
42	3011	10256	2	11256	9	400	4	5042
43	3011	10261	2	11261	10	400	4	5043
44	3011	10266	2	11266	10	400	4	5044
45	3011	10271	2	11271	11	400	4	5045
46	3011	10276	2	11276	11	400	4	5046
47	3011	10342	2	11342	12	400	4	5047
48	3011	10343	2	11343	12	400	4	5048
49	3011	10344	2	11344	12	400	4	5049
50	3011	10345	2	11345	12	400	4	5050
51	3011	10347	2	11347	12	400	4	5051
52	3011	10348	2	11348	12	400	4	5052
53	3011	10349	2	11349	12	400	4	5053
54	3011	10350	2	11350	12	400	4	5054
55	3011	10352	2	11352	13	400	4	5055
56	3011	10353	2	11353	13	400	4	5056
57	3011	10354	2	11354	13	400	4	5057
58	3011	10355	2	11355	13	400	4	5058
59	3011	10357	2	11357	13	400	4	5059
60	3011	10358	2	11358	13	400	4	5060
61	3011	10359	2	11359	13	400	4	5061
62	3011	10360	2	11360	13	400	4	5062
63	3011	11251	2	12251	14	400	7	5063
64	3011	11256	2	12256	14	400	7	5064
65	3011	11261	2	12261	15	400	7	5065
66	3011	11266	2	12266	15	400	7	5066
67	3011	11271	2	12271	16	400	7	5067
68	3011	11276	2	12276	16	400	7	5068
69	3011	11342	2	12342	17	400	7	5069
70	3011	11343	2	12343	17	400	7	5070
71	3011	11344	2	12344	17	400	7	5071
72	3011	11345	2	12345	17	400	7	5072
73	3011	11347	2	12347	17	400	7	5073
74	3011	11348	2	12348	17	400	7	5074
75	3011	11349	2	12349	17	400	7	5075
76	3011	11350	2	12350	17	400	7	5076
77	3011	11352	2	12352	18	400	7	5077
78	3011	11353	2	12353	18	400	7	5078
79	3011	11354	2	12354	18	400	7	5079
80	3011	11355	2	12355	18	400	7	5080
81	3011	11357	2	12357	18	400	7	5081
82	3011	11358	2	12358	18	400	7	5082
