INT	INT	INT	INT	INT	INT
MinLevel	MaxLevel	MinuteExp	TwoTimes	ThreeTimes	ExpMoney
1	2	100	40	50	10000
2	3	100	40	50	10000
3	4	100	40	50	10000
4	5	100	40	50	10000
5	6	100	40	50	10000
6	7	100	40	50	10000
7	8	100	40	50	10000
8	9	100	40	50	10000
9	10	100	40	50	10000
10	11	100	40	50	10000
11	12	100	40	50	10000
12	13	100	40	50	10000
13	14	100	40	50	10000
14	15	100	40	50	10000
15	16	100	40	50	10000
16	17	100	40	50	10000
17	18	100	40	50	10000
18	19	100	40	50	10000
19	20	100	40	50	10000
20	21	100	40	50	10000
21	22	100	40	50	10000
22	23	100	40	50	10000
23	24	100	40	50	10000
24	25	100	40	50	10000
25	26	100	40	50	10000
26	27	100	40	50	10000
27	28	100	40	50	10000
28	29	100	40	50	10000
29	30	100	40	50	10000
30	31	100	40	50	10000
31	32	100	40	50	10000
32	33	100	40	50	10000
33	34	100	40	50	10000
34	35	100	40	50	10000
35	36	100	40	50	10000
36	37	100	40	50	10000
37	38	100	40	50	10000
38	39	100	40	50	10000
39	40	100	40	50	10000
40	41	100	40	50	10000
41	42	100	40	50	10000
42	43	100	40	50	10000
43	44	100	40	50	10000
44	45	100	40	50	10000
45	46	100	40	50	10000
46	47	100	40	50	10000
47	48	100	40	50	10000
48	49	100	40	50	10000
49	50	100	40	50	10000
50	51	3000	40	50	10000
51	52	3070	40	50	10000
52	53	3140	40	50	10000
53	54	3210	40	50	10000
54	55	3280	40	50	10000
55	56	3350	40	50	10000
56	57	3420	40	50	10000
57	58	3490	40	50	10000
58	59	3560	40	50	10000
59	60	3630	40	50	100000
60	61	3700	40	50	100000
61	62	3770	40	50	100000
62	63	3840	40	50	100000
63	64	3910	40	50	100000
64	65	3980	40	50	100000
65	66	4050	40	50	100000
66	67	4120	40	50	100000
67	68	4190	40	50	100000
68	69	4260	40	50	100000
69	70	4330	40	50	100000
70	71	5000	40	50	100000
71	72	5338	40	50	100000
72	73	5688	40	50	100000
73	74	6050	40	50	100000
74	75	6422	40	50	100000
75	76	6805	40	50	100000
76	77	7200	40	50	100000
77	78	7605	40	50	100000
78	79	8022	40	50	100000
79	80	8450	40	50	100000
80	81	8888	40	50	100000
81	82	9338	40	50	102000
82	83	9800	40	50	104000
83	84	10272	40	50	106000
84	85	10755	40	50	108000
85	86	11250	40	50	110000
86	87	11755	40	50	112000
87	88	12272	40	50	114000
88	89	12800	40	50	116000
89	90	13338	40	50	118000
90	91	13888	40	50	120000
91	92	14450	40	50	122000
92	93	15022	40	50	124000
93	94	15605	40	50	126000
94	95	16200	40	50	128000
95	96	16805	40	50	130000
96	97	17422	40	50	132000
97	98	18050	40	50	134000
98	99	18688	40	50	136000
99	100	19338	40	50	138000
100	101	20000	40	50	140000
101	102	20672	40	50	142000
102	103	21355	40	50	144000
103	104	22050	40	50	146000
104	105	22755	40	50	148000
105	106	23472	40	50	150000
106	107	24200	40	50	152000
107	108	24938	40	50	154000
108	109	25688	40	50	156000
109	110	26450	40	50	158000
110	111	27222	40	50	160000
111	112	28005	40	50	162000
112	113	28800	40	50	164000
113	114	29605	40	50	166000
114	115	30422	40	50	168000
115	116	31250	40	50	170000
116	117	32088	40	50	172000
117	118	32938	40	50	174000
118	119	33800	40	50	176000
119	120	34672	40	50	178000
120	121	35000	40	50	178020
121	122	35100	40	50	178040
122	123	35200	40	50	178060
123	124	35300	40	50	178080
124	125	35400	40	50	178100
125	126	35500	40	50	178120
126	127	35600	40	50	178140
127	128	35700	40	50	178160
128	129	35800	40	50	178180
129	130	35900	40	50	178200
130	131	36000	40	50	178220
131	132	36100	40	50	178240
132	133	36200	40	50	178260
133	134	36300	40	50	178280
134	135	36400	40	50	178300
135	136	36500	40	50	178320
136	137	36600	40	50	178340
137	138	36700	40	50	178360
138	139	36800	40	50	178380
139	140	36900	40	50	178400
140	141	37000	40	50	178420
141	142	37100	40	50	178440
142	143	37200	40	50	178460
143	144	37300	40	50	178480
144	145	37400	40	50	178500
145	146	37500	40	50	178520
