INT	STRING	STRING	INT	STRING
Index	StartTime	EndTime	Icon	Platform
1	2018-08-10 00:00:00	2018-08-20 23:59:59	130	w360
2	2018-06-20 00:00:00	2018-06-26 23:59:59	1035	yilewan
3	2018-07-26 00:00:00	2018-07-28 23:59:59	1049	duowanclouds
4	2018-08-03 00:00:00	2018-08-07 23:59:59	1050	w360
5	2018-08-06 00:00:00	2030-06-26 23:59:59	1059	w360
6	2018-08-16 00:00:00	2018-08-18 23:59:59	1061	duowanclouds
7	2018-09-13 00:00:00	2018-09-15 23:59:59	1064	w360
8	2018-09-13 00:00:00	2018-09-15 23:59:59	1065	w360
9	2018-08-10 00:00:00	2018-08-20 23:59:59	1066	w360
10	2018-06-20 00:00:00	2018-06-26 23:59:59	1067	yilewan
11	2018-08-27 00:00:00	2018-08-03 23:59:59	1068	duowanclouds
12	2018-06-20 00:00:00	2018-09-14 23:59:59	1069	37wan
13	2018-06-20 00:00:00	2018-06-26 23:59:59	1075	duowanclouds
14	2019-04-25 00:00:00	2019-04-27 23:59:59	1068	duowanclouds
15	2018-06-20 00:00:00	2030-06-26 23:59:59	1077	7youxi
16	2018-09-13 00:00:00	2018-09-14 23:59:59	1087	37wan
17	2018-11-20 09:00:00	2018-11-30 23:59:59	1088	w360
18	2018-09-13 00:00:00	2018-09-15 23:59:59	1089	w360
19	2019-04-18 00:00:00	2019-04-20 23:59:59	1090	duowanclouds
20	2018-06-20 00:00:00	2018-09-21 23:59:59	1098	yilewan
21	2018-09-20 00:00:00	2018-09-21 23:59:59	1099	37wan
22	2018-06-20 00:00:00	2018-10-07 00:00:00	1102	37wan
23	2018-10-01 00:00:00	2018-10-07 00:00:00	1103	37wan
24	2019-04-22 00:00:00	2019-10-20 23:59:59	1114	sogou
25	2018-11-05 00:00:00	2018-11-15 00:00:00	1117	37wan
26	2018-11-09 00:00:00	2018-11-15 00:00:00	1118	w360
27	2018-11-13 00:00:00	2018-11-17 00:00:00	1120	xy
28	2019-03-05 00:00:00	2019-03-11 23:59:59	1121	37wan
29	2018-11-19 00:00:00	2018-11-25 23:59:59	1123	tanwan
30	2018-11-28 00:00:00	2018-11-30 23:59:59	1124	tanwan
31	2018-11-28 00:00:00	2019-04-30 23:59:59	1125	tanwan
32	2018-11-28 00:00:00	2019-04-30 23:59:59	1126	37wan
33	2019-04-01 00:00:00	2019-04-30 23:59:59	1127	duowanclouds
34	2018-12-06 00:00:00	2018-12-15 23:59:59	1128	w360
35	2018-12-06 00:00:00	2018-12-12 23:59:59	1129	w360
36	2018-12-12 00:00:00	2018-12-12 23:59:59	1130	37wan
37	2019-04-10 00:00:00	2019-04-16 23:59:59	1132	tanwan
38	2018-12-06 00:00:00	2018-12-12 23:59:59	1131	game2
39	2018-12-18 00:00:00	2018-12-19 23:59:59	1134	w360
40	2019-04-12 00:00:00	2019-04-14 23:59:59	1135	37wan
41	2019-03-11 00:00:00	2019-03-13 23:59:59	1136	-1
42	2019-04-23 00:00:00	2019-04-25 23:59:59	1138	tanwan
43	2019-01-02 00:00:00	2019-01-09 23:59:59	1142	tanwan
44	2018-06-20 00:00:00	2030-06-29 23:59:59	1143	37wan
45	2019-02-21 00:00:00	2019-03-07 23:59:59	1144	tanwan
46	2019-05-02 00:00:00	2019-05-04 23:59:59	1090	duowanclouds
47	2019-05-09 00:00:00	2019-05-11 23:59:59	1090	duowanclouds
48	2019-02-01 00:00:00	2019-02-13 23:59:59	1145	w360
49	2019-01-30 00:00:00	2019-02-11 23:59:59	1146	yilewan
50	2019-02-02 00:00:00	2019-02-07 23:59:59	1147	xy
51	2019-01-28 00:00:00	2019-02-03 23:59:59	1148	tanwan
52	2019-01-30 00:00:00	2019-01-31 23:59:59	1149	tanwan
53	2019-01-30 00:00:00	2019-02-12 23:59:59	1150	tanwan
54	2019-02-13 00:00:00	2019-02-19 23:59:59	1151	tanwan
55	2019-02-18 00:00:00	2019-02-28 23:59:59	1152	tanwan
56	2019-02-01 00:00:00	2019-02-08 23:59:59	1153	37wan
57	2019-02-23 00:00:00	2019-03-03 23:59:59	1154	tanwan
58	2019-02-19 00:00:00	2019-02-23 23:59:59	1155	w360
59	2019-02-23 00:00:00	2019-03-08 23:59:59	1156	37wan
60	2019-02-26 00:00:00	2019-02-27 23:59:59	1158	37wan
61	2019-02-26 10:00:00	2019-02-27 23:59:59	1157	w360
62	2019-04-13 00:00:00	2019-04-15 23:59:59	1159	yilewan
63	2019-03-07 00:00:00	2019-03-08 23:59:59	1160	37wan
64	2018-06-20 00:00:00	2030-06-29 23:59:59	1161	tanwan
65	2019-04-16 00:00:00	2019-04-18 23:59:59	1162	taojike
66	2019-03-16 00:00:00	2019-03-18 23:59:59	1163	37tang
67	2019-03-13 00:00:00	2019-03-17 23:59:59	1164	yilewan
68	2019-03-21 00:00:00	2019-03-23 23:59:59	1165	game2
69	2019-03-26 00:00:00	2019-03-28 23:59:59	1166	2217
70	2019-04-23 00:00:00	2019-04-25 23:59:59	1167	7youxi
71	2019-03-26 00:00:00	2019-03-28 23:59:59	1168	9211
72	2019-03-24 00:00:00	2019-04-03 23:59:59	1169	-1
73	2019-03-27 00:00:00	2019-04-02 23:59:59	1170	tanwan
74	2019-04-01 00:00:00	2019-04-30 23:59:59	1171	tanwan
75	2019-03-29 00:00:00	2019-04-02 23:59:59	1172	w360
76	2019-03-29 00:00:00	2019-03-31 23:59:59	1173	tanwan
77	2019-04-13 00:00:00	2019-04-20 23:59:59	1176	37wan
78	2019-04-11 00:00:00	2019-04-13 23:59:59	1178	xy
79	2019-04-17 00:00:00	2019-04-23 23:59:59	1180	tanwan
80	2019-04-18 00:00:00	2019-04-30 23:59:59	1181	tanwan
81	2019-04-18 00:00:00	2019-04-20 23:59:59	1182	191game
82	2019-06-11 00:00:00	2030-06-26 23:59:59	1184	yilewan
83	2019-06-11 00:00:00	2030-06-26 23:59:59	1193	iwan4399
84	2020-03-22 00:00:00	2020-03-24 23:59:59	1194	37wan
85	2020-03-22 00:00:00	2020-03-24 23:59:59	1049	duowanclouds
86	2020-03-22 00:00:00	2020-03-24 23:59:59	1162	taojike
87	2020-03-22 00:00:00	2020-03-24 23:59:59	1114	sogou
88	2020-03-22 00:00:00	2020-03-24 23:59:59	1163	37tang
89	2020-03-22 00:00:00	2020-03-24 23:59:59	1195	937wan
90	2019-12-16 00:00:00	2019-12-18 23:59:59	1196	aotian
91	2019-12-16 00:00:00	2019-12-18 23:59:59	1197	aijiu
92	2019-12-16 00:00:00	2019-12-18 23:59:59	1198	8090
93	2020-03-22 00:00:00	2020-03-24 23:59:59	1199	kmao
94	2019-12-16 00:00:00	2019-12-18 23:59:59	1200	juwan
95	2020-03-22 00:00:00	2020-03-24 23:59:59	1201	kele
