STRING	INT	INT	STRING	INT	INT	INT	STRING
PingTai	Index	Lv	Reward	Pic1	Pic2	IconId	LoadUrl
te6	0	1	13:1:1:1|9:1:1:1|153:1:1:1|5331:1:1:1	1	2	1034	https://vip.wan.te6.com/
te6	1	2	13:1:2:1|9:1:2:1|153:1:2:1|601:1:5:1	1	2	1034	https://vip.wan.te6.com/
te6	2	3	13:1:5:1|567:1:2:1|158:1:2:1|601:1:10:1	1	2	1034	https://vip.wan.te6.com/
te6	3	4	13:1:7:1|568:1:1:1|158:1:3:1|601:1:15:1|503:1:2:1	1	2	1034	https://vip.wan.te6.com/
te6	4	5	13:1:10:1|568:1:2:1|158:1:4:1|601:1:20:1|503:1:4:1	1	2	1034	https://vip.wan.te6.com/
te6	5	6	13:1:15:1|570:1:1:1|158:1:6:1|5332:1:1:1|503:1:5:1	1	2	1034	https://vip.wan.te6.com/
te6	6	7	13:1:18:1|570:1:1:1|158:1:8:1|601:1:30:1|503:1:7:1	1	2	1034	https://vip.wan.te6.com/
te6	7	8	13:1:20:1|570:1:2:1|158:1:3:1|601:1:60:1|503:1:10:1	1	2	1034	https://vip.wan.te6.com/
9377	0	1	13:1:2:1|575:1:10:1|505:1:3:1|158:1:1	3	4	1052	http://wvw.9377.com/users/users_index.php?type=14
9377	1	4	567:1:1:1|152:1:5:1|13:1:3:1|505:1:6:1|647:1:45	3	4	1052	http://wvw.9377.com/users/users_index.php?type=14
9377	2	6	568:1:2:1|13:1:4:1|710:1:2:1|502:1:100:1|647:1:150	3	4	1052	http://wvw.9377.com/users/users_index.php?type=14
9377	3	8	570:1:1:1|13:1:10:1|710:1:3:1|502:1:120:1|647:1:250	3	4	1052	http://wvw.9377.com/users/users_index.php?type=14
9377	4	9	570:1:2:1|13:1:15:1|644:1:15:1|502:1:150:1|647:1:300	3	4	1052	http://wvw.9377.com/users/users_index.php?type=14
tanwan	0	1	13:1:2:1|575:1:10:1|505:1:3:1|158:1:1	5	6	1086	http://www.tanwan.com/my.php
tanwan	1	4	567:1:1:1|152:1:5:1|13:1:3:1|505:1:6:1|647:1:45	5	6	1086	http://www.tanwan.com/my.php
tanwan	2	6	568:1:2:1|13:1:4:1|710:1:2:1|502:1:100:1|647:1:150	5	6	1086	http://www.tanwan.com/my.php
tanwan	3	8	570:1:1:1|13:1:10:1|710:1:3:1|502:1:120:1|647:1:250	5	6	1086	http://www.tanwan.com/my.php
tanwan	4	10	570:1:2:1|13:1:15:1|644:1:15:1|502:1:150:1|647:1:300	5	6	1086	http://www.tanwan.com/my.php
