INT	INT	STRING	STRING	INT	INT	STRING	INT
Level	Score	Reward1	Reward2	Buy_Lv_Cost	Unlock_Cost	Unlock_Show	Language
0	10	-1	-1	0	8888	5437:1:38888|5202:1:6888|961:1:18888|962:1:8888|722:1:2000|566:1:2000|565:1:4800|638:1:2000	0
1	10	7040:1:1:1	5202:1:1:1	2000	8888	5437:1:38888|5202:1:6888|961:1:18888|962:1:8888|722:1:2000|566:1:2000|565:1:4800|638:1:2000	3024
2	10	564:1:12:1	564:1:18:1	4000	8888	5437:1:38888|5202:1:6888|961:1:18888|962:1:8888|722:1:2000|566:1:2000|565:1:4800|638:1:2000	0
3	10	7091:1:3:1	952:1:120:1	6000	8888	5437:1:38888|5202:1:6888|961:1:18888|962:1:8888|722:1:2000|566:1:2000|565:1:4800|638:1:2000	0
4	10	952:1:80:1	511:1:2:1	8000	8888	5437:1:38888|5202:1:6888|961:1:18888|962:1:8888|722:1:2000|566:1:2000|565:1:4800|638:1:2000	0
5	10	8105:3:1:1	722:1:2:1	10000	8888	5437:1:38888|5202:1:6888|961:1:18888|962:1:8888|722:1:2000|566:1:2000|565:1:4800|638:1:2000	0
6	10	7091:1:3:1	7092:1:1:1	12000	8888	5437:1:38888|5202:1:6888|961:1:18888|962:1:8888|722:1:2000|566:1:2000|565:1:4800|638:1:2000	0
7	10	952:1:120:1	952:1:160:1	14000	8888	5437:1:38888|5202:1:6888|961:1:18888|962:1:8888|722:1:2000|566:1:2000|565:1:4800|638:1:2000	0
8	10	508:1:1:1	570:1:1:1	16000	8888	5437:1:38888|5202:1:6888|961:1:18888|962:1:8888|722:1:2000|566:1:2000|565:1:4800|638:1:2000	0
9	10	637:1:1:1	637:1:2:1	18000	8888	5437:1:38888|5202:1:6888|961:1:18888|962:1:8888|722:1:2000|566:1:2000|565:1:4800|638:1:2000	0
10	10	570:1:1:1	710:1:4:1	20000	8888	5437:1:38888|5202:1:6888|961:1:18888|962:1:8888|722:1:2000|566:1:2000|565:1:4800|638:1:2000	0
11	10	7091:1:3:1	8206:3:1:1	22000	8888	5437:1:38888|5202:1:6888|961:1:18888|962:1:8888|722:1:2000|566:1:2000|565:1:4800|638:1:2000	0
12	10	7040:1:2:1	565:1:6:1	24000	8888	5437:1:38888|5202:1:6888|961:1:18888|962:1:8888|722:1:2000|566:1:2000|565:1:4800|638:1:2000	0
13	10	599:1:1:1	572:1:18:1	26000	8888	5437:1:38888|5202:1:6888|961:1:18888|962:1:8888|722:1:2000|566:1:2000|565:1:4800|638:1:2000	0
14	10	647:1:80:1	647:1:100:1	28000	8888	5437:1:38888|5202:1:6888|961:1:18888|962:1:8888|722:1:2000|566:1:2000|565:1:4800|638:1:2000	0
15	10	8205:3:1:1	566:1:10:1	30000	8888	5437:1:38888|5202:1:6888|961:1:18888|962:1:8888|722:1:2000|566:1:2000|565:1:4800|638:1:2000	0
16	10	601:1:100:1	8106:3:1:1	32000	8888	5437:1:38888|5202:1:6888|961:1:18888|962:1:8888|722:1:2000|566:1:2000|565:1:4800|638:1:2000	0
17	10	158:1:3:1	158:1:4:1	34000	8888	5437:1:38888|5202:1:6888|961:1:18888|962:1:8888|722:1:2000|566:1:2000|565:1:4800|638:1:2000	0
18	10	952:1:150:1	952:1:200:1	36000	8888	5437:1:38888|5202:1:6888|961:1:18888|962:1:8888|722:1:2000|566:1:2000|565:1:4800|638:1:2000	0
19	10	637:1:2:1	599:1:2:1	38000	8888	5437:1:38888|5202:1:6888|961:1:18888|962:1:8888|722:1:2000|566:1:2000|565:1:4800|638:1:2000	0
20	10	722:1:2:1	638:1:8:1	40000	8888	5437:1:38888|5202:1:6888|961:1:18888|962:1:8888|722:1:2000|566:1:2000|565:1:4800|638:1:2000	0
21	10	8005:3:1:1	8006:3:1:1	42000	8888	5437:1:38888|5202:1:6888|961:1:18888|962:1:8888|722:1:2000|566:1:2000|565:1:4800|638:1:2000	0
22	10	758:1:12:1	637:1:2:1	44000	8888	5437:1:38888|5202:1:6888|961:1:18888|962:1:8888|722:1:2000|566:1:2000|565:1:4800|638:1:2000	0
23	10	572:1:18:1	570:1:1:1	46000	8888	5437:1:38888|5202:1:6888|961:1:18888|962:1:8888|722:1:2000|566:1:2000|565:1:4800|638:1:2000	0
24	10	720:1:2:1	710:1:3:1	48000	8888	5437:1:38888|5202:1:6888|961:1:18888|962:1:8888|722:1:2000|566:1:2000|565:1:4800|638:1:2000	0
25	10	566:1:10:1	962:1:10:1	50000	8888	5437:1:38888|5202:1:6888|961:1:18888|962:1:8888|722:1:2000|566:1:2000|565:1:4800|638:1:2000	0
26	10	570:1:1:1	565:1:10:1	52000	8888	5437:1:38888|5202:1:6888|961:1:18888|962:1:8888|722:1:2000|566:1:2000|565:1:4800|638:1:2000	0
27	10	8006:3:1:1	720:1:4:1	54000	8888	5437:1:38888|5202:1:6888|961:1:18888|962:1:8888|722:1:2000|566:1:2000|565:1:4800|638:1:2000	0
28	10	638:1:5:1	7056:1:1:1	56000	8888	5437:1:38888|5202:1:6888|961:1:18888|962:1:8888|722:1:2000|566:1:2000|565:1:4800|638:1:2000	3024
29	10	710:1:2:1	961:1:10:1	58000	8888	5437:1:38888|5202:1:6888|961:1:18888|962:1:8888|722:1:2000|566:1:2000|565:1:4800|638:1:2000	3024
30	-1	565:1:10:1	5437:1:1:1	60000	8888	5437:1:38888|5202:1:6888|961:1:18888|962:1:8888|722:1:2000|566:1:2000|565:1:4800|638:1:2000	3024
