INT	INT	INT	INT	INT	STRING	STRING	INT
Type	Order	Param	Goal	GetScore	Des	Link	Sort
1	1	-1	2	3	#ff9c1c|完成金不换的回收任务|#04ff31|2次	NPC|1034	5
1	2	-1	4	3	#ff9c1c|完成金不换的回收任务|#04ff31|4次	NPC|1034	5
1	3	-1	6	3	#ff9c1c|完成金不换的回收任务|#04ff31|6次	NPC|1034	5
1	4	-1	8	3	#ff9c1c|完成金不换的回收任务|#04ff31|8次	NPC|1034	5
1	5	-1	10	3	#ff9c1c|完成金不换的回收任务|#04ff31|10次	NPC|1034	5
1	6	-1	12	3	#ff9c1c|完成金不换的回收任务|#04ff31|12次	NPC|1034	5
1	7	-1	15	3	#ff9c1c|完成金不换的回收任务|#04ff31|15次	NPC|1034	5
1	8	-1	18	3	#ff9c1c|完成金不换的回收任务|#04ff31|18次	NPC|1034	5
1	9	-1	21	3	#ff9c1c|完成金不换的回收任务|#04ff31|21次	NPC|1034	5
1	10	-1	24	3	#ff9c1c|完成金不换的回收任务|#04ff31|24次	NPC|1034	5
2	1	1000	1	5	#ff9c1c|连续充值|#04ff31|1000钻|#ff9c1c|达到|#04ff31|1天	openPanel|payNoticePanel	2
2	2	1000	2	5	#ff9c1c|连续充值|#04ff31|1000钻|#ff9c1c|达到|#04ff31|2天	openPanel|payNoticePanel	2
2	3	1000	3	5	#ff9c1c|连续充值|#04ff31|1000钻|#ff9c1c|达到|#04ff31|3天	openPanel|payNoticePanel	2
2	4	1000	4	5	#ff9c1c|连续充值|#04ff31|1000钻|#ff9c1c|达到|#04ff31|4天	openPanel|payNoticePanel	2
2	5	1000	5	5	#ff9c1c|连续充值|#04ff31|1000钻|#ff9c1c|达到|#04ff31|5天	openPanel|payNoticePanel	2
2	6	1000	6	5	#ff9c1c|连续充值|#04ff31|1000钻|#ff9c1c|达到|#04ff31|6天	openPanel|payNoticePanel	2
2	7	1000	7	5	#ff9c1c|连续充值|#04ff31|1000钻|#ff9c1c|达到|#04ff31|7天	openPanel|payNoticePanel	2
2	8	1000	8	5	#ff9c1c|连续充值|#04ff31|1000钻|#ff9c1c|达到|#04ff31|8天	openPanel|payNoticePanel	2
2	9	1000	9	5	#ff9c1c|连续充值|#04ff31|1000钻|#ff9c1c|达到|#04ff31|9天	openPanel|payNoticePanel	2
2	10	1000	10	5	#ff9c1c|连续充值|#04ff31|1000钻|#ff9c1c|达到|#04ff31|10天	openPanel|payNoticePanel	2
3	1	3007	4	3	#ff9c1c|前往挑战|#04ff31|异界时空4次	NPC|1116	3
3	2	3007	8	3	#ff9c1c|前往挑战|#04ff31|异界时空8次	NPC|1116	3
3	3	3007	12	3	#ff9c1c|前往挑战|#04ff31|异界时空12次	NPC|1116	3
3	4	3007	18	3	#ff9c1c|前往挑战|#04ff31|异界时空18次	NPC|1116	3
3	5	3007	24	3	#ff9c1c|前往挑战|#04ff31|异界时空24次	NPC|1116	3
