INT	STRING	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	STRING	INT
Id	Name	Type	Price	Quality	SuitId	AttrType	desc	url	drop_url	acquire	auction	broadcast	DiaoLuo	Grade	AttrRole	NeedStarLevel
2011	蓝色级简易弓	0	1000	2	-1	4:104|5:106	#f5e8bf|造型简单的长弓，佣兵的1阶装备。|n|#00ff00|可通过火焰之地BOSS掉落、通关宝箱获得	5028	-1	-1	34	1	0	1	4:52|5:53	1
2012	蓝色级简易皮甲	1	1000	2	-1	1:1042|6:105	#f5e8bf|造型简单的皮甲，佣兵的1阶装备。|n|#00ff00|可通过300级以上火焰之地BOSS掉落、通关宝箱获得	227	-1	-1	35	1	0	1	1:521|6:52.5	1
2013	蓝色级简易圣物	2	1000	2	-1	1:1042|6:105|29:14	#f5e8bf|造型简单的圣物，佣兵的1阶装备。|n|#00ff00|可通过400级以上火焰之地BOSS掉落、通关宝箱获得	2012	-1	-1	36	1	0	1	1:521|6:52.5|29:7	1
2014	蓝色级简易挂坠	3	1000	2	-1	4:104|5:106|22:10|28:14	#f5e8bf|造型简单的挂坠，佣兵的1阶装备。|n|#00ff00|可通过500级以上火焰之地BOSS掉落、通关宝箱获得	3008	-1	-1	37	1	0	1	4:52|5:53|22:5|28:7	1
2021	蓝色级自然之弓	0	1000	2	-1	4:165|5:169	#f5e8bf|充满自然气息的长弓，佣兵的2阶装备。|n|#00ff00|可通过1阶蓝色级装备合成获得	5028	-1	-1	34	1	0	1	4:82.5|5:84.5	2
2022	蓝色级自然外衣	1	1000	2	-1	1:1667|6:167	#f5e8bf|充满自然气息的外衣，佣兵的2阶装备。|n|#00ff00|可通过1阶蓝色级装备合成获得	227	-1	-1	35	1	0	1	1:833.5|6:83.5	2
2023	蓝色级自然圣物	2	1000	2	-1	1:1667|6:167|29:21	#f5e8bf|充满自然气息的圣物，佣兵的2阶装备。|n|#00ff00|可通过1阶蓝色级装备合成获得	2012	-1	-1	36	1	0	1	1:833.5|6:83.5|29:10.5	2
2024	蓝色级自然挂坠	3	1000	2	-1	4:165|5:169|22:20|28:21	#f5e8bf|充满自然气息的挂坠，佣兵的2阶装备。|n|#00ff00|可通过1阶蓝色级装备合成获得	3008	-1	-1	37	1	0	1	4:82.5|5:84.5|22:10|28:10.5	2
2031	蓝色级狩猎弓	0	1000	2	-1	4:235|5:241	#f5e8bf|荒野中猎手所用的长弓，佣兵的3阶装备。|n|#00ff00|可通过2阶蓝色级装备合成获得	5028	-1	-1	34	1	0	1	4:117.5|5:120.5	3
2032	蓝色级猎手外衣	1	1000	2	-1	1:2375|6:238	#f5e8bf|荒野中猎手所穿的外衣，佣兵的3阶装备。|n|#00ff00|可通过2阶蓝色级装备合成获得	227	-1	-1	35	1	0	1	1:1187.5|6:119	3
