INT	STRING	INT	STRING	STRING	STRING	STRING	INT	INT	INT	INT	STRING	INT
Star	Name	CostMoney	CostItem	AddPetAttr	AddPlayerAttr	SkillLevel	Skin	GongGao	PicName	PicLevel	Dialog	CostGold
1	°×»¢	300000	-1	1:10000000|27:20000|6:12500|7:18750|3:100000|22:30	1:1000|4:40|5:100|6:40|7:100	1:0:0:0:0:0:0	403	-1	3	1	5:30|6:30|7:40	0
2	°×»¢	300000	-1	1:11000000|27:21000|6:13800|7:20630|3:110000|22:30	1:1100|4:44|5:110|6:44|7:110	1:0:0:0:0:0:0	403	-1	3	1	5:30|6:30|7:40	0
3	°×»¢	300000	-1	1:12000000|27:22000|6:15000|7:22500|3:120000|22:30	1:1200|4:48|5:120|6:48|7:120	1:0:0:0:0:0:0	403	-1	3	1	5:30|6:30|7:40	0
4	°×»¢	300000	-1	1:13000000|27:23000|6:16300|7:24380|3:130000|22:30	1:1300|4:52|5:130|6:52|7:130	1:0:0:0:0:0:0	403	-1	3	1	5:30|6:30|7:40	0
5	°×»¢	300000	-1	1:14000000|27:24000|6:17500|7:26250|3:140000|22:30	1:1400|4:56|5:140|6:56|7:140	1:0:0:0:0:0:0	403	-1	3	1	5:30|6:30|7:40	0
6	°×»¢	300000	-1	1:15000000|27:25000|6:18800|7:28130|3:150000|22:30	1:1500|4:60|5:150|6:60|7:150	1:0:0:0:0:0:0	403	-1	3	1	5:30|6:30|7:40	0
7	°×»¢	300000	-1	1:16000000|27:26000|6:20000|7:30000|3:160000|22:30	1:1600|4:64|5:160|6:64|7:160	1:0:0:0:0:0:0	403	-1	3	1	5:30|6:30|7:40	0
8	°×»¢	300000	-1	1:17000000|27:27000|6:21300|7:31880|3:170000|22:30	1:1700|4:68|5:170|6:68|7:170	1:0:0:0:0:0:0	403	-1	3	1	5:30|6:30|7:40	0
9	°×»¢	300000	-1	1:18000000|27:28000|6:22500|7:33750|3:180000|22:30	1:1800|4:72|5:180|6:72|7:180	1:0:0:0:0:0:0	403	-1	3	1	5:30|6:30|7:40	0
10	°×»¢	300000	-1	1:19000000|27:29000|6:23800|7:35630|3:190000|22:30	1:1900|4:76|5:190|6:76|7:190	1:0:0:0:0:0:0	403	402	3	1	5:30|6:30|7:40	0
11	³Ë»Æ	700000	-1	1:20000000|27:30000|6:25000|7:37500|3:200000|22:60	1:2000|4:80|5:200|6:80|7:200	1:0:0:0:0:0:0	402	-1	2	2	5:30|6:30|7:40	0
12	³Ë»Æ	700000	-1	1:21000000|27:32000|6:26300|7:39380|3:210000|22:60	1:2100|4:84|5:210|6:84|7:210	1:0:0:0:0:0:0	402	-1	2	2	5:30|6:30|7:40	0
13	³Ë»Æ	700000	-1	1:22000000|27:34000|6:27500|7:41250|3:220000|22:60	1:2200|4:88|5:220|6:88|7:220	1:0:0:0:0:0:0	402	-1	2	2	5:30|6:30|7:40	0
14	³Ë»Æ	700000	-1	1:23000000|27:36000|6:28800|7:43130|3:230000|22:60	1:2300|4:92|5:230|6:92|7:230	1:0:0:0:0:0:0	402	-1	2	2	5:30|6:30|7:40	0
15	³Ë»Æ	700000	-1	1:24000000|27:38000|6:30000|7:45000|3:240000|22:60	1:2400|4:96|5:240|6:96|7:240	1:0:0:0:0:0:0	402	-1	2	2	5:30|6:30|7:40	0
16	³Ë»Æ	700000	-1	1:25000000|27:40000|6:31300|7:46880|3:250000|22:60	1:2500|4:100|5:250|6:100|7:250	1:0:0:0:0:0:0	402	-1	2	2	5:30|6:30|7:40	0
17	³Ë»Æ	700000	-1	1:26000000|27:42000|6:32500|7:48750|3:260000|22:60	1:2600|4:104|5:260|6:104|7:260	1:0:0:0:0:0:0	402	-1	2	2	5:30|6:30|7:40	0
18	³Ë»Æ	700000	-1	1:27000000|27:44000|6:33800|7:50630|3:270000|22:60	1:2700|4:108|5:270|6:108|7:270	1:0:0:0:0:0:0	402	-1	2	2	5:30|6:30|7:40	0
19	³Ë»Æ	700000	-1	1:28000000|27:46000|6:35000|7:52500|3:280000|22:60	1:2800|4:112|5:280|6:112|7:280	1:0:0:0:0:0:0	402	-1	2	2	5:30|6:30|7:40	0
20	³Ë»Æ	700000	-1	1:29000000|27:48000|6:36300|7:54380|3:290000|22:60	1:2900|4:116|5:290|6:116|7:290	1:0:0:0:0:0:0	402	402	2	2	5:30|6:30|7:40	0
21	íýíö	1200000	-1	1:30000000|27:50000|6:37500|7:56250|3:300000|22:100	1:3000|4:120|5:300|6:120|7:300	1:0:0:0:0:0:0	404	-1	4	3	5:30|6:30|7:40	0
22	íýíö	1200000	-1	1:31000000|27:55000|6:38800|7:58130|3:320000|22:100	1:3100|4:124|5:310|6:124|7:310	1:0:0:0:0:0:0	404	-1	4	3	5:30|6:30|7:40	0
23	íýíö	1200000	-1	1:32000000|27:60000|6:40000|7:60000|3:340000|22:100	1:3200|4:128|5:320|6:128|7:320	1:0:0:0:0:0:0	404	-1	4	3	5:30|6:30|7:40	0
24	íýíö	1200000	-1	1:33000000|27:65000|6:41300|7:61880|3:360000|22:100	1:3300|4:132|5:330|6:132|7:330	1:0:0:0:0:0:0	404	-1	4	3	5:30|6:30|7:40	0
25	íýíö	1200000	-1	1:34000000|27:70000|6:42500|7:63750|3:380000|22:100	1:3400|4:136|5:340|6:136|7:340	1:0:0:0:0:0:0	404	-1	4	3	5:30|6:30|7:40	0
26	íýíö	1200000	-1	1:35000000|27:75000|6:43800|7:65630|3:400000|22:100	1:3500|4:140|5:350|6:140|7:350	1:0:0:0:0:0:0	404	-1	4	3	5:30|6:30|7:40	0
27	íýíö	1200000	-1	1:36000000|27:80000|6:45000|7:67500|3:420000|22:100	1:3600|4:144|5:360|6:144|7:360	1:0:0:0:0:0:0	404	-1	4	3	5:30|6:30|7:40	0
28	íýíö	1200000	-1	1:37000000|27:85000|6:46300|7:69380|3:440000|22:100	1:3700|4:148|5:370|6:148|7:370	1:0:0:0:0:0:0	404	-1	4	3	5:30|6:30|7:40	0
29	íýíö	1200000	-1	1:38000000|27:90000|6:47500|7:71250|3:460000|22:100	1:3800|4:152|5:380|6:152|7:380	1:0:0:0:0:0:0	404	-1	4	3	5:30|6:30|7:40	0
30	íýíö	1200000	-1	1:39000000|27:95000|6:48800|7:73130|3:480000|22:100	1:3900|4:156|5:390|6:156|7:390	1:0:0:0:0:0:0	404	402	4	3	5:30|6:30|7:40	0
31	â¡â¥	2000000	-1	1:40000000|27:100000|6:50000|7:75000|3:500000|22:150	1:4000|4:160|5:400|6:160|7:400	1:0:0:0:0:0:0	405	-1	5	4	5:30|6:30|7:40	0
32	â¡â¥	2000000	-1	1:41000000|27:105000|6:51300|7:76880|3:550000|22:150	1:4100|4:164|5:410|6:164|7:410	1:0:0:0:0:0:0	405	-1	5	4	5:30|6:30|7:40	0
33	â¡â¥	2000000	-1	1:42000000|27:110000|6:52500|7:78750|3:600000|22:150	1:4200|4:168|5:420|6:168|7:420	1:0:0:0:0:0:0	405	-1	5	4	5:30|6:30|7:40	0
34	â¡â¥	2000000	-1	1:43000000|27:115000|6:53800|7:80630|3:650000|22:150	1:4300|4:172|5:430|6:172|7:430	1:0:0:0:0:0:0	405	-1	5	4	5:30|6:30|7:40	0
35	â¡â¥	2000000	-1	1:44000000|27:120000|6:55000|7:82500|3:700000|22:150	1:4400|4:176|5:440|6:176|7:440	1:0:0:0:0:0:0	405	-1	5	4	5:30|6:30|7:40	0
36	â¡â¥	2000000	-1	1:45000000|27:125000|6:56300|7:84380|3:750000|22:150	1:4500|4:180|5:450|6:180|7:450	1:0:0:0:0:0:0	405	-1	5	4	5:30|6:30|7:40	0
37	â¡â¥	2000000	-1	1:46000000|27:130000|6:57500|7:86250|3:800000|22:150	1:4600|4:184|5:460|6:184|7:460	1:0:0:0:0:0:0	405	-1	5	4	5:30|6:30|7:40	0
38	â¡â¥	2000000	-1	1:47000000|27:135000|6:58800|7:88130|3:850000|22:150	1:4700|4:188|5:470|6:188|7:470	1:0:0:0:0:0:0	405	-1	5	4	5:30|6:30|7:40	0
39	â¡â¥	2000000	-1	1:48000000|27:140000|6:60000|7:90000|3:900000|22:150	1:4800|4:192|5:480|6:192|7:480	1:0:0:0:0:0:0	405	-1	5	4	5:30|6:30|7:40	0
