INT	INT	STRING	INT
Id	Type	Effect	GongGaoId
12	1	1	-1
50	1	574:1:1:1	-1
59	1	254:1:1:1	-1
60	1	256:1:1:1	-1
61	1	257:1:1:1	-1
62	1	501:1:1:1	-1
63	1	504:1:1:1	-1
64	1	102:1:1:1	-1
65	1	152:1:1:1	-1
66	1	704:1:0:1	474
67	1	705:1:2:1	-1
68	1	706:1:2:1	-1
69	1	707:1:0:1	475
70	1	708:1:2:1	-1
71	1	709:1:2:1	-1
72	1	704:1:0:1	474
73	1	705:1:4:1	-1
74	1	706:1:4:1	-1
75	1	707:1:0:1	475
76	1	708:1:4:1	-1
77	1	709:1:4:1	-1
78	1	704:1:4:1	474
79	1	705:1:11:1	-1
80	1	706:1:11:1	-1
81	1	707:1:4:1	475
82	1	708:1:11:1	-1
83	1	709:1:11:1	-1
84	1	704:1:6:1	474
85	1	705:1:16:1	-1
86	1	706:1:16:1	-1
87	1	707:1:6:1	475
88	1	708:1:16:1	-1
89	1	709:1:16:1	-1
501	1	8000:3:1:1	-1
502	1	8200:3:2:1	-1
503	1	721:1:1:1	-1
504	1	8000:3:2:1	-1
505	1	8200:3:2:1	-1
506	1	721:1:1:1	-1
507	1	8000:3:2:1	-1
508	1	8200:3:3:1	-1
509	1	8100:3:2:1	-1
510	1	721:1:1:1	-1
511	1	8000:3:3:1	-1
512	1	8200:3:3:1	-1
513	1	8100:3:3:1	-1
514	1	721:1:1:1	-1
515	1	8000:3:3:1	-1
516	1	8200:3:4:1	-1
517	1	8100:3:3:1	-1
518	1	721:1:1:1	-1
519	1	720:1:1:1	-1
520	1	8000:3:4:1	-1
521	1	8200:3:4:1	-1
522	1	8100:3:4:1	-1
523	1	8300:3:4:1	-1
524	1	721:1:1:1	-1
525	1	720:1:1:1	-1
526	1	8000:3:5:1	-1
527	1	8200:3:5:1	-1
528	1	8100:3:5:1	-1
529	1	8300:3:5:1	-1
530	1	721:1:1:1	-1
531	1	720:1:1:1	-1
532	1	8000:3:6:1	-1
533	1	8200:3:6:1	-1
534	1	8100:3:6:1	-1
535	1	8300:3:6:1	-1
536	1	721:1:1:1	-1
537	1	720:1:1:1	-1
538	1	8000:3:7:1	-1
539	1	8200:3:7:1	-1
540	1	8100:3:7:1	-1
541	1	8300:3:7:1	-1
542	1	721:1:1:1	-1
543	1	720:1:1:1	-1
544	1	8000:3:8:1	-1
545	1	8200:3:8:1	-1
546	1	8100:3:8:1	-1
547	1	8300:3:8:1	-1
548	1	721:1:1:1	-1
549	1	720:1:1:1	-1
600	1	724:1:2:1	-1
601	1	724:1:3:1	-1
602	1	724:1:4:1	-1
603	1	725:1:1:1	-1
604	1	726:1:1:1	-1
605	1	752:1:1:1	-1
606	1	753:1:1:1	-1
607	1	726:1:1:1	-1
608	1	727:1:1:1	-1
609	1	601:1:10:1	-1
610	1	5362:1:1:1	-1
611	1	726:1:3:1	-1
612	1	727:1:2:1	-1
613	1	601:1:10:1	-1
614	1	720:1:1:1	-1
615	1	5362:1:1:1	-1
616	1	929:1:1:1	-1
617	1	601:1:10:1	-1
618	1	7129:1:1:1	-1
619	1	948:1:1:1	-1
620	1	948:1:3:1	-1
621	1	948:1:9:1	-1
