STRING	INT	INT	INT	INT	INT
Key	Body	Weapon	Weapon2	Wing	WingEffect
1_1_1_1	3	2	4	1	0
1_1_1_2	3	2	4	1	0
1_1_1_3	3	2	4	1	0
1_1_1_4	3	2	4	1	0
1_1_1_5	3	2	4	1	0
1_1_1_6	3	2	4	1	0
1_1_1_7	3	2	4	1	0
1_1_1_8	3	2	4	1	0
1_1_1_9	3	2	4	1	0
1_1_1_10	3	2	4	1	0
1_1_1_11	3	2	4	1	0
1_1_1_12	3	2	4	1	0
1_1_1_13	3	2	4	1	0
1_1_1_14	3	2	4	1	0
1_1_1_15	3	2	4	1	0
1_1_1_16	3	2	4	1	0
1_1_1_17	3	2	4	1	0
1_1_1_18	3	2	4	1	0
1_1_1_19	3	2	4	1	0
1_1_1_20	3	2	4	1	0
1_1_2_1	2	3	4	1	0
1_1_2_2	2	3	4	1	0
1_1_2_3	2	3	4	1	0
1_1_2_4	2	3	4	1	0
1_1_2_5	2	3	4	1	0
1_1_2_6	2	3	4	1	0
1_1_2_7	2	3	4	1	0
1_1_2_8	2	3	4	1	0
1_1_2_9	2	3	4	1	0
1_1_2_10	2	3	4	1	0
1_1_2_11	2	3	4	1	0
1_1_2_12	2	3	4	1	0
1_1_2_13	2	3	4	1	0
1_1_2_14	2	3	4	1	0
1_1_2_15	2	3	4	1	0
1_1_2_16	2	3	4	1	0
1_1_2_17	2	3	4	1	0
1_1_2_18	2	3	4	1	0
1_1_2_19	2	3	4	1	0
1_1_2_20	2	3	4	1	0
1_1_3_1	1	3	4	2	0
1_1_3_2	1	3	4	2	0
1_1_3_3	1	3	4	2	0
1_1_3_4	1	3	4	2	0
1_1_3_5	1	3	4	2	0
1_1_3_6	1	3	4	2	0
1_1_3_7	1	3	4	2	0
1_1_3_8	1	3	4	2	0
1_1_3_9	1	3	4	2	0
1_1_3_10	1	3	4	2	0
1_1_3_11	1	3	4	2	0
1_1_3_12	1	3	4	2	0
1_1_3_13	1	3	4	2	0
1_1_3_14	1	3	4	2	0
1_1_3_15	1	3	4	2	0
1_1_3_16	1	3	4	2	0
1_1_3_17	1	3	4	2	0
1_1_3_18	1	3	4	2	0
1_1_3_19	1	3	4	2	0
1_1_3_20	1	3	4	2	0
1_1_4_1	2	3	1	4	0
1_1_4_2	2	3	1	4	0
1_1_4_3	2	3	1	4	0
1_1_4_4	2	3	1	4	0
1_1_4_5	2	3	1	4	0
1_1_4_6	2	3	1	4	0
1_1_4_7	2	3	1	4	0
1_1_4_8	2	3	1	4	0
1_1_4_9	2	3	1	4	0
1_1_4_10	2	3	1	4	0
1_1_4_11	2	3	1	4	0
1_1_4_12	2	3	1	4	0
1_1_4_13	2	3	1	4	0
1_1_4_14	2	3	1	4	0
1_1_4_15	2	3	1	4	0
