INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
Index	Type	MinLevel	Num1	GetMoney	GetExp	CostGold	CostItemClass	CostItemId	CostItemCount	Def
1	1	10	1	500000	0	0	0	0	0	100
2	1	10	2	2500000	0	5	0	0	0	20
3	1	10	3	3395000	0	6	0	0	0	19
4	1	10	4	4700000	0	8	0	0	0	18
5	1	10	5	6370000	0	11	0	0	0	17
6	1	10	6	8360000	0	15	0	0	0	16
7	1	10	7	10625000	0	20	0	0	0	15
8	1	10	8	13120000	0	26	0	0	0	15
9	1	10	9	15800000	0	33	0	0	0	15
10	1	10	10	18620000	0	41	0	0	0	15
11	1	10	11	21535000	0	50	0	0	0	15
12	1	10	12	24500000	0	60	0	0	0	15
13	1	10	13	27470000	0	71	0	0	0	15
14	1	10	14	30400000	0	83	0	0	0	15
15	1	10	15	33245000	0	96	0	0	0	15
16	1	10	16	35960000	0	110	0	0	0	15
17	1	10	17	38500000	0	125	0	0	0	15
18	1	10	18	40820000	0	141	0	0	0	15
19	1	10	19	42875000	0	158	0	0	0	15
20	1	10	20	44620000	0	176	0	0	0	15
21	1	10	21	46010000	0	195	0	0	0	15
22	2	10	1	0	50	10	0	0	0	100
23	2	10	2	0	75	15	0	0	0	20
24	2	10	3	0	100	20	0	0	0	19
25	2	10	4	0	125	25	0	0	0	18
26	2	10	5	0	150	30	0	0	0	17
27	2	10	6	0	175	35	0	0	0	16
28	2	10	7	0	200	40	0	0	0	15
29	2	10	8	0	250	50	0	0	0	15
30	2	10	9	0	300	60	0	0	0	15
31	2	10	10	0	350	70	0	0	0	15
32	2	10	11	0	400	80	0	0	0	15
33	2	10	12	0	450	90	0	0	0	15
34	2	10	13	0	500	100	0	0	0	15
35	2	10	14	0	550	110	0	0	0	15
36	2	10	15	0	600	120	0	0	0	15
37	2	10	16	0	650	130	0	0	0	15
38	2	10	17	0	700	140	0	0	0	15
39	2	10	18	0	750	150	0	0	0	15
40	2	10	19	0	800	160	0	0	0	15
41	2	10	20	0	850	170	0	0	0	15
42	2	10	21	0	900	180	0	0	0	15
