INT	INT	STRING	INT	STRING	INT	STRING
Type	Level	Item	ExQiQingLevel	Attr	GongGao	AddAttr
1	0	947:1:150	0	-1	0	-1
1	1	947:1:200	0	1:3600|4:30|5:45|41:90|42:55	0	1:3600|4:30|5:45|41:90|42:55
1	2	947:1:270	0	1:7400|4:60|5:90|41:190|42:115	0	1:3800|4:30|5:45|41:100|42:60
1	3	947:1:360	0	1:11500|4:90|5:140|41:295|42:175	549	1:4100|4:30|5:50|41:105|42:60
1	4	947:1:480	0	1:15900|4:125|5:195|41:405|42:240	0	1:4400|4:35|5:55|41:110|42:65
1	5	947:1:650	0	1:20700|4:160|5:255|41:525|42:310	0	1:4800|4:35|5:60|41:120|42:70
1	6	947:1:880	0	1:25900|4:200|5:320|41:660|42:390	0	1:5200|4:40|5:65|41:135|42:80
1	7	947:1:900|938:1:20	0	1:31700|4:245|5:390|41:805|42:475	549	1:5800|4:45|5:70|41:145|42:85
1	8	947:1:1000|938:1:35	0	1:48900|4:375|5:600|41:1245|42:735	549	1:17200|4:130|5:210|41:440|42:260
1	9	947:1:1350|938:1:54	0	1:72700|4:555|5:890|41:1850|42:1095	549	1:23800|4:180|5:290|41:605|42:360
1	10	-1	0	1:106100|4:805|5:1300|41:2700|42:1600	549	1:33400|4:250|5:410|41:850|42:505
2	0	947:1:290	3	-1	0	-1
2	1	947:1:390	3	1:7200|4:55|5:90|41:180|42:110	0	1:7200|4:55|5:90|41:180|42:110
2	2	947:1:530	3	1:14900|4:115|5:190|41:370|42:225	0	1:7700|4:60|5:100|41:190|42:115
2	3	947:1:720	3	1:23100|4:175|5:295|41:575|42:350	549	1:8200|4:60|5:105|41:205|42:125
2	4	947:1:970	5	1:31900|4:240|5:405|41:795|42:485	0	1:8800|4:65|5:110|41:220|42:135
2	5	947:1:1310	5	1:41500|4:310|5:525|41:1035|42:630	0	1:9600|4:70|5:120|41:240|42:145
2	6	947:1:1760	5	1:52000|4:390|5:660|41:1295|42:790	0	1:10500|4:80|5:135|41:260|42:160
2	7	947:1:1790|939:1:20	8	1:63600|4:475|5:805|41:1585|42:965	549	1:11600|4:85|5:145|41:290|42:175
