INT	INT	INT	STRING	INT	INT	STRING	STRING	INT
BossType	Mid	Level	KeyId	EquipCondition	R_Time	ImageName	ItemId	Sort
20	31000	300	700:1:1	0	120	Boss_zhanglao	640:1:1	1
21	31001	400	701:1:1	0	210	Boss_zhanglao	641:1:1	2
22	31002	500	702:1:1	0	360	Boss_zhanglao	642:1:1	3
23	31003	600	768:1:1	0	480	Boss_zhanglao	643:1:1	4
30	32000	300	-1	0	120	Boss_hunshou	619:1:1|620:1:1|621:1:1	5
31	32001	400	-1	0	180	Boss_hunshou	623:1:1|624:1:1|625:1:1	6
32	32002	500	-1	0	240	Boss_hunshou	627:1:1|628:1:1|629:1:1	7
33	32003	600	-1	0	300	Boss_hunshou	631:1:1|632:1:1|633:1:1	8
40	30001	100	-1	1	120	Boss_shouhu	638:1:1	9
41	30002	300	-1	2	150	Boss_shouhu	638:1:1	10
42	30003	400	-1	3	180	Boss_shouhu	638:1:1	11
43	30004	500	-1	4	240	Boss_shouhu	638:1:1	12
44	30005	600	-1	5	360	Boss_shouhu	638:1:1	13
