INT	INT	STRING
Level	Time	Rate
299	1	26002:200|26003:200|26004:400|26005:400|26006:400|26007:400|26008:400|26009:700|26010:700|26011:700|26012:700|26013:700|26014:700|26015:700|26016:700|26017:130|26018:130|26019:130|26020:130|26021:130|26022:130|26023:150|26024:150|26025:140|26026:130|26027:130|26028:130|26029:130|26030:130|26031:130
299	2	26002:200|26003:200|26004:400|26005:400|26006:400|26007:400|26008:400|26009:700|26010:700|26011:700|26012:700|26013:700|26014:700|26015:700|26016:700|26017:130|26018:130|26019:130|26020:130|26021:130|26022:130|26023:150|26024:150|26025:140|26026:130|26027:130|26028:130|26029:130|26030:130|26031:130
299	3	26002:200|26003:200|26004:400|26005:400|26006:400|26007:400|26008:400|26009:700|26010:700|26011:700|26012:700|26013:700|26014:700|26015:700|26016:700|26017:130|26018:130|26019:130|26020:130|26021:130|26022:130|26023:150|26024:150|26025:140|26026:130|26027:130|26028:130|26029:130|26030:130|26031:130
299	4	26002:200|26003:200|26004:400|26005:400|26006:400|26007:400|26008:400|26009:700|26010:700|26011:700|26012:700|26013:700|26014:700|26015:700|26016:700|26017:130|26018:130|26019:130|26020:130|26021:130|26022:130|26023:150|26024:150|26025:140|26026:130|26027:130|26028:130|26029:130|26030:130|26031:130
299	5	26002:200|26003:200|26004:400|26005:400|26006:400|26007:400|26008:400|26009:700|26010:700|26011:700|26012:700|26013:700|26014:700|26015:700|26016:700|26017:130|26018:130|26019:130|26020:130|26021:130|26022:130|26023:150|26024:150|26025:140|26026:130|26027:130|26028:130|26029:130|26030:130|26031:130
299	6	26002:200|26003:200|26004:400|26005:400|26006:400|26007:400|26008:400|26009:700|26010:700|26011:700|26012:700|26013:700|26014:700|26015:700|26016:700|26017:130|26018:130|26019:130|26020:130|26021:130|26022:130|26023:150|26024:150|26025:140|26026:130|26027:130|26028:130|26029:130|26030:130|26031:130
299	7	26002:200|26003:200|26004:400|26005:400|26006:400|26007:400|26008:400|26009:700|26010:700|26011:700|26012:700|26013:700|26014:700|26015:700|26016:700|26017:130|26018:130|26019:130|26020:130|26021:130|26022:130|26023:150|26024:150|26025:140|26026:130|26027:130|26028:130|26029:130|26030:130|26031:130
299	8	26002:200|26003:200|26004:400|26005:400|26006:400|26007:400|26008:400|26009:700|26010:700|26011:700|26012:700|26013:700|26014:700|26015:700|26016:700|26017:130|26018:130|26019:130|26020:130|26021:130|26022:130|26023:150|26024:150|26025:140|26026:130|26027:130|26028:130|26029:130|26030:130|26031:130
299	9	26002:200|26003:200|26004:200|26005:200|26006:200|26007:200|26008:300|26009:500|26010:500|26011:500|26012:500|26013:500|26014:500|26015:500|26016:500|26017:300|26018:300|26019:300|26020:300|26021:300|26022:300|26023:300|26024:300|26025:300|26026:300|26027:300|26028:300|26029:300|26030:300|26031:300
