INT	INT	INT	INT	INT	STRING
MapId	RegionNum	MonsterId	MonsterNum	Special	SpecialResurrection
50042	8	10001	144	0	-1
50113	8	10002	144	0	-1
50114	8	10003	144	0	-1
50115	8	9996	144	0	-1
50107	8	10004	64	0	-1
50107	8	11004	64	0	-1
50107	1	9998	1	0	-1
50107	1	9999	1	0	-1
50116	8	10005	64	0	-1
50116	8	11005	64	0	-1
50116	1	9998	1	0	-1
50116	1	9999	1	0	-1
50117	4	10004	32	0	-1
50117	4	10005	16	0	-1
50117	2	10006	4	0	-1
50117	4	11004	32	0	-1
50117	4	11005	16	0	-1
50117	2	11006	4	0	-1
50117	1	9998	1	0	-1
50117	1	9999	1	0	-1
50118	4	10004	32	0	-1
50118	4	10005	16	0	-1
50118	2	10006	4	0	-1
50118	4	11004	32	0	-1
50118	4	11005	16	0	-1
50118	2	11006	4	0	-1
50118	1	9998	1	0	-1
50118	1	9999	1	0	-1
50140	4	10004	48	0	-1
50140	4	10005	48	0	-1
50140	4	10006	24	0	-1
50140	4	10007	24	0	-1
50140	4	10008	24	0	-1
50140	4	10009	8	0	-1
50140	4	10010	8	0	-1
50140	4	10011	8	0	-1
50140	1	10012	4	0	-1
50140	1	10013	4	0	-1
50140	1	10014	2	0	-1
50140	1	10015	2	0	-1
50140	1	9997	2	0	-1
50140	4	11004	48	0	-1
50140	4	11005	48	0	-1
50140	4	11006	24	0	-1
50140	4	11007	24	0	-1
50140	4	11008	24	0	-1
50140	4	11009	8	0	-1
50140	4	11010	8	0	-1
50140	4	11011	8	0	-1
50140	1	11012	4	0	-1
50140	1	11013	4	0	-1
50140	1	11014	2	0	-1
50140	1	11015	2	0	-1
50140	1	10032	1	0	-1
50140	1	10034	1	0	-1
50140	1	9998	2	0	-1
50140	1	9999	2	0	-1
50106	4	10004	48	0	-1
50106	4	10005	48	0	-1
50106	4	10006	24	0	-1
50106	4	10007	24	0	-1
50106	4	10008	24	0	-1
50106	4	10009	8	0	-1
50106	4	10010	8	0	-1
50106	4	10011	8	0	-1
50106	1	10012	4	0	-1
50106	1	10013	4	0	-1
50106	1	10014	2	0	-1
50106	1	10015	2	0	-1
50106	1	9997	2	0	-1
50106	4	11004	48	0	-1
50106	4	11005	48	0	-1
50106	4	11006	24	0	-1
50106	4	11007	24	0	-1
50106	4	11008	24	0	-1
50106	4	11009	8	0	-1
50106	4	11010	8	0	-1
50106	4	11011	8	0	-1
50106	1	11012	4	0	-1
50106	1	11013	4	0	-1
50106	1	11014	2	0	-1
50106	1	11015	2	0	-1
50106	1	10033	1	0	-1
50106	1	10034	1	0	-1
50106	1	9998	2	0	-1
50106	1	9999	2	0	-1
50111	4	10004	24	0	-1
50111	4	10005	8	0	-1
50111	4	10006	16	0	-1
50111	2	10007	4	0	-1
50111	4	11004	24	0	-1
50111	4	11005	8	0	-1
50111	4	11006	16	0	-1
50111	2	11007	4	0	-1
50111	1	9998	1	0	-1
50111	1	9999	1	0	-1
50119	4	10004	24	0	-1
50119	4	10005	8	0	-1
50119	4	10006	16	0	-1
50119	2	10007	4	0	-1
50119	4	11004	24	0	-1
50119	4	11005	8	0	-1
50119	4	11006	16	0	-1
50119	2	11007	4	0	-1
50119	1	9998	1	0	-1
50119	1	9999	1	0	-1
50120	4	10004	24	0	-1
50120	4	10005	8	0	-1
50120	4	10006	8	0	-1
50120	2	10007	16	0	-1
50120	4	11004	24	0	-1
50120	4	11005	8	0	-1
50120	4	11006	8	0	-1
50120	2	11007	16	0	-1
50120	1	9998	1	0	-1
