INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT
ID	TableID	Level	Type	Limit	ItemID	ItemType	ItemNumber	IsBang	NeedType	NeedNumber	NeedItem	Order	Show	time
1	1	1	-1	-1	10171	2	1	0	4	20	10161:2:1	1	1	1
2	1	1	-1	-1	10181	2	1	0	4	50	10171:2:1	3	1	1
3	1	1	-1	-1	10191	2	1	0	4	100	10181:2:1	5	1	1
4	1	1	-1	-1	10201	2	1	0	4	200	10191:2:1	7	1	1
5	1	1	-1	-1	10211	2	1	0	4	300	10201:2:1	9	1	1
6	1	300	-1	-1	10221	2	1	0	4	400	10211:2:1	11	1	1
7	1	350	-1	-1	10231	2	1	0	4	600	10221:2:1	13	1	1
8	1	400	-1	-1	10241	2	1	0	4	800	10231:2:1	15	1	1
9	1	400	-1	-1	10251	2	1	0	4	1000	10241:2:1	17	1	8
10	1	450	-1	-1	10261	2	1	0	4	1200	10251:2:1	19	1	15
11	1	450	-1	-1	10271	2	1	0	4	1400	10261:2:1	21	1	30
101	2	1	-1	-1	10176	2	1	0	4	16	10166:2:1	2	1	1
102	2	1	-1	-1	10186	2	1	0	4	40	10176:2:1	4	1	1
103	2	1	-1	-1	10196	2	1	0	4	80	10186:2:1	6	1	1
104	2	1	-1	-1	10206	2	1	0	4	160	10196:2:1	8	1	1
105	2	1	-1	-1	10216	2	1	0	4	240	10206:2:1	10	1	1
106	2	300	-1	-1	10226	2	1	0	4	320	10216:2:1	12	1	1
107	2	350	-1	-1	10236	2	1	0	4	480	10226:2:1	14	1	1
108	2	400	-1	-1	10246	2	1	0	4	640	10236:2:1	16	1	1
109	2	400	-1	-1	10256	2	1	0	4	800	10246:2:1	18	1	8
110	2	450	-1	-1	10266	2	1	0	4	960	10256:2:1	20	1	15
111	2	450	-1	-1	10276	2	1	0	4	1120	10266:2:1	22	1	30
201	3	1	-1	-1	10302	2	1	0	4	50	10292:2:1	17	1	1
202	3	1	-1	-1	10303	2	1	0	4	50	10293:2:1	18	1	1
203	3	1	-1	-1	10304	2	1	0	4	50	10294:2:1	19	1	1
204	3	1	-1	-1	10305	2	1	0	4	50	10295:2:1	20	1	1
205	3	1	-1	-1	10307	2	1	0	4	50	10297:2:1	21	1	1
206	3	1	-1	-1	10308	2	1	0	4	50	10298:2:1	22	1	1
207	3	1	-1	-1	10309	2	1	0	4	50	10299:2:1	23	1	1
208	3	1	-1	-1	10310	2	1	0	4	50	10300:2:1	24	1	1
209	3	1	-1	-1	10312	2	1	0	4	100	10302:2:1	25	1	1
210	3	1	-1	-1	10313	2	1	0	4	100	10303:2:1	26	1	1
211	3	1	-1	-1	10314	2	1	0	4	100	10304:2:1	27	1	1
212	3	1	-1	-1	10315	2	1	0	4	100	10305:2:1	28	1	1
