INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	STRING	STRING	INT	INT
Id	Name	Type	AttrType1	AttrValue1	AttrType2	AttrValue2	AttrType3	AttrValue3	AttrType4	AttrValue4	AttrType5	AttrValue5	AttrType6	AttrValue6	AttrType7	AttrValue7	Icon	Desc	Sort	Priority	Male_Avatar	Female_Avatar	Quality	SuitId
1	沙滩阳伞	0	1	39900	4	550	5	1380	6	210	7	420	-1	-1	-1	-1	34|34	#f7ab00|趁着这股清凉之风，沙滩阳光的渲染会让我们爱上沙滩上的美景。|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	11	11	zhanshi201_nan	zhanshi201_nan	7	1
2	紫夜战斧	0	1	39900	4	550	5	1380	6	210	7	420	-1	-1	-1	-1	101|101	#f7ab00|愿为你放弃如上帝般自由的心灵，让我的武器能陪伴你成长！紫！|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	12	12	zhanshi202_nan	zhanshi202_nan	7	2
3	海神船锚	0	1	39900	4	550	5	1380	6	210	7	420	-1	-1	-1	-1	37|37	#f7ab00|你带上钱，我带上你，我们的征途是星辰大海。|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	13	13	zhanshi203_nan	zhanshi203_nan	7	3
4	熊猫武器	0	1	39900	4	550	5	1380	6	210	7	420	-1	-1	-1	-1	40|40	#f7ab00|黑与白，本着卖萌活跃于游戏。天与地，本着初心游戏于人间。|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	14	14	zhanshi204_nan	zhanshi204_nan	7	4
5	大砍刀(废弃)	0	1	39900	4	550	5	1380	6	210	7	420	-1	-1	-1	-1	40|40	#f7ab00|我，灭神·强者，现在要开始征服世界。我不是天生强大，我只是天生要强！|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	15	15	zhanshi205_nan	zhanshi205_nan	7	0
6	古惑升龙棒	0	1	39900	4	550	5	1380	6	210	7	420	-1	-1	-1	-1	105|105	#f7ab00|光头一族专属打架神器，拥有撼天灭地之威力。|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	16	16	zhanshi206_nan	zhanshi206_nan	7	6
7	七夕玫瑰	0	1	39900	4	550	5	1380	6	210	7	420	-1	-1	-1	-1	108|108	#f7ab00|希望这个世界充满爱，希望你也有一个好的归属。|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	17	17	zhanshi207_nan	zhanshi207_nan	7	7
8	冰糖葫芦	0	1	39900	4	550	5	1380	6	210	7	420	-1	-1	-1	-1	132|132	#f7ab00|不滞于物,飞花摘叶皆可伤人，草木竹石均可为剑，冰糖葫芦亦可开山破石。|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	18	18	zhanshi208_nan	zhanshi208_nan	7	0
9	美术刀	0	1	39900	4	550	5	1380	6	210	7	420	-1	-1	-1	-1	111|111	#f7ab00|你会渐渐的明白，我雕刻的不是记忆中的悲伤，而是曾经与你浴血奋战过的荣耀。|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	19	19	zhanshi209_nan	zhanshi209_nan	7	9
10	圣诞武器	0	1	39900	4	550	5	1380	6	210	7	420	-1	-1	-1	-1	123|123	#f7ab00|你会渐渐的明白，我雕刻的不是记忆中的悲伤，而是曾经与你浴血奋战过的荣耀。|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	20	20	zhanshi210_nan	zhanshi210_nan	7	10
11	帝皇★圣武	0	4	2000	5	3000	6	2000	7	3000	15	50	20	50	-1	-1	116|116	#f7ab00|剑气纵横三万里 一剑光寒十九洲！|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	1	1	zhanshi211_nan	zhanshi211_nan	7	11
12	猩红毒针	0	1	39900	4	550	5	1380	6	210	7	420	-1	-1	-1	-1	120|120	#f7ab00|被击中者如同蝎子的剧毒流过全身一般，甚至会渐渐失去五种感能以及意志，从而不知不觉的死去。|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	22	22	zhanshi212_nan	zhanshi212_nan	7	12
13	恭喜发财	0	1	39900	4	550	5	1380	6	210	7	420	-1	-1	-1	-1	126|126	#f7ab00|我恭喜你发财，我恭喜你精采。最好的请过来，不好的请走开。|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	23	23	zhanshi213_nan	zhanshi213_nan	7	13
14	音随舞动	0	1	39900	4	550	5	1380	6	210	7	420	-1	-1	-1	-1	129|129	#f7ab00|跟着音乐一起舞动起来，我们是年轻的DJ。|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	24	24	zhanshi214_nan	zhanshi214_nan	7	14
15	暗黑★帝王剑	0	4	2000	5	3000	6	2000	7	3000	15	50	20	50	-1	-1	134|134	#f7ab00|暗黑之源，天地王道，万器始祖，助天下之主|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	25	1	zhanshi215_nan	zhanshi215_nan	7	15
16	激光战刃	0	1	39900	4	550	5	1380	6	210	7	420	-1	-1	-1	-1	137|137	#f7ab00|机甲风暴已经出现，怎么能够停滞不前，穿越时空竭尽全力，微笑面对危险。|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	26	26	zhanshi233_nan	zhanshi233_nan	7	16
17	激光战刃（女）	0	1	39900	4	550	5	1380	6	210	7	420	-1	-1	-1	-1	138|138	#f7ab00|机甲风暴已经出现，怎么能够停滞不前，穿越时空竭尽全力，微笑面对危险。|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	27	27	zhanshi232_nan	zhanshi232_nan	7	16
18	牛仔枪刃	0	1	39900	4	550	5	1380	6	210	7	420	-1	-1	-1	-1	139|139	#f7ab00|跟随奔腾的马蹄，夕阳下美丽剪影，正义呼唤我，美女需要我，牛仔很忙的。|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	28	28	zhanshi234_nan	zhanshi234_nan	7	17
19	华夏战刃	0	1	39900	4	550	5	1380	6	210	7	420	-1	-1	-1	-1	142|142	#f7ab00|犯我华夏者，虽远必诛！但使龙城飞将在，不教胡马度阴山。|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	29	29	zhanshi235_nan	zhanshi235_nan	7	0
20	咸鱼突刺	0	1	39900	4	550	5	1380	6	210	7	420	-1	-1	-1	-1	145|145	#f7ab00|头巾缠绕着骄傲，泪藏在黑色眼罩，对着狂风咆哮。|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	30	30	zhanshi236_nan	zhanshi236_nan	7	18
