INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
Type	Level	Exp	NeedLevel	CostItem	GetExp	SmallCritRate	LargeCritRate	Broadcast	AttrType1	AttrValue1	AttrType2	AttrValue2	AttrType3	AttrValue3	AttrType4	AttrValue4	AttrType5	AttrValue5	AttrType6	AttrValue6	AttrType7	AttrValue7
0	0	600	361	7568	100	1000	200	-1	1	0	6	0	8	0	20	0	17	0	20	0	17	0
0	1	1900	361	7568	100	1000	200	-1	1	80	6	59	8	41	20	5	17	100	20	5	17	100
0	2	5100	361	7568	100	1000	200	-1	1	160	6	118	8	82	20	20	17	200	20	20	17	200
0	3	9600	361	7568	100	1000	200	-1	1	270	6	200	8	139	20	50	17	300	20	50	17	300
0	4	19200	361	7568	100	1000	200	-1	1	440	6	325	8	227	20	100	17	400	20	100	17	400
0	5	32000	361	7568	100	1000	200	-1	1	700	6	518	8	362	20	180	17	500	20	180	17	500
0	6	51200	361	7568	100	1000	200	-1	1	1080	6	800	8	559	20	280	17	600	20	280	17	600
0	7	96000	361	7568	100	1000	200	-1	1	1660	6	1229	8	860	20	410	17	700	20	410	17	700
0	8	166400	361	7568	100	1000	200	-1	1	2480	6	1837	8	1284	20	570	17	800	20	570	17	800
0	9	262400	361	7568	100	1000	200	-1	1	3580	6	2651	8	1854	20	760	17	900	20	760	17	900
0	10	358400	361	7568	100	1000	200	-1	1	5000	6	3703	8	2590	20	1000	17	1000	20	1000	17	1000
0	11	454400	361	7568	100	1000	200	-1	1	7060	6	5229	8	3660	20	1320	17	1100	20	1320	17	1100
0	12	600000	361	7568	100	1000	200	-1	1	10000	6	7407	8	5184	20	1720	17	1200	20	1720	17	1200
1	0	600	361	7569	100	1000	200	-1	1	0	9	0	10	0	20	0	18	0	20	0	18	0
1	1	1900	361	7569	100	1000	200	-1	1	80	9	29	10	20	20	5	18	100	20	5	18	100
1	2	5100	361	7569	100	1000	200	-1	1	160	9	59	10	41	20	20	18	200	20	20	18	200
1	3	9600	361	7569	100	1000	200	-1	1	270	9	100	10	69	20	50	18	300	20	50	18	300
1	4	19200	361	7569	100	1000	200	-1	1	440	9	162	10	113	20	100	18	400	20	100	18	400
1	5	32000	361	7569	100	1000	200	-1	1	700	9	259	10	181	20	180	18	500	20	180	18	500
1	6	51200	361	7569	100	1000	200	-1	1	1080	9	400	10	279	20	280	18	600	20	280	18	600
1	7	96000	361	7569	100	1000	200	-1	1	1660	9	614	10	430	20	410	18	700	20	410	18	700
1	8	166400	361	7569	100	1000	200	-1	1	2480	9	918	10	642	20	570	18	800	20	570	18	800
1	9	262400	361	7569	100	1000	200	-1	1	3580	9	1325	10	927	20	760	18	900	20	760	18	900
1	10	358400	361	7569	100	1000	200	-1	1	5000	9	1851	10	1295	20	1000	18	1000	20	1000	18	1000
1	11	454400	361	7569	100	1000	200	-1	1	7060	9	2614	10	1830	20	1320	18	1100	20	1320	18	1100
1	12	600000	361	7569	100	1000	200	-1	1	10000	9	3703	10	2592	20	1720	18	1200	20	1720	18	1200
2	0	600	361	7647	100	1000	200	-1	1	0	6	0	8	0	20	0	17	0	20	0	17	0
2	1	1900	361	7647	100	1000	200	-1	1	80	6	59	8	41	20	5	17	100	20	5	17	100
2	2	5100	361	7647	100	1000	200	-1	1	160	6	118	8	82	20	20	17	200	20	20	17	200
2	3	9600	361	7647	100	1000	200	-1	1	270	6	200	8	139	20	50	17	300	20	50	17	300
2	4	19200	361	7647	100	1000	200	-1	1	440	6	325	8	227	20	100	17	400	20	100	17	400
2	5	32000	361	7647	100	1000	200	-1	1	700	6	518	8	362	20	180	17	500	20	180	17	500
2	6	51200	361	7647	100	1000	200	-1	1	1080	6	800	8	559	20	280	17	600	20	280	17	600
2	7	96000	361	7647	100	1000	200	-1	1	1660	6	1229	8	860	20	410	17	700	20	410	17	700
2	8	166400	361	7647	100	1000	200	-1	1	2480	6	1837	8	1284	20	570	17	800	20	570	17	800
2	9	262400	361	7647	100	1000	200	-1	1	3580	6	2651	8	1854	20	760	17	900	20	760	17	900
2	10	358400	361	7647	100	1000	200	-1	1	5000	6	3703	8	2590	20	1000	17	1000	20	1000	17	1000
2	11	454400	361	7647	100	1000	200	-1	1	7060	6	5229	8	3660	20	1320	17	1100	20	1320	17	1100
2	12	600000	361	7647	100	1000	200	-1	1	10000	6	7407	8	5184	20	1720	17	1200	20	1720	17	1200
