INT	INT	STRING	STRING
Id	Level	CostItem	Attr
1	0	961:1:10	1:0|4:0|5:0|6:0|7:0
1	1	961:1:10	1:18000|4:250|5:620|6:90|7:190
1	2	961:1:20	1:49900|4:690|5:1730|6:260|7:530
1	3	961:1:35	1:93000|4:1280|5:3220|6:490|7:980
1	4	961:1:65	1:152800|4:2110|5:5290|6:800|7:1610
1	5	961:1:120	1:242600|4:3340|5:8390|6:1280|7:2550
2	0	961:1:10	1:0|4:0|5:0|6:0|7:0
2	1	961:1:10	1:18000|4:250|5:620|6:90|7:190
2	2	961:1:20	1:49900|4:690|5:1730|6:260|7:530
2	3	961:1:35	1:93000|4:1280|5:3220|6:490|7:980
2	4	961:1:65	1:152800|4:2110|5:5290|6:800|7:1610
2	5	961:1:120	1:242600|4:3340|5:8390|6:1280|7:2550
3	0	961:1:10	1:0|4:0|5:0|6:0|7:0
3	1	961:1:10	1:18000|4:250|5:620|6:90|7:190
3	2	961:1:20	1:49900|4:690|5:1730|6:260|7:530
3	3	961:1:35	1:93000|4:1280|5:3220|6:490|7:980
3	4	961:1:65	1:152800|4:2110|5:5290|6:800|7:1610
3	5	961:1:120	1:242600|4:3340|5:8390|6:1280|7:2550
4	0	961:1:10	1:0|4:0|5:0|6:0|7:0
4	1	961:1:10	1:18000|4:250|5:620|6:90|7:190
4	2	961:1:20	1:49900|4:690|5:1730|6:260|7:530
4	3	961:1:35	1:93000|4:1280|5:3220|6:490|7:980
4	4	961:1:65	1:152800|4:2110|5:5290|6:800|7:1610
4	5	961:1:120	1:242600|4:3340|5:8390|6:1280|7:2550
5	0	961:1:10	1:0|4:0|5:0|6:0|7:0
5	1	961:1:10	1:18000|4:250|5:620|6:90|7:190
5	2	961:1:20	1:49900|4:690|5:1730|6:260|7:530
5	3	961:1:35	1:93000|4:1280|5:3220|6:490|7:980
5	4	961:1:65	1:152800|4:2110|5:5290|6:800|7:1610
5	5	961:1:120	1:242600|4:3340|5:8390|6:1280|7:2550
6	0	961:1:10	1:0|4:0|5:0|6:0|7:0
6	1	961:1:10	1:18000|4:250|5:620|6:90|7:190
6	2	961:1:20	1:49900|4:690|5:1730|6:260|7:530
6	3	961:1:35	1:93000|4:1280|5:3220|6:490|7:980
6	4	961:1:65	1:152800|4:2110|5:5290|6:800|7:1610
6	5	961:1:120	1:242600|4:3340|5:8390|6:1280|7:2550
7	0	961:1:10	1:0|4:0|5:0|6:0|7:0
7	1	961:1:10	1:18000|4:250|5:620|6:90|7:190
7	2	961:1:20	1:49900|4:690|5:1730|6:260|7:530
7	3	961:1:35	1:93000|4:1280|5:3220|6:490|7:980
7	4	961:1:65	1:152800|4:2110|5:5290|6:800|7:1610
7	5	961:1:120	1:242600|4:3340|5:8390|6:1280|7:2550
8	0	961:1:10	1:0|4:0|5:0|6:0|7:0
