INT	INT	INT	STRING	INT	INT
Index	ItemID	Type	Name	MinGrade	MaxGrade
1	0	2	1-5阶装备	1	5
2	0	2	#00ff00|6-10阶装备	6	10
3	0	2	#00afec|11-15阶装备	11	15
4	0	2	#a54bfa|16-20阶装备	16	20
5	0	2	#f7ab00|21-25阶装备	21	25
6	308	1	#a54bfa|等级丹(初级)	0	0
7	300	1	#a54bfa|等级丹(高级)	0	0
8	301	1	#f7ab00|等级丹(超级)	0	0
9	302	1	#ff3399|等级丹(妖级)	0	0
10	303	1	#e60012|等级丹(魔级)	0	0
11	250	1	#00ff00|50元宝	0	0
12	251	1	#00ff00|100元宝	0	0
13	252	1	#00ff00|200元宝	0	0
14	253	1	#00ff00|500元宝	0	0
15	254	1	#00ff00|1000元宝	0	0
16	255	1	#00ff00|2000元宝	0	0
17	256	1	#00ff00|5000元宝	0	0
18	270	1	#00afec|1圣妖币	0	0
19	271	1	#00afec|5圣妖币	0	0
20	272	1	#00afec|10圣妖币	0	0
21	273	1	#00afec|20圣妖币	0	0
22	274	1	#00afec|50圣妖币	0	0
23	275	1	#00afec|100圣妖币	0	0
24	260	1	#00ff00|50绑定元宝	0	0
25	261	1	#00ff00|100绑定元宝	0	0
26	262	1	#00ff00|200绑定元宝	0	0
27	263	1	#00ff00|500绑定元宝	0	0
28	264	1	#00ff00|1000绑定元宝	0	0
29	265	1	#00ff00|2000绑定元宝	0	0
30	266	1	#00ff00|5000绑定元宝	0	0
31	267	1	#00ff00|10000绑定元宝	0	0
