INT	STRING	STRING	INT
Index	Items	PingTai	Icon
1	13:1:1:1|575:1:5:1|9:1:2:1|151:1:2:1	feihuo	1012
2	13:1:1:1|575:1:5:1|9:1:2:1|151:1:2:1	niuxyx	1022
3	13:1:1:1|575:1:5:1|9:1:2:1|151:1:2:1	2217	1028
4	13:1:1:1|575:1:5:1|9:1:2:1|151:1:2:1	37wan	1046
5	13:1:1:1|575:1:5:1|9:1:2:1|151:1:2:1	9377	1054
6	13:1:1:1|575:1:5:1|9:1:2:1|151:1:2:1	ledu	1084
7	13:1:1:1|575:1:5:1|9:1:2:1|151:1:2:1	1666	1095
8	13:1:1:1|575:1:5:1|9:1:2:1|151:1:2:1	tanwan	1112
9	13:1:1:1|575:1:5:1|9:1:2:1|151:1:2:1	te6	1177
10	13:1:1:1|575:1:5:1|9:1:2:1|151:1:2:1	yilewan	1073
11	13:1:1:1|575:1:5:1|9:1:2:1|151:1:2:1	swjoy	1190
