INT	INT	INT	STRING	STRING	INT	INT	STRING	STRING	INT	STRING	STRING	STRING	INT	STRING	INT
Index	Type	UiType	StartTime	EndTime	Show	Sort	Time	Desc	Title	Params	Params1	ClickType	Pic	BtnBg	ShowEffect
694	44	1	2021/7/1 0:00	2021/11/12 0:00	1	1	2021年7月01日-2021年11月12日24:00	#f5e8bf|活动期间内|#e60012|击杀|#f5e8bf|BOSS可获得积分，每天最多可以获得|#00ff00|3次|#f5e8bf|摇奖机会。	-1	13:1:5:0|564:1:20:0|567:1:2:0|505:1:10:0|564:1:5:0|568:1:1:0|710:1:2:0|510:1:5:0|578:1:1:0|570:1:1:0|564:1:10:0	1000:3000:1	-1	81	bg	0
695	15	1	2021/7/1 0:00	2021/11/12 0:00	1	2	2021年7月01日-2021年11月12日24:00	#f5e8bf|活动期间内每日充值达到指定钻石可领取充值奖励，与原每日充值活动奖励叠加。双重豪礼|#00ff00|免费|#f5e8bf|领取！	-1	7040:1:1:1|568:1:3:1|776:1:5:1|597:1:10:1|566:1:2:1&570:1:3:1|564:1:120:1|597:1:30:1|776:1:10:1|566:1:3:1	2000:20000	-1	76	bg	0
696	25	1	2021/7/1 0:00	2021/11/12 0:00	1	3	2021年7月01日-2021年11月12日24:00	#f5e8bf|活动期间内每日可购买各种|#00ff00|超值特惠|#f5e8bf|礼包，每个礼包每日|#e60012|限购|#f5e8bf|1次，机不可失失不再来！	-1	762:1:1:1&762:1:3:1&762:1:6:1&8306:3:1:1&8306:3:3:1&8306:3:6:1&710:1:4:1&710:1:24:1&710:1:48:1&565:1:10:1&565:1:30:1&565:1:60:1&776:1:10:1&776:1:40:1&776:1:120:1&21:1:100:1&21:1:400:1&21:1:800:1&158:1:5:1&158:1:30:1&158:1:60:1&508:1:2:1&508:1:12:1&508:1:24:1	10000:30000:60000:3000:9000:18000:1200:9600:19200:2400:9000:18000:1200:6400:19200:1600:6400:12800:1200:9000:19200:1200:9000:19200	0:60|1:60|2:60&3:1|4:1|5:1&6:1|7:1|8:1&9:1|10:1|11:1&12:1|13:1|14:1&15:1|16:1|17:1&18:1|19:1|20:1&21:1|22:1|23:1	79	bg	0
697	20	1	2021/7/1 0:00	2021/11/12 0:00	1	4	2021年7月01日-2021年11月12日24:00	#f5e8bf|活动期间内神秘商场每日刷新各种|#a54bfa|珍稀|#f5e8bf|廉价道具|#00ff00|超值特惠|#f5e8bf|限量抢购！	-1	-1	1	200	78	bg	0
698	46	1	2021/7/1 0:00	2021/11/12 0:00	1	5	2021年7月01日-2021年11月12日24:00	#f5e8bf|活动期间每日充值达到一定金额可领取奖励。|n|#00ff00|每档奖励限领一次。新服7天内不参与活动。	-1	-1	-1	-1	84	bg	0
699	18	1	2021/7/1 0:00	2021/11/12 0:00	1	6	2021年7月01日-2021年11月12日24:00	#f5e8bf|活动期间内，寻宝中新增极品装备|#e60012|10阶魔符|#f5e8bf|，高级装备的概率|#e60012|2倍|#f5e8bf|抽取！	-1	7	-1	openPanel|choujiangPanel	57	bg	0
700	28	2	2021/7/1 0:00	2021/11/12 0:00	1	7	2021年7月01日-2021年11月12日24:00	#f5e8bf|活动期间可购买绝版时装，重复购买的时装可分解获得时装升阶材料。	-1	5019:1:1:0|5129:1:1:0|5130:1:1:0	18888:28888|8888:18888|8888:18888	42	80	bg	0
701	21	1	2021/7/1 0:00	2021/11/12 0:00	1	8	2021年7月01日-2021年11月12日24:00	#f5e8bf|活动期间累计充值达到下列指定额度即可领取充值奖励。|#00ff00|每档奖励限领一次。	-1	8304:3:1:1|565:1:5:1|508:1:1:1&8305:3:1:1|565:1:5:1|508:1:2:1&7082:1:1:1|565:1:20:1|508:1:3:1&7199:1:1:1|565:1:30:1|508:1:5:1&717:1:1:1|565:1:40:1|508:1:6:1&785:1:1:1|512:1:1:1|776:1:25:1&743:1:1:1|512:1:1:1|776:1:30:1&20001:2:1:1|512:1:2:1|776:1:45:1&735:1:1:1|512:1:3:1|776:1:50:1	4888:8888:28888:88888:188888:288888:388888:588888:888888	-1	25	bg	0
702	45	1	2021/7/1 0:00	2021/11/12 0:00	1	9	2021年7月01日-2021年11月12日24:00	#f5e8bf|一年仅此一次！挑选各种珍稀商品，塞进你的购物车里！|#00ff00|购物车内物品越多，狂欢折扣越大！|#f5e8bf|你还在犹豫吗？错过这次，再等一年！	-1	564:1:300:1|564:1:1000:1|564:1:2000:1|645:1:30:1|645:1:100:1|722:1:10:1|722:1:50:1|722:1:100:1|710:1:20:1|710:1:80:1|710:1:160:1|720:1:20:1|720:1:100:1|720:1:200:1|704:1:1500:1|705:1:1500:1|706:1:1500:1|707:1:1500:1|708:1:1500:1|709:1:1500:1|758:1:100:1|758:1:800:1|731:1:900:1|732:1:900:1|733:1:500:1|734:1:100:1|961:1:10:1|961:1:100:1|962:1:10:1|962:1:100:1	15000:50000:100000:30000:100000:12000:60000:120000:10000:40000:80000:10000:50000:100000:60000:30000:30000:60000:30000:30000:10000:80000:13500:13500:75000:50000:18888:188888:8888:88888	9:8:7:6:5	83	bg	0
