INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
SkillId	Lv1	Lv2	Lv3	Lv4	Lv5	FightingLv1	FightingLv2	FightingLv3	FightingLv4	FightingLv5	FightingLv6	FightingLv7
1	7043	7118	7119	7120	7121	0	0	0	0	0	-1	-1
11	7043	7044	7045	7046	7047	1	5	15	30	50	-1	-1
12	7043	7044	7045	7046	7047	1	5	15	30	50	-1	-1
13	7043	7044	7045	7046	7047	1	5	15	30	50	-1	-1
14	7043	7044	7045	7046	7047	1	9	25	49	80	-1	-1
15	7043	7044	7045	7046	7047	1	1	1	1	1	-1	-1
16	7043	7044	7045	7046	7047	1	1	1	1	1	-1	-1
17	7043	7044	7045	7046	7047	1	5	15	30	50	-1	-1
18	7043	7044	7045	7046	7047	1	5	15	30	50	-1	-1
19	7043	7044	7045	7046	7047	1	9	25	49	80	-1	-1
20	7043	7044	7045	7046	7047	1	9	25	49	80	-1	-1
101	7183	7144	7145	7146	7147	1	5	15	30	50	-1	-1
102	7183	-1	-1	-1	-1	1	1	1	1	1	-1	-1
103	7183	-1	-1	-1	-1	1	1	1	1	1	-1	-1
104	7183	7154	7155	7156	7157	1	9	25	49	80	-1	-1
105	7183	-1	-1	-1	-1	1	1	1	1	1	-1	-1
106	7183	7159	7160	7161	7162	1	5	15	30	50	-1	-1
107	7183	7164	7165	7166	7167	1	1	1	1	1	-1	-1
108	7183	7169	7170	7171	7172	1	1	1	1	1	-1	-1
109	7183	7184	7185	7186	7187	1	5	15	30	50	-1	-1
110	7183	7189	7190	7191	7192	1	5	15	30	50	-1	-1
111	7183	7194	7195	7196	7197	1	5	15	30	50	-1	-1
112	7183	7199	7200	7201	7202	1	5	15	30	50	-1	-1
113	7183	7204	7205	7206	7207	1	5	15	30	50	-1	-1
114	7183	-1	-1	-1	-1	1	1	1	1	1	-1	-1
115	7183	-1	-1	-1	-1	1	1	1	1	1	-1	-1
116	7183	-1	-1	-1	-1	1	1	1	1	1	-1	-1
117	7183	-1	-1	-1	-1	1	1	1	1	1	-1	-1
118	7183	-1	-1	-1	-1	1	1	1	1	1	-1	-1
119	7183	-1	-1	-1	-1	1	1	1	1	1	-1	-1
120	7011	7012	7013	7014	7015	1	4	10	19	30	-1	-1
121	7016	7017	7018	7019	7020	1	4	10	19	30	-1	-1
122	7021	7022	7023	7024	7025	1	4	10	19	30	-1	-1
123	7026	7027	7028	7029	7030	1	4	10	19	30	-1	-1
124	7031	7032	7033	7034	7035	1	4	10	19	30	-1	-1
125	7080	7081	7082	7083	7084	1	4	10	19	30	-1	-1
126	7085	7086	7087	7088	7089	1	4	10	19	30	-1	-1
127	7090	7091	7092	7093	7094	1	4	10	19	30	-1	-1
200	7192	7193	7194	7195	7196	1	5	15	30	50	-1	-1
201	7192	7198	7199	7200	7201	1	5	15	30	50	-1	-1
202	7192	7203	7204	7205	7206	1	5	15	30	50	-1	-1
203	7192	7208	7209	7210	7211	1	5	15	30	50	-1	-1
204	7192	7213	7214	7215	7216	1	9	25	49	80	-1	-1
205	7192	7218	7219	7220	7221	1	1	1	1	1	-1	-1
206	7192	7223	7224	7225	7226	1	1	1	1	1	-1	-1
207	7192	7223	7224	7225	7226	1	1	1	1	1	-1	-1
208	7192	7223	7224	7225	7226	1	1	1	1	1	-1	-1
1400	-1	-1	-1	-1	-1	3	6	9	12	15	18	21
1401	-1	-1	-1	-1	-1	3	6	9	12	15	18	21
1402	-1	-1	-1	-1	-1	3	6	9	12	15	18	21
1403	-1	-1	-1	-1	-1	3	6	9	12	15	18	21
1404	-1	-1	-1	-1	-1	3	6	9	12	15	18	21
1405	-1	-1	-1	-1	-1	3	6	9	12	15	18	21
