INT	INT	INT	INT
SkillId	Distance	PoFang	Attack_modify_base
3521	2	100	-1
3521	3	100	-1
3522	2	100	-1
3522	3	100	-1
3523	2	100	-1
3523	3	100	-1
3524	2	100	-1
3524	3	100	-1
3525	2	100	-1
3525	3	100	-1
3526	2	100	-1
3526	3	100	-1
3527	2	100	-1
3527	3	100	-1
3528	2	100	-1
3528	3	100	-1
3529	2	100	-1
3529	3	100	-1
3530	2	100	-1
3530	3	100	-1
3621	1	-1	20000
3621	2	-1	23000
3621	3	-1	26000
3621	4	-1	29000
3622	1	-1	20200
3622	2	-1	23230
3622	3	-1	26260
3622	4	-1	29290
3623	1	-1	20400
3623	2	-1	23460
3623	3	-1	26520
3623	4	-1	29580
3624	1	-1	21000
3624	2	-1	24150
3624	3	-1	27300
3624	4	-1	30450
3625	1	-1	21200
3625	2	-1	24380
3625	3	-1	27560
3625	4	-1	30740
3626	1	-1	21400
3626	2	-1	24610
3626	3	-1	27820
3626	4	-1	31030
3627	1	-1	22000
3627	2	-1	25300
3627	3	-1	28600
3627	4	-1	31900
3628	1	-1	22600
3628	2	-1	25990
3628	3	-1	29380
3628	4	-1	32770
3629	1	-1	23200
3629	2	-1	26680
3629	3	-1	30160
3629	4	-1	33640
3630	1	-1	24000
3630	2	-1	27600
3630	3	-1	31200
3630	4	-1	34800
3641	1	-1	10000
3641	2	-1	13000
3641	3	-1	16000
3641	4	-1	20000
3642	1	-1	10500
3642	2	-1	13650
3642	3	-1	16800
3642	4	-1	21000
3643	1	-1	11000
3643	2	-1	14300
3643	3	-1	17600
3643	4	-1	22000
3644	1	-1	11500
3644	2	-1	14950
3644	3	-1	18400
3644	4	-1	23000
3645	1	-1	12000
3645	2	-1	15600
3645	3	-1	19200
3645	4	-1	24000
3646	1	-1	12500
3646	2	-1	16250
3646	3	-1	20000
3646	4	-1	25000
3647	1	-1	13000
3647	2	-1	16900
3647	3	-1	20800
3647	4	-1	26000
3648	1	-1	13500
3648	2	-1	17550
3648	3	-1	21600
3648	4	-1	27000
3649	1	-1	14000
3649	2	-1	18200
3649	3	-1	22400
3649	4	-1	28000
3650	1	-1	14500
3650	2	-1	18850
3650	3	-1	23200
3650	4	-1	29000
