INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	INT	STRING	INT	STRING	INT	INT	STRING
TalentId	TalentLevel	SkillId	Belong	MaxLevel	LearnLevel	LearnSkill	Name	CostItem	PowerSkill	SkillType	ParamType	Battle	ZhePic	MaxExp	GongGao	LearnDesc
1	1	1	1	5	1	-1	重斩	-1	-1	0	0	30	-1	10000	-1	-1
1	2	2	1	5	1	-1	重斩	-1	-1	0	0	40	-1	20000	-1	-1
1	3	3	1	5	1	-1	重斩	-1	-1	0	0	50	-1	30000	-1	-1
1	4	4	1	5	1	-1	重斩	-1	-1	0	0	60	-1	40000	-1	-1
1	5	5	1	5	1	-1	重斩	-1	-1	0	0	70	-1	50000	-1	-1
1	6	6	1	5	1	-1	重斩	-1	-1	0	0	100	-1	60000	-1	-1
1	7	7	1	5	1	-1	重斩	-1	-1	0	0	110	-1	70000	-1	-1
1	8	8	1	5	1	-1	重斩	-1	-1	0	0	120	-1	80000	-1	-1
1	9	9	1	5	1	-1	重斩	-1	-1	0	0	130	-1	90000	-1	-1
1	10	10	1	5	1	-1	重斩	-1	-1	0	0	160	-1	100000	-1	-1
2	1	21	0	5	30	-1	击晕	-1	-1	0	0	0	-1	10000	-1	-1
2	2	22	0	5	30	-1	击晕	-1	-1	0	0	0	-1	20000	-1	-1
2	3	23	0	5	30	-1	击晕	-1	-1	0	0	0	-1	30000	-1	-1
2	4	24	0	5	30	-1	击晕	-1	-1	0	0	0	-1	40000	-1	-1
2	5	25	0	5	30	-1	击晕	-1	-1	0	0	0	-1	50000	-1	-1
2	6	26	0	5	30	-1	击晕	-1	-1	0	0	0	-1	60000	-1	-1
2	7	27	0	5	30	-1	击晕	-1	-1	0	0	0	-1	70000	-1	-1
2	8	28	0	5	30	-1	击晕	-1	-1	0	0	0	-1	80000	-1	-1
2	9	29	0	5	30	-1	击晕	-1	-1	0	0	0	-1	90000	-1	-1
2	10	30	0	5	30	-1	击晕	-1	-1	0	0	0	-1	100000	-1	-1
3	1	41	1	10	1	-1	十步一杀	409:1:1	-1	0	0	0	-1	81900	-1	-1
3	2	42	1	10	125	-1	十步一杀	409:1:1	-1	0	0	0	-1	191100	-1	-1
3	3	43	1	10	225	-1	十步一杀	409:1:1	-1	0	0	0	-1	546000	-1	-1
3	4	44	1	10	325	-1	十步一杀	409:1:1	-1	0	0	0	-1	955500	-1	-1
3	5	45	1	10	375	-1	十步一杀	409:1:1	-1	0	0	0	-1	1365000	-1	-1
3	6	46	1	10	425	-1	十步一杀	409:1:1	-1	0	0	0	-1	2730000	-1	-1
3	7	47	1	10	475	-1	十步一杀	409:1:1	-1	0	0	0	-1	4641000	-1	-1
3	8	48	1	10	525	-1	十步一杀	409:1:1	-1	0	0	0	-1	8190000	-1	-1
3	9	49	1	10	555	-1	十步一杀	409:1:1	-1	0	0	0	-1	11700000	-1	-1
3	10	50	1	10	595	-1	十步一杀	409:1:1	-1	0	0	0	-1	11700000	-1	-1
4	1	61	1	5	20	181:5	旋风斩	-1	-1	0	0	60	-1	10000	-1	-1
4	2	62	1	5	20	181:5	旋风斩	-1	-1	0	0	80	-1	20000	-1	-1
4	3	63	1	5	20	181:5	旋风斩	-1	-1	0	0	100	-1	30000	-1	-1
4	4	64	1	5	20	181:5	旋风斩	-1	-1	0	0	120	-1	40000	-1	-1
4	5	65	1	5	20	181:5	旋风斩	-1	-1	0	0	140	-1	50000	-1	-1
4	6	66	1	5	20	181:5	旋风斩	-1	-1	0	0	200	-1	60000	-1	-1
4	7	67	1	5	20	181:5	旋风斩	-1	-1	0	0	220	-1	70000	-1	-1
4	8	68	1	5	20	181:5	旋风斩	-1	-1	0	0	240	-1	80000	-1	-1
4	9	69	1	5	20	181:5	旋风斩	-1	-1	0	0	260	-1	90000	-1	-1
4	10	70	1	5	20	181:5	旋风斩	-1	-1	0	0	320	-1	100000	-1	-1
11	1	151	2	5	30	-1	战斗之吼	-1	-1	0	0	30	-1	10000	-1	-1
11	2	152	2	5	30	-1	战斗之吼	-1	-1	0	0	40	-1	20000	-1	-1
11	3	153	2	5	30	-1	战斗之吼	-1	-1	0	0	50	-1	30000	-1	-1
11	4	154	2	5	30	-1	战斗之吼	-1	-1	0	0	60	-1	40000	-1	-1
11	5	155	2	5	30	-1	战斗之吼	-1	-1	0	0	70	-1	50000	-1	-1
11	6	156	2	5	30	-1	战斗之吼	-1	-1	0	0	100	-1	60000	-1	-1
11	7	157	2	5	30	-1	战斗之吼	-1	-1	0	0	110	-1	70000	-1	-1
11	8	158	2	5	30	-1	战斗之吼	-1	-1	0	0	120	-1	80000	-1	-1
11	9	159	2	5	30	-1	战斗之吼	-1	-1	0	0	130	-1	90000	-1	-1
11	10	160	2	5	30	-1	战斗之吼	-1	-1	0	0	160	-1	100000	-1	-1
12	1	171	2	5	35	11:5	警示之吼	-1	-1	0	0	50	-1	10000	-1	-1
12	2	172	2	5	35	11:5	警示之吼	-1	-1	0	0	65	-1	20000	-1	-1
12	3	173	2	5	35	11:5	警示之吼	-1	-1	0	0	80	-1	30000	-1	-1
12	4	174	2	5	35	11:5	警示之吼	-1	-1	0	0	95	-1	40000	-1	-1
12	5	175	2	5	35	11:5	警示之吼	-1	-1	0	0	110	-1	50000	-1	-1
12	6	176	2	5	35	11:5	警示之吼	-1	-1	0	0	160	-1	60000	-1	-1
12	7	177	2	5	35	11:5	警示之吼	-1	-1	0	0	175	-1	70000	-1	-1
12	8	178	2	5	35	11:5	警示之吼	-1	-1	0	0	190	-1	80000	-1	-1
12	9	179	2	5	35	11:5	警示之吼	-1	-1	0	0	205	-1	90000	-1	-1
12	10	180	2	5	35	11:5	警示之吼	-1	-1	0	0	265	-1	100000	-1	-1
13	1	191	0	5	1	-1	血性之吼	-1	-1	0	0	0	-1	10000	-1	-1
13	2	192	0	5	1	-1	血性之吼	-1	-1	0	0	0	-1	20000	-1	-1
13	3	193	0	5	1	-1	血性之吼	-1	-1	0	0	0	-1	30000	-1	-1
13	4	194	0	5	1	-1	血性之吼	-1	-1	0	0	0	-1	40000	-1	-1
13	5	195	0	5	1	-1	血性之吼	-1	-1	0	0	0	-1	50000	-1	-1
13	6	196	0	5	1	-1	血性之吼	-1	-1	0	0	0	-1	60000	-1	-1
13	7	197	0	5	1	-1	血性之吼	-1	-1	0	0	0	-1	70000	-1	-1
13	8	198	0	5	1	-1	血性之吼	-1	-1	0	0	0	-1	80000	-1	-1
13	9	199	0	5	1	-1	血性之吼	-1	-1	0	0	0	-1	90000	-1	-1
13	10	200	0	5	1	-1	血性之吼	-1	-1	0	0	0	-1	100000	-1	-1
14	1	211	2	5	45	192:5	狂暴之吼	-1	-1	0	0	60	-1	10000	-1	-1
14	2	212	2	5	45	192:5	狂暴之吼	-1	-1	0	0	80	-1	20000	-1	-1
14	3	213	2	5	45	192:5	狂暴之吼	-1	-1	0	0	100	-1	30000	-1	-1
14	4	214	2	5	45	192:5	狂暴之吼	-1	-1	0	0	120	-1	40000	-1	-1
14	5	215	2	5	45	192:5	狂暴之吼	-1	-1	0	0	140	-1	50000	-1	-1
14	6	216	2	5	45	192:5	狂暴之吼	-1	-1	0	0	200	-1	60000	-1	-1
14	7	217	2	5	45	192:5	狂暴之吼	-1	-1	0	0	220	-1	70000	-1	-1
14	8	218	2	5	45	192:5	狂暴之吼	-1	-1	0	0	240	-1	80000	-1	-1
14	9	219	2	5	45	192:5	狂暴之吼	-1	-1	0	0	260	-1	90000	-1	-1
14	10	220	2	5	45	192:5	狂暴之吼	-1	-1	0	0	320	-1	100000	-1	-1
21	1	301	3	5	1	-1	圣光斩	-1	-1	0	0	30	-1	10000	-1	-1
21	2	302	3	5	1	-1	圣光斩	-1	-1	0	0	40	-1	20000	-1	-1
21	3	303	3	5	1	-1	圣光斩	-1	-1	0	0	50	-1	30000	-1	-1
