INT	STRING	INT	STRING	STRING	STRING	INT	STRING
SkillId	Name	SkillType	HuntType	Dic	UpDic	Icon	UpConditionDesc
1	重斩	1	物理	用力劈砍敌人，对3格内最多4#2个敌人造成基础伤害80%的物理伤害|n（可作为默认1号技能）	#00ff00|造成的伤害提升5%	1	-1
2	重斩	1	物理	用力劈砍敌人，对3格内最多4#2个敌人造成基础伤害85%的物理伤害|n（可作为默认1号技能）	#00ff00|造成的伤害提升5%	1	-1
3	重斩	1	物理	用力劈砍敌人，对3格内最多4#2个敌人造成基础伤害90%的物理伤害|n（可作为默认1号技能）	#00ff00|造成的伤害提升5%	1	-1
4	重斩	1	物理	用力劈砍敌人，对3格内最多4#2个敌人造成基础伤害95%的物理伤害|n（可作为默认1号技能）	#00ff00|造成的伤害提升5%	1	-1
5	重斩	1	物理	用力劈砍敌人，对3格内最多4#2个敌人造成基础伤害100%的物理伤害|n（可作为默认1号技能）	#00ff00|造成的伤害提升246.8%	1	-1
6	重斩	1	物理	用力劈砍敌人，对3格内最多4#2个敌人造成基础伤害346.8%的物理伤害|n（可作为默认1号技能）	#00ff00|造成的伤害提升33.8%	1	-1
7	重斩	1	物理	用力劈砍敌人，对3格内最多4#2个敌人造成基础伤害380.6%的物理伤害|n（可作为默认1号技能）	#00ff00|造成的伤害提升33.8%	1	-1
8	重斩	1	物理	用力劈砍敌人，对3格内最多4#2个敌人造成基础伤害414.4%的物理伤害|n（可作为默认1号技能）	#00ff00|造成的伤害提升33.9%	1	-1
9	重斩	1	物理	用力劈砍敌人，对3格内最多4#2个敌人造成基础伤害448.3%的物理伤害|n（可作为默认1号技能）	#00ff00|造成的伤害提升67.6%	1	-1
10	重斩	1	物理	用力劈砍敌人，对3格内最多4#2个敌人造成基础伤害515.9%的物理伤害|n（可作为默认1号技能）	#00ff00|技能已达到最高等级	1	-1
21	击晕	1	物理	重击敌人的头部，对3格内单体敌人造成基础伤害50%的物理伤害，并使其晕眩1秒	#00ff00|造成的伤害提升5%	2	-1
22	击晕	1	物理	重击敌人的头部，对3格内单体敌人造成基础伤害55%的物理伤害，并使其晕眩1秒	#00ff00|造成的伤害提升5%	2	-1
23	击晕	1	物理	重击敌人的头部，对3格内单体敌人造成基础伤害60%的物理伤害，并使其晕眩1秒	#00ff00|造成的伤害提升5%	2	-1
24	击晕	1	物理	重击敌人的头部，对3格内单体敌人造成基础伤害65%的物理伤害，并使其晕眩1秒	#00ff00|造成的伤害提升5%	2	-1
25	击晕	1	物理	重击敌人的头部，对3格内单体敌人造成基础伤害70%的物理伤害，并使其晕眩1秒	#00ff00|造成的伤害提升10%	2	-1
26	击晕	1	物理	重击敌人的头部，对3格内单体敌人造成基础伤害80%的物理伤害，并使其晕眩1秒	#00ff00|造成的伤害提升5%	2	-1
27	击晕	1	物理	重击敌人的头部，对3格内单体敌人造成基础伤害85%的物理伤害，并使其晕眩1秒	#00ff00|造成的伤害提升5%	2	-1
28	击晕	1	物理	重击敌人的头部，对3格内单体敌人造成基础伤害90%的物理伤害，并使其晕眩1秒	#00ff00|造成的伤害提升5%	2	-1
29	击晕	1	物理	重击敌人的头部，对3格内单体敌人造成基础伤害95%的物理伤害，并使其晕眩1秒	#00ff00|造成的伤害提升25%	2	-1
30	击晕	1	物理	重击敌人的头部，对3格内单体敌人造成基础伤害120%的物理伤害，并使其晕眩1秒	#00ff00|技能已达到最高等级	2	-1
41	十步一杀	1	物理	#debc6a|隔空传送，十步一杀，杀敌于飞灰之间。\n|#debc6a|造成|#00ff00|20%|#debc6a|物理伤害。	#debc6a|隔空传送，十步一杀，杀敌于飞灰之间。\n|#debc6a|造成|#00ff00|22%|#debc6a|物理伤害。	72	-1
42	十步一杀	1	物理	#debc6a|隔空传送，十步一杀，杀敌于飞灰之间。\n|#debc6a|造成|#00ff00|22%|#debc6a|物理伤害。	#debc6a|隔空传送，十步一杀，杀敌于飞灰之间。\n|#debc6a|造成|#00ff00|24%|#debc6a|物理伤害。	72	-1
43	十步一杀	1	物理	#debc6a|隔空传送，十步一杀，杀敌于飞灰之间。\n|#debc6a|造成|#00ff00|24%|#debc6a|物理伤害。	#debc6a|隔空传送，十步一杀，杀敌于飞灰之间。\n|#debc6a|造成|#00ff00|27%|#debc6a|物理伤害。	72	-1
