INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT
SkillId	GroupId	TrigType	Param	Target	TrigRate	CDTime	Buff	Special	Parameter	IsPvP
11001	11001	2	-1	1	50	10000	11001	-1	-1	-1
11002	11002	3	-1	1	50	10000	11002	-1	-1	-1
11040	11040	1	3501:3521:3541:3561:3621:41	2	10	-1	-1	5	10	1
11041	11040	1	3501:3521:3541:3561:3621:41	2	20	-1	-1	5	12	1
11042	11040	1	3501:3521:3541:3561:3621:41	2	30	-1	-1	5	14	1
11043	11040	1	3501:3521:3541:3561:3621:41	2	40	-1	-1	5	17	1
11044	11040	1	3501:3521:3541:3561:3621:41	2	50	-1	-1	5	20	1
11050	11050	1	3501:3521:3541:3561:3621:41	2	5	30000	11050	-1	-1	1
11051	11050	1	3501:3521:3541:3561:3621:41	2	10	30000	11051	-1	-1	1
11052	11050	1	3501:3521:3541:3561:3621:41	2	15	30000	11052	-1	-1	1
11053	11050	1	3501:3521:3541:3561:3621:41	2	30	30000	11053	-1	-1	1
11054	11050	1	3501:3521:3541:3561:3621:41	2	50	30000	11054	-1	-1	1
11060	11060	3	3501:3521:3541:3561:3621:41	1	10	30000	11060	-1	-1	1
11061	11060	3	3501:3521:3541:3561:3621:41	1	20	30000	11061	-1	-1	1
11062	11060	3	3501:3521:3541:3561:3621:41	1	30	30000	11062	-1	-1	1
11063	11060	3	3501:3521:3541:3561:3621:41	1	40	30000	11063	-1	-1	1
11064	11060	3	3501:3521:3541:3561:3621:41	1	50	30000	11064	-1	-1	1
12010	12010	2	-1	1	20	10000	13001	-1	-1	-1
12011	12010	2	-1	1	20	10000	13002	-1	-1	-1
12012	12010	2	-1	1	20	10000	13003	-1	-1	-1
12013	12010	2	-1	1	20	10000	13004	-1	-1	-1
12014	12010	2	-1	1	20	10000	13005	-1	-1	-1
12015	12010	2	-1	1	20	10000	13006	-1	-1	-1
12016	12010	2	-1	1	20	10000	13007	-1	-1	-1
12017	12010	2	-1	1	20	10000	13008	-1	-1	-1
12018	12010	2	-1	1	25	10000	13009	-1	-1	-1
12019	12010	2	-1	1	30	10000	13010	-1	-1	-1
