INT	INT	INT
Index	Grade	EquipFighting
1	1	25
1	2	87
1	3	181
1	4	303
1	5	453
1	6	629
1	7	830
1	8	1056
1	9	1305
1	10	1577
1	11	1873
1	12	2190
1	13	2530
1	14	2890
1	15	3273
1	16	3676
1	17	4100
1	18	4544
1	19	5008
1	20	5493
2	1	13
2	2	25
2	3	38
2	4	50
2	5	63
2	6	75
2	7	88
2	8	100
2	9	113
2	10	125
2	11	138
2	12	150
2	13	163
2	14	175
2	15	188
2	16	200
2	17	213
2	18	225
2	19	238
2	20	250
3	1	13
3	2	25
3	3	38
3	4	50
3	5	63
3	6	75
3	7	88
3	8	100
3	9	113
3	10	125
3	11	138
3	12	150
3	13	163
3	14	175
3	15	188
3	16	200
3	17	213
3	18	225
3	19	238
3	20	250
4	1	25
4	2	87
4	3	181
4	4	303
4	5	453
4	6	629
4	7	830
4	8	1056
4	9	1305
4	10	1577
4	11	1873
4	12	2190
4	13	2530
4	14	2890
4	15	3273
4	16	3676
4	17	4100
4	18	4544
4	19	5008
4	20	5493
5	1	25
5	2	87
5	3	181
5	4	303
5	5	453
5	6	629
5	7	830
5	8	1056
5	9	1305
5	10	1577
5	11	1873
5	12	2190
5	13	2530
5	14	2890
5	15	3273
5	16	3676
5	17	4100
5	18	4544
5	19	5008
5	20	5493
6	1	25
6	2	87
6	3	181
6	4	303
6	5	453
6	6	629
6	7	830
6	8	1056
6	9	1305
6	10	1577
6	11	1873
6	12	2190
6	13	2530
6	14	2890
6	15	3273
6	16	3676
6	17	4100
6	18	4544
6	19	5008
6	20	5493
