INT	INT	STRING	STRING	INT	STRING	STRING
ClassId	StarLevel	CostItem	UpValue	SuitId	ClassName	StarLevelName
28	0	-1	-1	0	Ë«Óã¹¬	0¶Î0ÐÇ
28	1	733:1:15	1:760|6:6|7:16|33:46	0	Ë«Óã¹¬	0¶Î1ÐÇ
28	2	733:1:16	1:1558|6:13|7:33|33:94	0	Ë«Óã¹¬	0¶Î2ÐÇ
28	3	733:1:17	1:2394|6:20|7:51|33:144	0	Ë«Óã¹¬	0¶Î3ÐÇ
28	4	733:1:18	1:3268|6:27|7:70|33:196	0	Ë«Óã¹¬	0¶Î4ÐÇ
28	5	733:1:20	1:4180|6:35|7:90|33:251	0	Ë«Óã¹¬	0¶Î5ÐÇ
28	6	733:1:21	1:5130|6:43|7:110|33:308	0	Ë«Óã¹¬	0¶Î6ÐÇ
28	7	733:1:22	1:6118|6:51|7:131|33:367	0	Ë«Óã¹¬	0¶Î7ÐÇ
28	8	733:1:24	1:7144|6:60|7:153|33:429	0	Ë«Óã¹¬	0¶Î8ÐÇ
28	9	733:1:25	1:8208|6:69|7:176|33:493	0	Ë«Óã¹¬	0¶Î9ÐÇ
28	10	733:1:27	1:9310|6:78|7:200|33:559	0	Ë«Óã¹¬	0¶Î10ÐÇ
28	11	733:1:29	1:10450|6:88|7:224|33:627	0	Ë«Óã¹¬	1¶Î1ÐÇ
28	12	733:1:30	1:11628|6:98|7:249|33:698	0	Ë«Óã¹¬	1¶Î2ÐÇ
28	13	733:1:32	1:12844|6:108|7:275|33:771	0	Ë«Óã¹¬	1¶Î3ÐÇ
28	14	733:1:34	1:14098|6:119|7:302|33:846	0	Ë«Óã¹¬	1¶Î4ÐÇ
28	15	733:1:36	1:15390|6:130|7:330|33:924	0	Ë«Óã¹¬	1¶Î5ÐÇ
28	16	733:1:38	1:16720|6:141|7:359|33:1004	0	Ë«Óã¹¬	1¶Î6ÐÇ
28	17	733:1:41	1:18088|6:153|7:388|33:1086	0	Ë«Óã¹¬	1¶Î7ÐÇ
28	18	733:1:43	1:19494|6:165|7:418|33:1170	0	Ë«Óã¹¬	1¶Î8ÐÇ
28	19	733:1:45	1:20938|6:177|7:449|33:1257	0	Ë«Óã¹¬	1¶Î9ÐÇ
28	20	733:1:48	1:22420|6:190|7:481|33:1346	0	Ë«Óã¹¬	1¶Î10ÐÇ
28	21	733:1:50	1:23940|6:203|7:514|33:1437	0	Ë«Óã¹¬	2¶Î1ÐÇ
28	22	733:1:53	1:25498|6:216|7:547|33:1530	0	Ë«Óã¹¬	2¶Î2ÐÇ
