INT	STRING	STRING	INT	INT	INT	INT	INT	STRING	INT
Level	CostItem	AttrStr	AbsorbCount	SunTelentId	SunSkillLevel	MoonTelentId	MoonSkillLevel	SkillDesc	Notice
1	952:1:2	1:10|4:24|5:60|6:12|7:30	20	6001	1	6101	1	#FFA500|日圆诀lv1:对当前目标boss造成|#00ff00|（当前倍攻*1）倍|#FFA500|的倍攻伤害|n|#BFEFFF|月缺诀lv1:对当前目标boss造成|#00ff00|（当前倍攻+1）倍|#BFEFFF|的倍攻伤害,并且吸取该boss的日月精华	-1
2	952:1:4	1:1890|4:50|5:126|6:25|7:63	20	6001	2	6101	2	#FFA500|日圆诀lv2:对当前目标boss造成|#00ff00|（当前倍攻*2）倍|#FFA500|的倍攻伤害|n|#BFEFFF|月缺诀lv2:对当前目标boss造成|#00ff00|（当前倍攻+2）倍|#BFEFFF|的倍攻伤害,并且吸取该boss的日月精华	-1
3	952:1:6	1:2970|4:79|5:198|6:40|7:99	20	6001	3	6101	3	#FFA500|日圆诀lv3:对当前目标boss造成|#00ff00|（当前倍攻*3）倍|#FFA500|的倍攻伤害|n|#BFEFFF|月缺诀lv3:对当前目标boss造成|#00ff00|（当前倍攻+3）倍|#BFEFFF|的倍攻伤害,并且吸取该boss的日月精华	-1
4	952:1:8	1:4140|4:110|5:276|6:55|7:138	20	6001	4	6101	4	#FFA500|日圆诀lv4:对当前目标boss造成|#00ff00|（当前倍攻*4）倍|#FFA500|的倍攻伤害|n|#BFEFFF|月缺诀lv4:对当前目标boss造成|#00ff00|（当前倍攻+4）倍|#BFEFFF|的倍攻伤害,并且吸取该boss的日月精华	-1
5	952:1:10	1:5400|4:144|5:360|6:72|7:180	20	6001	5	6101	5	#FFA500|日圆诀lv5:对当前目标boss造成|#00ff00|（当前倍攻*5）倍|#FFA500|的倍攻伤害|n|#BFEFFF|月缺诀lv5:对当前目标boss造成|#00ff00|（当前倍攻+5）倍|#BFEFFF|的倍攻伤害,并且吸取该boss的日月精华	-1
6	952:1:12	1:6750|4:180|5:450|6:90|7:225	20	6001	6	6101	6	#FFA500|日圆诀lv6:对当前目标boss造成|#00ff00|（当前倍攻*6）倍|#FFA500|的倍攻伤害|n|#BFEFFF|月缺诀lv6:对当前目标boss造成|#00ff00|（当前倍攻+6）倍|#BFEFFF|的倍攻伤害,并且吸取该boss的日月精华	-1
7	952:1:14	1:8190|4:218|5:546|6:109|7:273	20	6001	7	6101	7	#FFA500|日圆诀lv7:对当前目标boss造成|#00ff00|（当前倍攻*7）倍|#FFA500|的倍攻伤害|n|#BFEFFF|月缺诀lv7:对当前目标boss造成|#00ff00|（当前倍攻+7）倍|#BFEFFF|的倍攻伤害,并且吸取该boss的日月精华	-1
8	952:1:16	1:9720|4:259|5:648|6:130|7:324	20	6001	8	6101	8	#FFA500|日圆诀lv8:对当前目标boss造成|#00ff00|（当前倍攻*8）倍|#FFA500|的倍攻伤害|n|#BFEFFF|月缺诀lv8:对当前目标boss造成|#00ff00|（当前倍攻+8）倍|#BFEFFF|的倍攻伤害,并且吸取该boss的日月精华	-1
9	952:1:18	1:11340|4:302|5:756|6:151|7:378	20	6001	9	6101	9	#FFA500|日圆诀lv9:对当前目标boss造成|#00ff00|（当前倍攻*9）倍|#FFA500|的倍攻伤害|n|#BFEFFF|月缺诀lv9:对当前目标boss造成|#00ff00|（当前倍攻+9）倍|#BFEFFF|的倍攻伤害,并且吸取该boss的日月精华	-1
