STRING	INT	STRING	INT	INT	INT	INT
PingTai	MoShi	QQ	Pic	Icon	MaxMoShi	TotalMoShi
swjoy	200000	800171769	1	1016	0	0
sogou	300000	2302579201	2	1009	0	0
17kxgame	200000	2850136456	3	1011	0	0
feihuo	200000	2852375512	4	1013	0	0
yilewan	80000	2097165641	5	1020	0	0
niuxyx	80000	800051551	6	1021	0	0
ku25	200000	8383846	7	1023	0	0
2217	200000	2851697169	8	1029	0	0
pps	100000	2379373178	9	1031	0	0
te6	100000	800019786	10	1047	0	0
7youxi	200000	3005128008	11	1057	0	0
9377	200000	2852357346	12	1058	0	0
yaodou	200000	550009992	14	1074	0	0
ledu	50000	800172671	16	1080	0	0
taojike	150000	800198124	28	1081	0	0
liebao_993h	200000	800057210	19	1092	0	0
wan_993h	200000	4000002345	20	1093	0	0
5599	300000	2851252027	21	1094	0	0
tanwan	200000	4009679599	23	1113	0	0
youxi567	100000	2880604660	24	1115	0	0
hly	200000	3004519628	25	1119	0	0
9211	200000	800045211	26	1133	0	0
51	50000	800002075	32	1187	0	0
1912yx	200000	2058740026	30	1188	0	0
swjoy	200000	800171769	31	1189	0	0
douyu_993h	200000	3240372089 	33	1192	0	0
