INT	STRING	INT	STRING	INT
Index	Pf	Level	Reward	Pic
0	union-10153	70	567:1:1:1|13:1:1:1|153:1:1:1|9:1:1:1|575:1:2:1	1
1	union-10153	90	13:1:1:1|575:1:4:1|9:1:2:1	2
2	union-10153	110	13:1:2:1|567:1:1:1|507:1:7:1	3
3	union-10153	121	13:1:3:1|567:1:2:1|153:1:2:1|16:1:1:1	4
4	union-10153	241	13:1:3:1|568:1:1:1|153:1:2:1|16:1:1:1	5
0	qqgame-0	70	13:1:5:1|568:1:1:1|153:1:3:1|505:1:3:1	1
1	qqgame-0	90	13:1:10:1|568:1:1:1|505:1:5:1|647:1:20:1|16:1:2:1	2
2	qqgame-0	110	13:1:10:1|570:1:1:1|505:1:10:1|647:1:30:1|16:1:3:1	3
3	qqgame-0	121	13:1:1:1|9:1:1:1|575:1:3:1	4
4	qqgame-0	241	13:1:2:1|9:1:2:1|575:1:5:1|16:1:1:1	5
