INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
Level	Rate1	Rate2	Rate3	Rate4	Rate5	Rate6	Rate7	Rate8	Rate9	Rate10	Degree
60	0	0	0	0	0	0	1500	2000	2500	4000	2
65	0	0	0	0	0	1000	1200	1500	2300	4000	3
67	0	0	0	0	400	800	1200	1600	2000	4000	4
70	0	0	0	400	700	1000	1300	1650	1950	3000	5
72	0	0	200	400	700	1000	1300	1600	1900	2900	6
75	0	0	200	400	700	1000	1300	1600	1900	2900	7
80	0	0	200	400	700	1000	1300	1700	2000	2700	8
85	0	0	200	400	700	1000	1300	1700	2200	2500	9
90	0	0	200	500	800	1100	1400	1700	2000	2300	10
95	0	0	200	400	700	1200	1500	1800	2100	2100	10
100	0	0	200	400	700	1200	1500	1800	2100	2100	10
105	0	0	200	400	700	1200	1500	1800	2100	2100	10
110	0	0	200	400	700	1200	1500	1800	2100	2100	10
115	0	0	200	400	700	1200	1500	1800	2100	2100	10
120	0	0	200	400	700	1200	1500	1800	2100	2100	10
125	0	0	200	400	700	1200	1500	1800	2100	2100	10
130	0	0	200	400	700	1200	1500	1800	2100	2100	10
9999	0	0	200	400	700	1200	1500	1800	2100	2100	10
