INT	STRING	INT	INT	INT	INT	STRING	INT
TaskId	NeedEquip	MinLevel	MaxLevel	Star	RewardBi	RewardItem	NeedGold
26002	10102|10103|10104	1	299	1	10	510:1:1:1	2000
26003	10105|10107|10108	1	299	2	15	510:1:1:1	2000
26004	10109|10110|10102	1	299	3	20	510:1:1:1	2000
26005	10112|10113|10114	1	299	4	25	510:1:1:1	2000
26006	10115|10117|10118	1	299	4	30	510:1:1:1	2000
26007	10119|10120|10112	1	299	5	35	510:1:1:1	2000
26008	10122|10123|10124	1	299	5	40	510:1:1:1	2000
26009	10125|10127|10128	1	299	6	45	510:1:1:1	2000
26010	10129|10130|10122	1	299	6	50	510:1:1:1	2000
26011	10132|10133|10134	1	299	7	55	510:1:1:1	2000
26012	10135|10137|10138	1	299	7	60	510:1:1:1	2000
26013	10139|10140|10132	1	299	8	65	510:1:1:1	2000
26014	10142|10143|10144	1	299	8	70	510:1:1:1	2000
26015	10145|10147|10148	1	299	9	75	510:1:1:1	2000
26016	10149|10150|10142	1	299	9	80	510:1:1:1	2000
26017	10152|10153|10154	1	299	10	200	510:1:3:1|7006:1:1:1	2000
26018	10155|10157|10158	1	299	10	200	510:1:3:1|7006:1:1:1	2000
26019	10159|10160|10152	1	299	10	200	510:1:3:1|7006:1:1:1	2000
26020	10162|10163|10164	1	299	10	200	510:1:3:1|7006:1:1:1	2000
26021	10165|10167|10168	1	299	10	200	510:1:3:1|7006:1:1:1	2000
26022	10169|10170|10162	1	299	10	200	510:1:3:1|7006:1:1:1	2000
26023	10172|10173|10174	1	299	10	200	510:1:3:1|7006:1:1:1	2000
26024	10175|10177|10178	1	299	10	200	510:1:3:1|7006:1:1:1	2000
26025	10179|10180|10172	1	299	10	200	510:1:3:1|7006:1:1:1	2000
26026	10182|10183|10184	1	299	10	200	510:1:3:1|7006:1:1:1	2000
26027	10185|10187|10188	1	299	10	200	510:1:3:1|7006:1:1:1	2000
26028	10189|10190|10182	1	299	10	200	510:1:3:1|7006:1:1:1	2000
26029	10192|10193|10194	1	299	10	200	510:1:3:1|7006:1:1:1	2000
26030	10195|10197|10198	1	299	10	200	510:1:3:1|7006:1:1:1	2000
26031	10199|10200|10192	1	299	10	200	510:1:3:1|7006:1:1:1	2000
26032	10152|10153|10154	300	399	1	20	510:1:1:1	5000
26033	10155|10157|10158	300	399	2	30	510:1:1:1	5000
26034	10159|10160|10152	300	399	3	40	510:1:1:1	5000
26035	10162|10163|10164	300	399	4	50	510:1:1:1	5000
26036	10165|10167|10168	300	399	4	60	510:1:1:1	5000
26037	10169|10170|10162	300	399	5	70	510:1:1:1	5000
26038	10172|10173|10174	300	399	5	80	510:1:1:1	5000
26039	10175|10177|10178	300	399	6	90	510:1:1:1	5000
26040	10179|10180|10172	300	399	6	100	510:1:1:1	5000
26041	10182|10183|10184	300	399	7	110	510:1:1:1	5000
26042	10185|10187|10188	300	399	7	120	510:1:1:1	5000
26043	10189|10190|10182	300	399	8	130	510:1:1:1	5000
26044	10192|10193|10194	300	399	8	140	510:1:1:1	5000
26045	10195|10197|10198	300	399	9	150	510:1:1:1	5000
26046	10199|10200|10192	300	399	9	160	510:1:1:1	5000
26047	10202|10203|10204	300	399	10	500	510:1:3:1|7007:1:1:1	5000
26048	10205|10207|10208	300	399	10	500	510:1:3:1|7007:1:1:1	5000
26049	10209|10210|10202	300	399	10	500	510:1:3:1|7007:1:1:1	5000
26050	10212|10213|10214	300	399	10	500	510:1:3:1|7007:1:1:1	5000
26051	10215|10217|10218	300	399	10	500	510:1:3:1|7007:1:1:1	5000
26052	10219|10220|10212	300	399	10	500	510:1:3:1|7007:1:1:1	5000
26053	10222|10223|10224	300	399	10	500	510:1:3:1|7007:1:1:1	5000
26054	10225|10227|10228	300	399	10	500	510:1:3:1|7007:1:1:1	5000
26055	10229|10230|10222	300	399	10	500	510:1:3:1|7007:1:1:1	5000
26056	10232|10233|10234	300	399	10	500	510:1:3:1|7007:1:1:1	5000
26057	10235|10237|10238	300	399	10	500	510:1:3:1|7007:1:1:1	5000
26058	10239|10240|10232	300	399	10	500	510:1:3:1|7007:1:1:1	5000
26059	10242|10243|10244	300	399	10	500	510:1:3:1|7007:1:1:1	5000
26060	10245|10247|10248	300	399	10	500	510:1:3:1|7007:1:1:1	5000
26061	10249|10250|10242	300	399	10	500	510:1:3:1|7007:1:1:1	5000
26062	10202|10203|10204	400	499	1	40	510:1:1:1	10000
26063	10205|10207|10208	400	499	2	60	510:1:1:1	10000
26064	10209|10210|10202	400	499	3	80	510:1:1:1	10000
26065	10212|10213|10214	400	499	4	100	510:1:1:1	10000
26066	10215|10217|10218	400	499	4	120	510:1:1:1	10000
26067	10219|10220|10212	400	499	5	140	510:1:1:1	10000
26068	10222|10223|10224	400	499	5	160	510:1:1:1	10000
26069	10225|10227|10228	400	499	6	180	510:1:1:1	10000
26070	10229|10230|10222	400	499	6	200	510:1:1:1	10000
26071	10232|10233|10234	400	499	7	220	510:1:1:1	10000
26072	10235|10237|10238	400	499	7	240	510:1:1:1	10000
26073	10239|10240|10232	400	499	8	260	510:1:1:1	10000
26074	10242|10243|10244	400	499	8	280	510:1:1:1	10000
26075	10245|10247|10248	400	499	9	300	510:1:1:1	10000
26076	10249|10250|10242	400	499	9	320	510:1:1:1	10000
26077	10252|10253|10254	400	499	10	1000	510:1:3:1|7008:1:1:1	10000
26078	10255|10257|10258	400	499	10	1000	510:1:3:1|7008:1:1:1	10000
