INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
TaskId	ReceiveDesc	ReceiveReward1	ReceiveReward2	ReceiveReward3	SubmitDesc	SubmitReward1	SubmitReward2	SubmitReward3
77	#f5e8bf|您遇到了主线奖励任务：|#00afec|[达到等级 65级]|n|#f5e8bf|完成可获得|#00afec|[65级任务奖励礼包]|#f5e8bf|，礼包奖励如下：	7041:1:1:1|7007:1:1:1|7341:1:1:1|7114:1:1:1	7041:1:1:1|7007:1:1:1|7341:1:1:1|7114:1:1:1	7041:1:1:1|7007:1:1:1|7341:1:1:1|7114:1:1:1	#f5e8bf|您成功完成了主线奖励任务：|#00afec|[达到等级 65级]|n|#f5e8bf|获得了|#00afec|[65级任务奖励礼包]|#f5e8bf|，礼包奖励如下：	7041:1:1:1|7007:1:1:1|7341:1:1:1|7114:1:1:1	7041:1:1:1|7007:1:1:1|7341:1:1:1|7114:1:1:1	7041:1:1:1|7007:1:1:1|7341:1:1:1|7114:1:1:1
81	#f5e8bf|您遇到了主线奖励任务：|#00afec|[达到等级 70级]|n|#f5e8bf|完成可获得|#00afec|[70级任务奖励礼包]|#f5e8bf|，礼包奖励如下：	7041:1:1:1|7007:1:1:1|228:1:1:1|7114:1:1:1	7041:1:1:1|7007:1:1:1|228:1:1:1|7114:1:1:1	7041:1:1:1|7007:1:1:1|228:1:1:1|7114:1:1:1	#f5e8bf|您成功完成了主线奖励任务：|#00afec|[达到等级 70级]|n|#f5e8bf|获得了|#00afec|[70级任务奖励礼包]|#f5e8bf|，礼包奖励如下：	7041:1:1:1|7007:1:1:1|228:1:1:1|7114:1:1:1	7041:1:1:1|7007:1:1:1|228:1:1:1|7114:1:1:1	7041:1:1:1|7007:1:1:1|228:1:1:1|7114:1:1:1
87	#f5e8bf|您遇到了主线奖励任务：|#00afec|[达到等级 74级]|n|#f5e8bf|完成可获得|#00afec|[74级任务奖励礼包]|#f5e8bf|，礼包奖励如下：	7041:1:1:1|7007:1:1:1|228:1:1:1|7114:1:1:1	7041:1:1:1|7007:1:1:1|228:1:1:1|7114:1:1:1	7041:1:1:1|7007:1:1:1|228:1:1:1|7114:1:1:1	#f5e8bf|您成功完成了主线奖励任务：|#00afec|[达到等级 74级]|n|#f5e8bf|获得了|#00afec|[74级任务奖励礼包]|#f5e8bf|，礼包奖励如下：	7041:1:1:1|7007:1:1:1|228:1:1:1|7114:1:1:1	7041:1:1:1|7007:1:1:1|228:1:1:1|7114:1:1:1	7041:1:1:1|7007:1:1:1|228:1:1:1|7114:1:1:1
95	#f5e8bf|您遇到了主线奖励任务：|#00afec|[达到等级 76级]|n|#f5e8bf|完成可获得|#00afec|[76级任务奖励礼包]|#f5e8bf|，礼包奖励如下：	7041:1:1:1|7007:1:1:1|228:1:1:1|7114:1:1:1	7041:1:1:1|7007:1:1:1|228:1:1:1|7114:1:1:1	7041:1:1:1|7007:1:1:1|228:1:1:1|7114:1:1:1	#f5e8bf|您成功完成了主线奖励任务：|#00afec|[达到等级 76级]|n|#f5e8bf|获得了|#00afec|[76级任务奖励礼包]|#f5e8bf|，礼包奖励如下：	7041:1:1:1|7007:1:1:1|228:1:1:1|7114:1:1:1	7041:1:1:1|7007:1:1:1|228:1:1:1|7114:1:1:1	7041:1:1:1|7007:1:1:1|228:1:1:1|7114:1:1:1
99	#f5e8bf|您遇到了主线奖励任务：|#00afec|[达到等级 78级]|n|#f5e8bf|完成可获得|#00afec|[78级任务奖励礼包]|#f5e8bf|，礼包奖励如下：	7041:1:1:1|7007:1:1:1|228:1:1:1|7114:1:1:1	7041:1:1:1|7007:1:1:1|228:1:1:1|7114:1:1:1	7041:1:1:1|7007:1:1:1|228:1:1:1|7114:1:1:1	#f5e8bf|您成功完成了主线奖励任务：|#00afec|[达到等级 78级]|n|#f5e8bf|获得了|#00afec|[78级任务奖励礼包]|#f5e8bf|，礼包奖励如下：	7041:1:1:1|7007:1:1:1|228:1:1:1|7114:1:1:1	7041:1:1:1|7007:1:1:1|228:1:1:1|7114:1:1:1	7041:1:1:1|7007:1:1:1|228:1:1:1|7114:1:1:1
1010	#f5e8bf|您遇到了主线奖励任务：|#00afec|[达到等级 81级]|n|#f5e8bf|完成可获得|#00afec|[81级任务奖励礼包]|#f5e8bf|，礼包奖励如下：	7007:1:1:1|7041:1:1:1|228:1:1:1|7114:1:1:1	7007:1:1:1|7041:1:1:1|228:1:1:1|7114:1:1:1	7007:1:1:1|7041:1:1:1|228:1:1:1|7114:1:1:1	#f5e8bf|您成功完成了主线奖励任务：|#00afec|[达到等级 81级]|n|#f5e8bf|获得了|#00afec|[81级任务奖励礼包]|#f5e8bf|，礼包奖励如下：	7007:1:1:1|7041:1:1:1|228:1:1:1|7114:1:1:1	7007:1:1:1|7041:1:1:1|228:1:1:1|7114:1:1:1	7007:1:1:1|7041:1:1:1|228:1:1:1|7114:1:1:1
1016	#f5e8bf|您遇到了主线奖励任务：|#00afec|[达到等级 84级]|n|#f5e8bf|完成可获得|#00afec|[84级任务奖励礼包]|#f5e8bf|，礼包奖励如下：	7041:1:1:1|7007:1:1:1|228:1:1:1|7114:1:1:1	7041:1:1:1|7007:1:1:1|228:1:1:1|7114:1:1:1	7041:1:1:1|7007:1:1:1|228:1:1:1|7114:1:1:1	#f5e8bf|您成功完成了主线奖励任务：|#00afec|[达到等级 84级]|n|#f5e8bf|获得了|#00afec|[84级任务奖励礼包]|#f5e8bf|，礼包奖励如下：	7041:1:1:1|7007:1:1:1|228:1:1:1|7114:1:1:1	7041:1:1:1|7007:1:1:1|228:1:1:1|7114:1:1:1	7041:1:1:1|7007:1:1:1|228:1:1:1|7114:1:1:1
1022	#f5e8bf|您遇到了主线奖励任务：|#00afec|[达到等级 87级]|n|#f5e8bf|完成可获得|#00afec|[87级任务奖励礼包]|#f5e8bf|，礼包奖励如下：	7041:1:1:1|7007:1:1:1|228:1:1:1|7114:1:2:1	7041:1:1:1|7007:1:1:1|228:1:1:1|7114:1:2:1	7041:1:1:1|7007:1:1:1|228:1:1:1|7114:1:2:1	#f5e8bf|您成功完成了主线奖励任务：|#00afec|[达到等级 87级]|n|#f5e8bf|获得了|#00afec|[87级任务奖励礼包]|#f5e8bf|，礼包奖励如下：	7041:1:1:1|7007:1:1:1|228:1:1:1|7114:1:2:1	7041:1:1:1|7007:1:1:1|228:1:1:1|7114:1:2:1	7041:1:1:1|7007:1:1:1|228:1:1:1|7114:1:2:1
106	#f5e8bf|您遇到了主线奖励任务：|#00afec|[达到等级 90级]|n|#f5e8bf|完成可获得|#00afec|[90级任务奖励礼包]|#f5e8bf|，礼包奖励如下：	7041:1:1:1|7007:1:1:1|7068:1:1:1|7114:1:2:1	7041:1:1:1|7007:1:1:1|7168:1:1:1|7114:1:2:1	7041:1:1:1|7007:1:1:1|7222:1:1:1|7114:1:2:1	#f5e8bf|您成功完成了主线奖励任务：|#00afec|[达到等级 90级]|n|#f5e8bf|获得了|#00afec|[90级任务奖励礼包]|#f5e8bf|，礼包奖励如下：	7041:1:1:1|7007:1:1:1|7068:1:1:1|7114:1:2:1	7041:1:1:1|7007:1:1:1|7168:1:1:1|7114:1:2:1	7041:1:1:1|7007:1:1:1|7222:1:1:1|7114:1:2:1
