INT	INT	INT	STRING	INT	INT	INT	STRING
ID	Type	Parm	Items	Notice	Start	End	Pic
1	1	1	10000:1:2:1|13:1:60:1	453	1	15	1
2	1	2	10000:1:2:1|13:1:60:1	453	1	15	2
3	1	3	10000:1:2:1|13:1:60:1	453	1	15	3
4	1	4	10000:1:3:1|13:1:80:1	453	1	15	4
5	1	5	10000:1:3:1|13:1:80:1	453	1	15	5
6	1	6	10000:1:3:1|13:1:80:1	453	1	15	6
7	1	7	10000:1:4:1|13:1:100:1	453	1	15	7
8	1	8	10000:1:4:1|13:1:100:1	453	1	15	8
9	1	9	10000:1:4:1|13:1:100:1	453	1	15	9
10	1	10	10000:1:4:1|13:1:100:1	453	1	15	10
11	1	11	10000:1:5:1|13:1:200:1	453	1	15	11
12	1	12	10000:1:5:1|13:1:200:1	453	1	15	12
13	1	13	10000:1:5:1|13:1:200:1	453	1	15	13
14	1	14	10000:1:5:1|13:1:200:1	453	1	15	14
15	1	15	10000:1:5:1|13:1:200:1	453	1	15	15
16	2	200	10000:1:1:1|158:1:10:1	453	1	15	100
17	2	250	10000:1:2:1|158:1:20:1	453	1	15	100
18	2	300	10000:1:3:1|158:1:30:1	453	1	15	100
19	2	350	10000:1:5:1|158:1:40:1	453	1	15	100
20	2	400	10000:1:8:1|158:1:50:1	453	1	15	100
21	2	450	10000:1:10:1|158:1:60:1	453	1	15	100
