INT	INT	STRING	STRING	INT	STRING	STRING	INT	STRING	INT
Level	Gold	Res	Attr	NoticeID	Name	levelID	ModID	NameID	Coin
1	30000	-1	47:42000|4:40|5:100|6:40|7:100|46:30	-1	1阶1星:圣妖天灵·太初	1	101	1_1	0
2	30000	-1	47:43000|4:44|5:110|6:44|7:110|46:30	-1	1阶2星:圣妖天灵·太初	1	101	1_1	0
3	30000	-1	47:44000|4:48|5:120|6:48|7:120|46:30	-1	1阶3星:圣妖天灵·太初	1	101	1_1	0
4	30000	-1	47:45000|4:52|5:130|6:52|7:130|46:30	-1	1阶4星:圣妖天灵·太初	1	101	1_1	0
5	30000	-1	47:46000|4:56|5:140|6:56|7:140|46:30	-1	1阶5星:圣妖天灵·太初	1	101	1_1	0
6	30000	-1	47:47000|4:60|5:150|6:60|7:150|46:30	-1	1阶6星:圣妖天灵·太初	1	101	1_1	0
7	30000	-1	47:48000|4:64|5:160|6:64|7:160|46:30	-1	1阶7星:圣妖天灵·太初	1	101	1_1	0
8	30000	-1	47:49000|4:68|5:170|6:68|7:170|46:30	-1	1阶8星:圣妖天灵·太初	1	101	1_1	0
9	30000	-1	47:50000|4:72|5:180|6:72|7:180|46:30	-1	1阶9星:圣妖天灵·太初	1	101	1_1	0
10	30000	-1	47:51000|4:76|5:190|6:76|7:190|46:30	-1	1阶10星:圣妖天灵·太初	1	101	1_1	0
11	50000	-1	47:52000|4:80|5:200|6:80|7:200|46:60	408	2阶1星:圣妖天灵·乾元	2	102	2_1	0
12	50000	-1	47:54000|4:84|5:210|6:84|7:210|46:60	-1	2阶2星:圣妖天灵·乾元	2	102	2_1	0
13	50000	-1	47:56000|4:88|5:220|6:88|7:220|46:60	-1	2阶3星:圣妖天灵·乾元	2	102	2_1	0
14	50000	-1	47:58000|4:92|5:230|6:92|7:230|46:60	-1	2阶4星:圣妖天灵·乾元	2	102	2_1	0
15	50000	-1	47:60000|4:96|5:240|6:96|7:240|46:60	-1	2阶5星:圣妖天灵·乾元	2	102	2_1	0
16	50000	-1	47:62000|4:100|5:250|6:100|7:250|46:60	-1	2阶6星:圣妖天灵·乾元	2	102	2_1	0
