INT	STRING	INT	STRING	STRING	INT	INT	INT	INT	STRING	STRING	STRING	STRING	INT	STRING	INT	INT	INT	STRING	INT
Id	Name	Type	Param	Platform	Job	Sex	Special	Priority	GetAttr	DressAttr	Description	TitleIcon	Zoom	Color	EffectHeight	TipsHeight	TipsWidth	ClickFunc	GetShow
1	圣域霸主	1	3	-1	0	0	1	1	1:8888|4:388|5:888|6:288|7:588	-1	圣域争霸获胜公会会长获得	shengyubazhu	70	#00ff00	25	120	320	-1	0
2	天下第一	2	1	-1	0	0	1	2	1:6666|4:288|5:588|6:188|7:388	-1	每天的天下第一活动最终获胜者自动获得，全服唯一，时限1天。	tianXiaDiYi	70	#00ff00	25	120	350	-1	0
3	第一战士	3	1	-1	0	0	1	3	1:6666|4:288|5:588|6:188|7:388	-1	战士战斗力排行第一名可自动获得，会跟随排行榜更新而更新。	diYiZhanShi	70	#00ff00	25	120	320	-1	0
14	5连斩	0	1	-1	0	0	0	20	-1	-1	-1	wuLianZhan	50	#00ff00	60	100	310	-1	0
15	10连斩	0	1	-1	0	0	0	20	-1	-1	-1	shiLianZhan	50	#00ff00	60	100	310	-1	0
16	15连斩	0	1	-1	0	0	0	20	-1	-1	-1	shiWuLianZhan	50	#00ff00	60	100	310	-1	0
17	20连斩	0	1	-1	0	0	0	20	-1	-1	-1	erShiLianZhan	50	#00ff00	60	100	310	-1	0
18	30连斩	0	1	-1	0	0	0	20	-1	-1	-1	sanShiLianZhan	50	#00ff00	60	100	310	-1	0
19	40连斩	0	1	-1	0	0	0	20	-1	-1	-1	siShiLianZhan	50	#00ff00	60	100	310	-1	0
20	50连斩	0	1	-1	0	0	0	20	-1	-1	-1	wuShiLianZhan	50	#00ff00	60	100	310	-1	0
21	60连斩	0	1	-1	0	0	0	20	-1	-1	-1	liuShiLianZhan	50	#00ff00	60	100	310	-1	0
22	80连斩	0	1	-1	0	0	0	20	-1	-1	-1	baShiLianZhan	50	#00ff00	60	100	310	-1	0
23	100连斩	0	1	-1	0	0	0	20	-1	-1	-1	shaRenKuangMo	50	#00ff00	60	100	310	-1	0
31	灭神	7	1701	-1	0	0	1	90	1:1888|4:88|5:188|6:66|7:88	-1	公测活动中获得	mieShen_title	70	#00ff00	30	100	310	-1	1
32	震慑群魔	7	1704	-1	0	0	1	30	1:8888|4:288|5:588|6:188|7:388|34:50|35:50	-1	每月福利转盘获取	zhenSheQunMo_title	70	#00ff00	30	100	310	-1	1
33	红尘不朽	7	1705	-1	0	0	1	43	1:2200|4:30|5:70|6:10|7:20	-1	YY会员等级1~3级可获得	hongchenbuxiu	70	#00ff00	20	120	320	-1	1
34	红鸾灭天	7	1706	-1	0	0	1	42	1:4200|4:60|5:150|6:20|7:40	-1	YY会员等级4~6级可获得	hongluanmietian	70	#00ff00	20	120	350	-1	1
35	红颜绝地	7	1707	-1	0	0	1	41	1:7000|4:100|5:240|6:40|7:70	-1	YY会员等级7~8级可获得	hongyanjuedi	70	#00ff00	20	120	320	-1	1
36	上搜狗刀刀倍攻	5	1	sogou	0	0	1	99	1:3500|4:50|5:120|6:20|7:40	-1	使用搜狗平台登录可获得	sougou2	70	#00ff00	20	120	320	-1	1
37	顺网会员称号	7	1709	-1	0	0	1	45	1:2200|4:30|5:70|6:10|7:20	-1	成为顺网会员2级即可获得	shunwang1	70	#00ff00	30	120	320	-1	1
38	顺网会员称号	7	1710	-1	0	0	1	44	1:3200|4:40|5:110|6:20|7:30	-1	成为顺网会员4级即可获得	shunwang2	70	#00ff00	30	120	320	-1	1
39	顺网会员称号	7	1711	-1	0	0	1	43	1:4200|4:60|5:150|6:20|7:40	-1	成为顺网会员6级即可获得	shunwang3	70	#00ff00	30	120	320	-1	1
40	顺网会员称号	7	1712	-1	0	0	1	42	1:5300|4:70|5:180|6:30|7:60	-1	成为顺网会员8级即可获得	shunwang4	70	#00ff00	30	120	320	-1	1
41	顺网会员称号	7	1713	-1	0	0	1	41	1:6300|4:90|5:220|6:30|7:70	-1	成为顺网会员10级即可获得	shunwang5	70	#00ff00	30	120	320	-1	1
42	让有趣酷遍天下	5	1	17kxgame	0	0	1	99	1:2600|4:40|5:90|6:10|7:30	-1	使用趣酷平台登录可获得	DDBGQG	70	#00ff00	30	120	320	-1	1
43	玩灭神上飞火	5	1	feihuo	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用飞火平台登录可获得	syz_feihuo	70	#00ff00	30	120	320	-1	1
44	玩灭神上迅雷	5	1	niuxyx	0	0	1	99	1:2600|4:40|5:90|6:10|7:30	-1	使用迅雷平台登录可获得	DDBGQG	70	#00ff00	30	120	320	-1	1
45	刀刀倍攻切割	5	1	duowanclouds	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用多玩平台登录可获得	DDBGQG	70	#00ff00	30	120	320	-1	1
46	玩圣妖上易乐玩	5	1	yilewan	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用易乐玩平台登录可获得	yilewan2	70	#00ff01	30	120	320	-1	1
47	顺网初始称号	5	1	swjoy	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用顺网平台登录可获得	DDBGQG	70	#00ff01	10	120	320	-1	1
48	牛X金钻	7	1714	-1	0	0	1	42	1:4200|4:60|5:150|6:20|7:40	-1	成为牛X金钻即可获得	xunlei2	70	#00ff00	30	120	320	-1	1
49	牛X金钻贵族	7	1715	-1	0	0	1	41	1:6300|4:90|5:220|6:30|7:70	-1	成为牛X金钻贵族即可获得	xunlei3	70	#00ff00	30	120	320	-1	1
50	玩灭神上快玩游戏	5	1	kuaiwan	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用快玩平台登录可获得	DDBGQG	70	#00ff00	30	120	320	-1	1
51	玩灭神上紫霞游戏	5	1	zixia	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用紫霞平台登录可获得	DDBGQG	70	#00ff00	30	120	320	-1	1
52	多玩专属	7	1716	-1	0	0	1	30	1:8800|4:120|5:310|6:50|7:90	-1	多玩平台活动获得	duowanzhuanshu	70	#00ff00	30	100	310	-1	1
53	360叫我来巡山	7	1717	-1	0	0	1	51	1:8800|4:120|5:310|6:50|7:90	-1	360卫士特权获得	360XunShan_title	70	#00ff00	40	120	350	-1	1
54	360大哥带你飞	7	1718	-1	0	0	1	50	1:17600|4:240|5:620|6:100|7:180	-1	360卫士特权获得	360DaGe_title	70	#00ff00	40	120	320	-1	1
55	灭神狂徒	7	1719	-1	0	0	1	80	1:3888|4:88|5:188|6:66|7:88	-1	运营活动获得	mieshenkuangtu_title	70	#00ff00	40	120	350	-1	1
56	至尊·灭神	7	1720	-1	0	0	1	40	1:8800|4:188|5:388|6:188|7:288	-1	运营活动获得	zhizunmieshen_title	70	#00ff00	40	120	320	-1	1
57	玩灭神上ku25游戏	5	1	ku25	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用ku25登录可获得	DDBGQG	70	#00ff00	30	120	320	-1	1
58	玩灭神上哥们网游戏	5	1	game2	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用哥们网登录可获得	DDBGQG	70	#00ff00	30	120	320	-1	1
59	玩灭神上360uu游戏	5	1	360uu	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用360uu登录可获得	DDBGQG	70	#00ff00	30	120	320	-1	1
60	玩灭神上8090游戏	5	1	8090	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用8090登录可获得	DDBGQG	70	#00ff00	30	120	320	-1	1
61	4399初始称号	5	1	iwan4399	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用4399登录可获得	DDBGQG	70	#00ff00	30	120	320	-1	1
62	玩灭神上29yx	5	1	29yx	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用29yx登录可获得	DDBGQG	70	#00ff00	30	120	320	-1	1
63	玩灭神上43u	5	1	43u	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用43u登录可获得	DDBGQG	70	#00ff00	30	120	320	-1	1
64	玩灭神上188wan	5	1	188wan	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用188wan登录可获得	188wanbg	70	#00ff00	30	120	320	-1	1
65	玩灭神上2217	5	1	2217	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用2217登录可获得	DDBGQG	70	#00ff00	30	120	320	-1	1
66	玩灭神上1912yx	5	1	1912yx	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用1912yx登录可获得	DDBGQG	70	#00ff00	30	120	320	-1	1
67	玩灭神上99yx	5	1	99yx	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用99yx登录可获得	DDBGQG	70	#00ff00	30	120	320	-1	1
68	玩灭神上1771wan	5	1	1771wan	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用1771wan登录可获得	DDBGQG	70	#00ff00	30	120	320	-1	1
69	玩灭神上gamersky	5	1	gamersky	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用gamersky登录可获得	DDBGQG	70	#00ff00	30	120	320	-1	1
70	玩灭神上0707pk	5	1	0707pk	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用0707pk登录可获得	DDBGQG	70	#00ff00	30	120	320	-1	1
71	天选之人	7	1723	-1	0	0	1	41	1:2200|4:30|5:70|6:10|7:20	-1	使用天选之人称号卡即可获得	Txzhiren	70	#00ff00	30	120	320	-1	1
72	清凉一夏	7	1721	-1	0	0	1	41	1:10600|4:140|5:370|6:60|7:110	-1	使用清凉一夏称号卡即可获得	Qlyx	70	#00ff00	30	120	320	-1	1
73	灭神送爽	7	1722	-1	0	0	1	41	1:7000|4:100|5:240|6:40|7:70	-1	使用灭神送爽称号卡即可获得	MSSS	70	#00ff00	30	120	320	-1	1
74	360哪儿有大腿	7	1724	-1	0	0	1	51	1:8800|4:120|5:310|6:50|7:90	-1	360卫士特权获得	360NaEr_title	70	#00ff00	40	120	350	-1	1
75	360我就是大腿	7	1725	-1	0	0	1	50	1:17600|4:240|5:620|6:100|7:180	-1	360卫士特权获得	360WoShi_title	70	#00ff00	40	120	320	-1	1
76	玩灭神上7u6u游戏	5	1	7u6u	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用7u6u登录可获得	DDBGQG	70	#00ff00	30	120	320	-1	1
77	玩灭神上511wan游戏	5	1	511wan	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用511wan登录可获得	DDBGQG	70	#00ff00	30	120	320	-1	1
78	玩圣妖传上602	5	1	602	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用602登录可获得	syz_602	70	#00ff00	30	120	320	-1	1
79	玩灭神上2323wan游戏	5	1	2323wan	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用2323wan登录可获得	DDBGQG	70	#00ff00	30	120	320	-1	1
80	玩灭神上4366	5	1	4366	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用4366登录可获得	DDBGQG	70	#00ff00	30	120	320	-1	1
81	玩圣妖传上爱奇艺	5	1	apps	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用爱奇艺登录可获得	pps_2	70	#00ff00	30	120	320	-1	1
82	玩圣妖传上鲁大师	5	1	taojike	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用taojike登录可获得	taojike2	70	#00ff00	30	120	320	-1	1
83	玩灭神上te6	5	1	te6	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用te6登录可获得	DDBGQG	70	#00ff00	30	120	320	-1	1
84	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
85	灭神因你而精彩	7	1726	-1	0	0	1	50	1:8800|4:120|5:310|6:50|7:90	-1	360卫士CJ活动获得	360_2018CJ	70	#00ff00	40	120	320	-1	1
86	社会牛称号	7	1727	-1	0	0	1	99	1:1100|4:10|5:40|6:10|7:10	-1	使用te6累计登录可获得	shehuiniu	70	#00ff00	30	120	320	-1	1
87	牛魔王称号	7	1728	-1	0	0	1	99	1:4200|4:60|5:150|6:20|7:40	-1	使用te6累计登录可获得	niumowang	70	#00ff00	30	120	320	-1	1
88	超级土豪爸爸	7	1729	-1	0	0	1	99	1:12700|4:170|5:440|6:70|7:130	-1	使用te6活动可获得	tuhao	70	#00ff00	30	120	320	-1	1
89	玩灭神上37游戏	-1	-1	-1	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用37登录可获得	-1	70	#00ff00	30	120	320	-1	1
90	玩灭神上xy游戏	5	1	xy	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用xy登录可获得	DDBGQG	70	#00ff00	30	120	320	-1	1
91	超级大玩家V1	7	1730	-1	0	0	1	38	1:6300|4:90|5:220|6:30|7:70	-1	使用大玩家V1称号卡可获得	dawanjiaV1_2	70	#00ff00	30	120	320	-1	1
92	超级大玩家V2	7	1731	-1	0	0	1	37	1:10600|4:140|5:370|6:60|7:110	-1	使用大玩家V2称号卡可获得	dawanjiaV2_2	70	#00ff00	30	120	320	-1	1
93	超级大玩家V3	7	1732	-1	0	0	1	36	1:14900|4:200|5:520|6:80|7:160	-1	使用大玩家V3称号卡可获得	dawanjiaV3_2	70	#00ff00	30	120	320	-1	1
94	超级大玩家V4	7	1733	-1	0	0	1	35	1:21300|4:290|5:740|6:110|7:230	-1	使用大玩家V4称号卡可获得	dawanjiaV4_2	70	#00ff00	30	120	320	-1	1
95	玩灭神上芒果游戏	5	1	mgtv	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用芒果平台登录可获得	DDBGQG	70	#00ff00	30	120	320	-1	1
96	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
97	玩灭神就上52gg.com 	5	1	52gg	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用52gg.com平台登录可获得	DDBGQG	70	#00ff00	30	120	320	-1	1
98	玩灭神上金山猎豹游戏	5	1	liebao_993h	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用金山猎豹平台登录可获得	DDBGQG	70	#00ff00	30	120	320	-1	1
99	玩灭神上2345游戏	5	1	wan_993h	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用2345平台登录可获得	DDBGQG	70	#00ff00	30	120	320	-1	1
100	玩灭神上斗鱼游戏	5	1	douyu_993h	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用斗鱼平台登录可获得	DDBGQG	70	#00ff00	30	120	320	-1	1
