INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
ID	ItemReward	Quality	Probability	LuckyValue	PersonalNotice	ServerNotice	NoticeID	Order	Type	MinDay	MaxDay	JifenDel
1101001	100:1:1	1	300000	0	1	0	0	0	1	1	3	0
1101002	101:1:1	1	400000	0	1	0	0	0	1	1	3	0
1101003	102:1:1	1	200000	0	1	0	0	0	1	1	3	0
1101004	103:1:1	1	40000	0	1	0	0	0	1	1	3	0
1101005	104:1:1	1	8000	0	1	0	0	0	1	1	3	0
1101006	105:1:1	1	2000	0	1	1	0	0	1	1	3	0
1101007	106:1:1	1	600	0	1	1	414	0	1	1	3	0
1101008	107:1:1	1	300	0	1	1	414	17	1	1	3	0
1101009	150:1:1	1	300000	0	1	0	0	0	1	1	3	0
1101010	151:1:1	1	400000	0	1	0	0	0	1	1	3	0
1101011	152:1:1	1	150000	0	1	0	0	0	1	1	3	0
1101012	153:1:1	1	60000	0	1	0	0	0	1	1	3	0
1101013	154:1:1	1	15000	0	1	0	0	0	1	1	3	0
1101014	155:1:1	1	3000	0	1	1	0	0	1	1	3	0
1101015	156:1:1	1	900	0	1	1	414	0	1	1	3	0
1101016	157:1:1	1	450	0	1	1	414	0	1	1	3	0
1101017	565:1:1	1	55200	0	1	0	0	18	1	1	3	0
1101018	20001:2:1	1	200	200	1	1	414	13	1	1	3	0
1101019	20002:2:1	1	600	100	1	1	414	1	1	1	3	0
1101020	20003:2:1	1	600	100	1	1	414	2	1	1	3	0
1101021	20004:2:1	1	600	100	1	1	414	3	1	1	3	0
1101022	20005:2:1	1	200	200	1	1	414	14	1	1	3	0
1101023	20006:2:1	1	600	100	1	1	414	4	1	1	3	0
1101024	20007:2:1	1	600	100	1	1	414	5	1	1	3	0
1101025	20008:2:1	1	600	100	1	1	414	6	1	1	3	0
1101026	10151:2:1	1	4000	0	1	0	0	0	1	1	3	0
1101027	10156:2:1	1	6000	0	1	0	0	0	1	1	3	0
1101028	10161:2:1	1	4000	0	1	0	0	0	1	1	3	0
1101029	10166:2:1	1	6000	0	1	0	0	0	1	1	3	0
1101030	10171:2:1	1	4000	0	1	1	0	0	1	1	3	1
1101031	10176:2:1	1	6000	0	1	1	0	0	1	1	3	1
1101032	10181:2:1	1	1600	0	1	1	0	0	1	1	3	1
1101033	10186:2:1	1	2400	0	1	1	0	0	1	1	3	1
1101034	10191:2:1	1	1200	0	1	1	0	0	1	1	3	1
1101035	10196:2:1	1	1800	0	1	1	0	0	1	1	3	1
1101036	10201:2:1	1	760	0	1	1	414	0	1	1	3	1
1101037	10206:2:1	1	1140	0	1	1	414	0	1	1	3	1
1101038	10211:2:1	1	640	0	1	1	414	0	1	1	3	1
1101039	10216:2:1	1	960	0	1	1	414	0	1	1	3	1
1101040	10221:2:1	1	520	0	1	1	414	0	1	1	3	0
1101041	10226:2:1	1	780	0	1	1	414	0	1	1	3	0
1101042	10231:2:1	1	400	0	1	1	414	0	1	1	3	0
1101043	10236:2:1	1	600	0	1	1	414	0	1	1	3	0
1101044	10241:2:1	1	280	50	1	1	414	0	1	1	3	0
1101045	10246:2:1	1	420	50	1	1	414	0	1	1	3	0
1101046	10251:2:1	1	200	100	1	1	414	0	1	1	3	0
1101047	10256:2:1	1	300	100	1	1	414	0	1	1	3	0
1101048	10261:2:1	1	120	200	1	1	414	0	1	1	3	0
1101049	10266:2:1	1	180	200	1	1	414	0	1	1	3	0
1101050	10271:2:1	1	60	200	1	1	414	0	1	1	3	0
1101051	10276:2:1	1	90	200	1	1	414	0	1	1	3	0
1102001	10202:2:1	2	1820	0	1	0	0	0	1	1	3	0
1102002	10203:2:1	2	1820	0	1	0	0	0	1	1	3	0
1102003	10204:2:1	2	1820	0	1	0	0	0	1	1	3	0
1102004	10205:2:1	2	1560	0	1	0	0	0	1	1	3	0
1102005	10207:2:1	2	1560	0	1	0	0	0	1	1	3	0
1102006	10208:2:1	2	1300	0	1	0	0	0	1	1	3	0
1102007	10209:2:1	2	1300	0	1	0	0	0	1	1	3	0
1102008	10210:2:1	2	1820	0	1	0	0	0	1	1	3	0
1101052	10212:2:1	1	1820	0	1	0	0	0	1	1	3	0
1101053	10213:2:1	1	1820	0	1	0	0	0	1	1	3	0
1101054	10214:2:1	1	1820	0	1	0	0	0	1	1	3	0
1101055	10215:2:1	1	1560	0	1	0	0	0	1	1	3	0
1101056	10217:2:1	1	1560	0	1	0	0	0	1	1	3	0
1101057	10218:2:1	1	1300	0	1	0	0	0	1	1	3	0
1101058	10219:2:1	1	1300	0	1	0	0	0	1	1	3	0
1101059	10220:2:1	1	1820	0	1	0	0	0	1	1	3	0
1101060	10222:2:1	1	1820	0	1	0	0	0	1	1	3	0
1101061	10223:2:1	1	1820	0	1	0	0	0	1	1	3	0
1101062	10224:2:1	1	1820	0	1	0	0	0	1	1	3	0
1101063	10225:2:1	1	1560	0	1	0	0	0	1	1	3	0
1101064	10227:2:1	1	1560	0	1	0	0	0	1	1	3	0
1101065	10228:2:1	1	1300	0	1	0	0	0	1	1	3	0
1101066	10229:2:1	1	1300	0	1	0	0	0	1	1	3	0
1101067	10230:2:1	1	1820	0	1	0	0	0	1	1	3	0
1101068	10232:2:1	1	1820	0	1	0	0	0	1	1	3	0
1101069	10233:2:1	1	1820	0	1	0	0	0	1	1	3	0
1101070	10234:2:1	1	1820	0	1	0	0	0	1	1	3	0
1101071	10235:2:1	1	1560	0	1	0	0	0	1	1	3	0
1101072	10237:2:1	1	1560	0	1	0	0	0	1	1	3	0
1101073	10238:2:1	1	1300	0	1	0	0	0	1	1	3	0
1101074	10239:2:1	1	1300	0	1	0	0	0	1	1	3	0
