INT	STRING	INT	INT	INT	INT	INT
Id	ItemReward	Require_Num	Start	End	Notice	Type
1	565:1:40:1	200	1	7	3013	1
2	565:1:60:1	300	1	7	3013	1
3	5002:1:1:1	600	1	7	3013	1
4	20008:2:1:1	800	1	7	3013	1
5	5434:1:1:1	1000	1	7	3013	1
6	20002:2:1:1	1200	1	7	3013	1
7	20004:2:1:1	1600	1	7	3013	1
8	20007:2:1:1	2000	1	7	3013	1
9	20001:2:1:1	3000	1	7	3013	1
10	722:1:2:1	100	1	3	3013	2
11	722:1:3:1	200	1	3	3013	2
12	645:1:10:1	400	1	3	3013	2
13	645:1:10:1	600	1	3	3013	2
14	5434:1:1:1	800	1	3	3013	2
15	565:1:50:1	1000	1	3	3013	2
16	645:1:20:1	1500	1	3	3013	2
17	565:1:100:1	2000	1	3	3013	2
18	20001:2:1:1	3000	1	3	3013	2
