INT	INT	STRING	INT	INT
Days	Sort	Item	Price	OldPrice
1	1	13:1:4:1	0	400
1	2	13:1:12:1	888	1200
1	3	13:1:95:1	6888	9600
1	4	13:1:240:1	16888	24000
2	1	13:1:4:1	0	400
2	2	13:1:12:1	888	1200
2	3	13:1:95:1	6888	9600
2	4	13:1:240:1	16888	24000
3	1	13:1:4:1	0	400
3	2	566:1:6:1	888	1200
3	3	566:1:47:1	6888	9600
3	4	566:1:120:1	16888	24000
4	1	564:1:8:1	0	400
4	2	564:1:24:1	888	1200
4	3	564:1:190:1	6888	9600
4	4	564:1:480:1	16888	24400
5	1	601:1:20:1	0	400
5	2	601:1:60:1	888	1200
5	3	601:1:477:1	6888	9600
5	4	601:1:1200:1	16888	24440
6	1	510:1:4:1	0	400
6	2	510:1:12:1	888	1200
6	3	510:1:95:1	6888	9600
6	4	510:1:240:1	16888	24600
7	1	567:1:4:1	0	400
7	2	568:1:4:1	888	1200
7	3	568:1:32:1	6888	9900
7	4	572:1:475:1	16888	24400
