INT	INT	STRING
ID	Frequency	RewardID
1	10	964:1:1:1
2	20	597:1:5:1
3	50	565:1:8:1
4	100	964:1:1:1
5	150	565:1:10:1
6	250	597:1:80:1
7	300	964:1:1:1
8	400	964:1:1:1
9	500	964:1:2:1
10	600	964:1:1:1
11	700	964:1:1:1
12	800	964:1:1:1
13	900	964:1:1:1
14	1000	964:1:2:1
15	1100	964:1:1:1
16	1200	964:1:1:1
17	1300	964:1:1:1
18	1400	964:1:1:1
19	1500	964:1:2:1
20	1600	964:1:1:1
21	1700	964:1:1:1
22	1800	964:1:1:1
23	1900	964:1:1:1
24	2000	964:1:2:1
25	2200	964:1:1:1
26	2400	964:1:1:1
27	2600	964:1:1:1
28	2800	964:1:1:1
29	3000	964:1:2:1
