INT	INT	STRING
Month	RewardId	RewardInfo
0	1	564:1:100:1:81:483
0	2	715:1:1:1:17:483
0	3	565:1:30:1:189:483
0	4	570:1:10:1:58:483
0	5	716:1:1:1:10:483
0	6	599:1:1:1:142:483
0	7	647:1:366:1:116:483
0	8	717:1:1:1:3:483
0	9	601:1:255:1:142:483
0	10	710:1:20:1:46:483
0	11	5305:1:1:1:6:483
0	12	511:1:3:1:190:483
1	1	564:1:100:1:81:483
1	2	715:1:1:1:17:483
1	3	565:1:30:1:189:483
1	4	570:1:10:1:58:483
1	5	716:1:1:1:10:483
1	6	599:1:1:1:142:483
1	7	647:1:366:1:116:483
1	8	954:1:1:1:3:483
1	9	601:1:255:1:142:483
1	10	710:1:20:1:46:483
1	11	5305:1:1:1:6:483
1	12	511:1:3:1:190:483
2	1	564:1:100:1:81:483
2	2	716:1:1:1:17:483
2	3	565:1:30:1:189:483
2	4	570:1:10:1:58:483
2	5	954:1:1:1:10:483
2	6	599:1:1:1:142:483
2	7	647:1:366:1:116:483
2	8	755:1:1:1:3:483
2	9	776:1:28:1:142:483
2	10	710:1:20:1:46:483
2	11	5305:1:1:1:6:483
2	12	511:1:3:1:190:483
3	1	758:1:68:1:81:483
3	2	954:1:1:1:17:483
3	3	565:1:30:1:189:483
3	4	760:1:5:1:58:483
3	5	755:1:1:1:10:483
3	6	720:1:2:1:142:483
3	7	647:1:366:1:116:483
3	8	955:1:1:1:3:483
3	9	776:1:28:1:142:483
3	10	710:1:20:1:46:483
3	11	5305:1:1:1:6:483
3	12	769:1:20:1:190:483
4	1	758:1:68:1:81:483
4	2	954:1:1:1:17:483
4	3	565:1:30:1:189:483
4	4	760:1:5:1:58:483
4	5	755:1:1:1:10:483
4	6	720:1:2:1:142:483
4	7	647:1:366:1:116:483
4	8	955:1:1:1:3:483
4	9	776:1:28:1:142:483
4	10	710:1:20:1:46:483
4	11	5305:1:1:1:6:483
4	12	769:1:20:1:190:483
5	1	758:1:68:1:81:483
5	2	755:1:1:1:17:483
5	3	957:1:1:1:189:483
5	4	760:1:5:1:58:483
5	5	730:1:1:1:10:483
5	6	720:1:2:1:142:483
5	7	647:1:366:1:116:483
5	8	958:1:1:1:3:483
5	9	776:1:28:1:142:483
5	10	710:1:20:1:46:483
5	11	5305:1:1:1:6:483
5	12	769:1:20:1:190:483
6	1	758:1:68:1:81:483
6	2	755:1:1:1:17:483
6	3	957:1:1:1:189:483
6	4	760:1:5:1:58:483
6	5	730:1:1:1:10:483
6	6	720:1:2:1:142:483
6	7	647:1:366:1:116:483
6	8	958:1:1:1:3:483
6	9	776:1:28:1:142:483
6	10	710:1:20:1:46:483
6	11	5305:1:1:1:6:483
6	12	769:1:20:1:190:483
7	1	758:1:68:1:81:483
7	2	755:1:1:1:17:483
7	3	957:1:1:1:189:483
7	4	760:1:5:1:58:483
7	5	730:1:1:1:10:483
7	6	720:1:2:1:142:483
7	7	647:1:366:1:116:483
7	8	960:1:1:1:3:483
7	9	776:1:28:1:142:483
7	10	710:1:20:1:46:483
7	11	5305:1:1:1:6:483
7	12	769:1:20:1:190:483
8	1	758:1:68:1:81:483
8	2	755:1:1:1:17:483
8	3	957:1:1:1:189:483
8	4	760:1:5:1:58:483
8	5	730:1:1:1:10:483
8	6	720:1:2:1:142:483
8	7	647:1:366:1:116:483
8	8	960:1:1:1:3:483
8	9	776:1:28:1:142:483
8	10	710:1:20:1:46:483
8	11	5305:1:1:1:6:483
8	12	769:1:20:1:190:483
9	1	758:1:68:1:81:483
9	2	755:1:1:1:17:483
9	3	957:1:1:1:189:483
9	4	760:1:5:1:58:483
9	5	730:1:1:1:10:483
9	6	720:1:2:1:142:483
9	7	647:1:366:1:116:483
9	8	960:1:1:1:3:483
9	9	776:1:28:1:142:483
9	10	710:1:20:1:46:483
9	11	5305:1:1:1:6:483
9	12	769:1:20:1:190:483
10	1	758:1:68:1:81:483
10	2	755:1:1:1:17:483
10	3	957:1:1:1:189:483
10	4	760:1:5:1:58:483
10	5	730:1:1:1:10:483
10	6	720:1:2:1:142:483
10	7	647:1:366:1:116:483
10	8	960:1:1:1:3:483
10	9	776:1:28:1:142:483
10	10	710:1:20:1:46:483
10	11	5305:1:1:1:6:483
10	12	769:1:20:1:190:483
11	1	758:1:68:1:81:483
11	2	755:1:1:1:17:483
11	3	957:1:1:1:189:483
11	4	760:1:5:1:58:483
11	5	730:1:1:1:10:483
11	6	720:1:2:1:142:483
11	7	647:1:366:1:116:483
11	8	960:1:1:1:3:483
11	9	776:1:28:1:142:483
11	10	710:1:20:1:46:483
11	11	5305:1:1:1:6:483
11	12	769:1:20:1:190:483
12	1	758:1:68:1:81:483
12	2	755:1:1:1:17:483
12	3	957:1:1:1:189:483
12	4	760:1:5:1:58:483
12	5	730:1:1:1:10:483
12	6	720:1:2:1:142:483
12	7	647:1:366:1:116:483
12	8	960:1:1:1:3:483
12	9	776:1:28:1:142:483
12	10	710:1:20:1:46:483
12	11	5305:1:1:1:6:483
12	12	769:1:20:1:190:483
