INT	INT	INT	STRING	STRING	INT	STRING
Slot	Level	Rate	AddAttr	NeedItem	GongGao	Success
81	1	10000	4:9|5:22|1:324	21:1:4	0	#00ff00|淬炼成功率：100%
81	2	10000	4:17|5:43|1:648	21:1:4	0	#00ff00|淬炼成功率：100%
81	3	10000	4:26|5:65|1:972	21:1:4	0	#00ff00|淬炼成功率：100%
81	4	10000	4:35|5:86|1:1296	21:1:4	0	#00ff00|淬炼成功率：100%
81	5	10000	4:43|5:108|1:1620	21:1:4	0	#00ff00|淬炼成功率：100%
81	6	10000	4:52|5:130|1:1944	21:1:6	0	#00ff00|淬炼成功率：100%
81	7	10000	4:60|5:151|1:2268	21:1:6	0	#00ff00|淬炼成功率：100%
81	8	10000	4:69|5:173|1:2592	21:1:6	0	#00ff00|淬炼成功率：100%
81	9	10000	4:78|5:194|1:2916	21:1:6	0	#00ff00|淬炼成功率：100%
81	10	10000	4:86|5:216|1:3240	21:1:6	0	#00ff00|淬炼成功率：100%
81	11	10000	4:95|5:238|1:3564	21:1:8	0	#00ff00|淬炼成功率：100%
81	12	10000	4:104|5:259|1:3888	21:1:8	0	#00ff00|淬炼成功率：100%
81	13	10000	4:112|5:281|1:4212	21:1:8	0	#00ff00|淬炼成功率：100%
81	14	10000	4:121|5:302|1:4536	21:1:8	0	#00ff00|淬炼成功率：100%
81	15	10000	4:130|5:324|1:4860	21:1:8	0	#00ff00|淬炼成功率：100%
81	16	10000	4:138|5:346|1:5184	21:1:10	0	#00ff00|淬炼成功率：100%
81	17	10000	4:147|5:367|1:5508	21:1:10	0	#00ff00|淬炼成功率：100%
81	18	10000	4:156|5:389|1:5832	21:1:10	0	#00ff00|淬炼成功率：100%
81	19	10000	4:164|5:410|1:6156	21:1:10	0	#00ff00|淬炼成功率：100%
81	20	10000	4:173|5:432|1:6480	21:1:10	0	#00ff00|淬炼成功率：100%
81	21	9500	4:194|5:486|1:7290	21:1:14	0	#00ff00|淬炼成功率：95%
81	22	9500	4:216|5:540|1:8100	21:1:14	0	#00ff00|淬炼成功率：95%
81	23	9500	4:238|5:594|1:8910	21:1:14	0	#00ff00|淬炼成功率：95%
81	24	9500	4:259|5:648|1:9720	21:1:14	0	#00ff00|淬炼成功率：95%
