INT	INT	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT
VipLevel	NeedGold	VipGift	VipDayGift	Attr	PictureID	Resurrection	Retroactive	LuckyRate	SuperRate	CangBaoTu	RecycleEquipRate	StorePage	LunHuiNum	ClubLuckyAdd
0	0	-1	-1	-1	1|2|3|4	0	0	0	0	0	10	1	0	0
1	1000	567:1:1:1|502:1:5:1|504:1:10:1|9:1:1:1|575:1:1:1|411:1:5:1	570:2:1|573:1:1	15:10	1|2|3|4	0	2	0	0	2	10	2	1	0
2	4000	564:1:20:1|502:1:10:1|504:1:20:1|9:1:1:1|575:1:2:1|412:1:5:1	570:2:1|573:1:1	15:20	5|6|7|8	0	2	0	0	4	12	3	1	1
3	5000	508:1:3:1|502:1:15:1|504:1:30:1|9:1:1:1|575:1:3:1|413:1:5:1	570:2:1|573:1:1	15:30	9|10|11|12	1	3	0	0	6	12	4	2	2
4	10000	508:1:6:1|502:1:20:1|504:1:40:1|9:1:1:1|575:1:4:1|414:1:10:1	570:2:1|573:1:1	15:40	13|14|15|16	2	3	1	0	8	12	5	2	3
5	30000	509:1:1:1|503:1:3:1|505:1:3:1|9:1:1:1|575:1:5:1|415:1:10:1	570:2:1|573:1:1	15:50	17|18|19|20	3	4	2	0	10	12	6	3	3
6	50000	512:1:1:1|503:1:4:1|505:1:4:1|9:1:1:1|575:1:6:1|417:1:10:1	570:2:1|573:1:1	15:60	21|22|23|24	3	4	3	0	12	12	7	3	3
7	100000	565:1:50:1|503:1:5:1|505:1:5:1|9:1:1:1|575:1:7:1|411:1:20:1	570:2:1|573:1:1	15:70	25|26|27|28	5	5	4	1	14	12	8	4	3
8	300000	509:1:1:1|503:1:6:1|505:1:6:1|9:1:1:1|575:1:8:1|412:1:20:1	570:2:1|573:1:1	15:80	29|30|31|32	5	5	5	2	16	12	9	4	3
9	500000	512:1:1:1|503:1:7:1|505:1:7:1|9:1:1:1|575:1:9:1|413:1:20:1	570:2:1|573:1:1	15:90	33|34|35|36	6	6	6	3	18	12	10	5	3
10	1000000	565:1:50:1|503:1:8:1|505:1:8:1|9:1:1:1|575:1:10:1|414:1:30:1	570:2:1|573:1:1	15:100	37|38|39|40	6	7	7	4	20	12	10	5	3
11	3000000	509:1:1:1|503:1:9:1|505:1:9:1|565:1:50:1|575:1:11:1|415:1:30:1	570:2:1|573:1:1	15:110	41|42|43|44	6	8	8	5	25	12	10	6	3
12	5000000	512:1:1:1|503:1:10:1|505:1:10:1|565:1:50:1|575:1:12:1|417:1:30:1	570:2:1|573:1:1	15:120	45|46|47|48	6	9	9	6	30	12	10	6	3
13	8000000	509:1:2:1|503:1:12:1|506:1:5:1|565:1:100:1|745:1:1:1|411:1:40:1	570:2:1|573:1:1	15:130	49|50|51|52	7	10	10	7	35	12	10	7	3
14	12000000	512:1:2:1|503:1:15:1|506:1:10:1|565:1:150:1|745:1:2:1|412:1:40:1	570:2:1|573:1:1	15:140	53|54|55|56	7	11	11	8	40	12	10	7	3
