STRING	INT	INT	STRING
PingTai	Icon1	Icon2	Reward
w360	118	118	16:1:2:1|13:1:1:1|575:1:3:1|567:1:1:1
yilewan	118	118	16:1:2:1|13:1:1:1|575:1:3:1|567:1:1:1
iwan4399	118	118	16:1:2:1|13:1:1:1|575:1:3:1|567:1:1:1
taojike	118	118	16:1:2:1|13:1:1:1|575:1:3:1|567:1:1:1
37wan	118	118	16:1:2:1|13:1:1:1|575:1:3:1|567:1:1:1
yilewan	118	118	16:1:2:1|13:1:1:1|575:1:3:1|567:1:1:1
4399	118	118	16:1:2:1|13:1:1:1|575:1:3:1|567:1:1:1
apps	118	118	16:1:2:1|13:1:1:1|575:1:3:1|567:1:1:1
602	118	118	16:1:2:1|13:1:1:1|575:1:3:1|567:1:1:1
feihuo	118	118	16:1:2:1|13:1:1:1|575:1:3:1|567:1:1:1
ku25	118	118	16:1:2:1|13:1:1:1|575:1:3:1|567:1:1:1
602	118	118	16:1:2:1|13:1:1:1|575:1:3:1|567:1:1:1
37tang	118	118	16:1:2:1|13:1:1:1|575:1:3:1|567:1:1:1
43u	118	118	16:1:2:1|13:1:1:1|575:1:3:1|567:1:1:1
51wan	118	118	16:1:2:1|13:1:1:1|575:1:3:1|567:1:1:1
52gg	118	118	16:1:2:1|13:1:1:1|575:1:3:1|567:1:1:1
1771wan	118	118	16:1:2:1|13:1:1:1|575:1:3:1|567:1:1:1
511wan	118	118	16:1:2:1|13:1:1:1|575:1:3:1|567:1:1:1
5144	118	118	16:1:2:1|13:1:1:1|575:1:3:1|567:1:1:1
8090	118	118	16:1:2:1|13:1:1:1|575:1:3:1|567:1:1:1
kmao	118	118	16:1:2:1|13:1:1:1|575:1:3:1|567:1:1:1
aijiu	118	118	16:1:2:1|13:1:1:1|575:1:3:1|567:1:1:1
kele	118	118	16:1:2:1|13:1:1:1|575:1:3:1|567:1:1:1
iyouxia	118	118	16:1:2:1|13:1:1:1|575:1:3:1|567:1:1:1
51	118	118	16:1:2:1|13:1:1:1|575:1:3:1|567:1:1:1
sogou	118	118	16:1:2:1|13:1:1:1|575:1:3:1|567:1:1:1
86hud	118	118	16:1:2:1|13:1:1:1|575:1:3:1|567:1:1:1
9377	118	118	16:1:2:1|13:1:1:1|575:1:3:1|567:1:1:1
9211	118	118	16:1:2:1|13:1:1:1|575:1:3:1|567:1:1:1
